time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.000033,-2.00002675,0.022019202,-6.25e-05,-2.0,-2.0,0.050029904,-0.0,3.3e-05,2.675e-05,0.028010701,6.25e-05
0.04,-2.000133435,-2.000094869,0.054798834,0.02580849,-2.0,-2.0,0.050059808,-0.0,0.000133435,9.4869e-05,-0.004739026,-0.02580849
0.07,-2.000312538,-2.000201016,0.055065332,0.02580099,-2.0,-2.0,0.050089742,-0.0,0.000312538,0.000201016,-0.004975591,-0.02580099
0.11,-2.00066434,-2.00039903,0.061288947,0.008846937,-2.0,-2.0,0.050129732,-0.0,0.00066434,0.00039903,-0.011159215,-0.008846937
0.14,-2.001019158,-2.000587389,0.059129916,-0.005561943,-2.0,-2.0,0.050159731,-7.6884e-05,0.001019158,0.000587389,-0.008970185,0.005485059
0.17,-2.001443438,-2.000816927,0.059804445,-0.006674443,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.001443439,0.000816927,-0.009410297,0.005746985
0.21,-2.002107316,-2.001200333,0.058430889,-0.011284102,-1.999998664,-1.999999613,0.051923652,-0.004080179,0.002108652,0.00120072,-0.006507237,0.007203923
0.24,-2.002681479,-2.001533833,0.064965702,-0.010591314,-1.999994304,-1.999998198,0.054040268,-0.007670049,0.002687176,0.001535635,-0.010925434,0.002921266
0.27,-2.003309513,-2.00192754,0.068444681,-0.015168814,-1.999987312,-1.999995521,0.056833566,-0.011994319,0.003322201,0.001932019,-0.011611115,0.003174496
0.31,-2.00424064,-2.002508269,0.073160581,-0.023319199,-1.999975395,-1.99998911,0.061728108,-0.018869212,0.004265245,0.002519159,-0.011432473,0.004449987
0.34,-2.004990098,-2.002978015,0.073893609,-0.031982144,-1.999964591,-1.999981644,0.066211634,-0.024689207,0.005025508,0.00299637,-0.007681975,0.007292937
0.37,-2.005775938,-2.003491669,0.079527136,-0.038387144,-1.999950985,-1.99997205,0.071246157,-0.030904423,0.005824953,0.003519619,-0.008280979,0.007482722
0.41,-2.006913695,-2.004214632,0.076451075,-0.045140605,-1.999926616,-1.999955638,0.078901049,-0.039786193,0.00698708,0.004258994,0.002449974,0.005354412
0.44,-2.007846807,-2.004799398,0.085683838,-0.051708007,-1.999905159,-1.999940926,0.085295223,-0.046803028,0.007941647,0.004858472,-0.000388615,0.004904979
0.47,-2.008838043,-2.005419762,0.092873232,-0.058890507,-1.999882018,-1.999924389,0.092132928,-0.054031525,0.008956025,0.005495373,-0.000740303,0.004858981
0.51,-2.01024337,-2.006317888,0.10292856,-0.072167224,-1.999846268,-1.999898596,0.102010236,-0.063988073,0.010397102,0.006419292,-0.000918324,0.008179151
0.54,-2.011362541,-2.007033877,0.109551349,-0.080096359,-1.999814512,-1.999876366,0.109946762,-0.071645745,0.011548029,0.007157512,0.000395414,0.008450615
0.57,-2.012531573,-2.007793317,0.118297262,-0.087798859,-1.999779801,-1.999852057,0.118243266,-0.079416575,0.012751773,0.00794126,-5.3995e-05,0.008382284
0.61,-2.014192124,-2.008847085,0.130540459,-0.09690399,-1.999729692,-1.99981552,0.12992374,-0.089948279,0.014462432,0.009031565,-0.000616719,0.00695571
0.64,-2.015516594,-2.009673009,0.140675149,-0.104002005,-1.999688507,-1.999784611,0.139115183,-0.097948529,0.015828087,0.009888398,-0.001559966,0.006053476
0.67,-2.016912974,-2.010536259,0.150814355,-0.111899505,-1.999643609,-1.999750974,0.148600861,-0.106009212,0.017269365,0.010785285,-0.002213493,0.005890293
0.71,-2.018862114,-2.011747093,0.161453336,-0.123333988,-1.999577027,-1.999700861,0.161754847,-0.116847021,0.019285087,0.012046232,0.000301511,0.006486967
0.74,-2.020415505,-2.01268999,0.168115039,-0.130487836,-1.999523597,-1.999658989,0.171974285,-0.12502926,0.020891908,0.013031001,0.003859247,0.005458576
0.77,-2.02204096,-2.013667396,0.178855478,-0.138712836,-1.999467954,-1.999613762,0.182435323,-0.133243628,0.022573006,0.014053634,0.003579845,0.005469208
0.81,-2.02429677,-2.01502277,0.195238271,-0.145497282,-1.999387796,-1.999547042,0.196799804,-0.144244017,0.024908974,0.015475728,0.001561534,0.001253265
0.84,-2.026055406,-2.01608162,0.205502851,-0.154022359,-1.999321835,-1.999491955,0.20786403,-0.152522886,0.026733571,0.016589665,0.002361179,0.001499473
0.87,-2.027886175,-2.017173657,0.217249775,-0.162334859,-1.999252093,-1.999432872,0.219127048,-0.160818618,0.028634081,0.017740785,0.001877273,0.00151624
0.91,-2.030417049,-2.018675667,0.228318813,-0.172640225,-1.999154024,-1.999345934,0.23448711,-0.171905281,0.031263024,0.019329734,0.006168296,0.000734944
0.94,-2.032384891,-2.019831194,0.233622851,-0.181949455,-1.999076411,-1.999274131,0.246246539,-0.18023558,0.03330848,0.020557063,0.012623689,0.001713875
0.97,-2.034416866,-2.021013635,0.245419994,-0.190521955,-1.99899453,-1.999197409,0.258169704,-0.188574843,0.035422336,0.021816226,0.01274971,0.001947112
1.01,-1.983434711,-2.016900711,0.259083694,-0.203745218,-1.998876262,-1.999085685,0.274349355,-0.199707255,-0.015441551,0.017815026,0.015265661,0.004037963
1.04,-1.984745878,-2.018048993,0.268527637,-0.211851319,-1.998781859,-1.99899407,0.286681427,-0.208064408,-0.014035981,0.019054923,0.01815379,0.003786911
1.07,-1.986133033,-2.019220132,0.280693401,-0.220448819,-1.998684138,-1.998896211,0.299148786,-0.216425774,-0.012551105,0.020323921,0.018455384,0.004023046
1.11,-1.988101952,-2.020820399,0.304089264,-0.231777189,-1.998547562,-1.998754417,0.316006004,-0.227580958,-0.010445611,0.022065982,0.011916739,0.004196231
1.14,-1.989653023,-2.022039316,0.318189976,-0.240018441,-1.998441644,-1.998641918,0.328811764,-0.235951448,-0.00878862,0.023397398,0.010621789,0.004066993
1.17,-1.991263688,-2.023269486,0.331561351,-0.248353441,-1.998335722,-1.998527657,0.341729551,-0.244323526,-0.007072034,0.024741829,0.0101682,0.004029915
1.21,-1.993502874,-2.02493779,0.349622622,-0.26049792,-1.998198713,-1.998377892,0.359147073,-0.255490475,-0.00469584,0.026559897,0.009524451,0.005007445
1.24,-1.995268559,-2.026224551,0.364471248,-0.267884189,-1.998098717,-1.998271378,0.372345612,-0.263868493,-0.002830158,0.027953173,0.007874364,0.004015696
1.27,-1.997110287,-2.027536414,0.37848095,-0.276579189,-1.997999248,-1.99816989,0.385636852,-0.272248328,-0.000888961,0.029366524,0.007155902,0.004330862
1.31,-1.999666352,-2.029321442,0.399372255,-0.287865583,-1.99786814,-1.998041257,0.403517926,-0.283425512,0.001798213,0.031280185,0.004145671,0.004440071
1.34,-2.001660869,-2.03068318,0.40607897,-0.295828661,-1.997773097,-1.997945974,0.417040666,-0.291810263,0.003887771,0.032737206,0.010961696,0.004018398
1.37,-2.003738606,-2.032078961,0.420182336,-0.304388661,-1.997680201,-1.997849466,0.430639273,-0.300195866,0.006058405,0.034229495,0.010456937,0.004192795
1.41,-2.006631133,-2.033991163,0.444278967,-0.315608654,-1.997556108,-1.997716315,0.44890297,-0.311378058,0.009075025,0.036274848,0.004624003,0.004230596
1.44,-2.008892539,-2.035454594,0.463951148,-0.325335839,-1.997461135,-1.997611277,0.46269245,-0.319765238,0.011431404,0.037843317,-0.001258699,0.005570601
1.47,-2.011222304,-2.036947313,0.479196104,-0.333905839,-1.997365981,-1.997500791,0.476545248,-0.328153097,0.013856323,0.039446522,-0.002650855,0.005752742
