time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999973475,-2.000013422,0.04997775,0.017198964,-2.0,-2.0,0.050029904,-0.0,-2.6525e-05,1.3422e-05,5.2154e-05,-0.017198964
0.03,-1.999878087,-2.000056669,0.06939756,-0.000324792,-2.0,-2.0,0.050059808,-0.0,-0.000121913,5.6669e-05,-0.019337753,0.000324792
0.06,-1.99972109,-2.000140132,0.069817595,-0.000259792,-2.0,-2.0,0.050089742,-0.0,-0.00027891,0.000140132,-0.019727853,0.000259792
0.1,-1.999454302,-2.000327354,0.058140589,0.004551847,-2.0,-2.0,0.050129732,-0.0,-0.000545698,0.000327354,-0.008010857,-0.004551847
0.13,-1.999190967,-2.000524745,0.061068139,0.004526016,-2.0,-2.0,0.050159731,-7.6884e-05,-0.000809033,0.000524745,-0.010908408,-0.0046029
0.16,-1.998886972,-2.000757703,0.061216732,0.003711016,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.001113027,0.000757704,-0.010822584,-0.004638475
0.2,-1.998403231,-2.00113011,0.065091362,-0.002313166,-1.999998683,-1.999999616,0.051923651,-0.004080179,-0.001595453,0.001130494,-0.013167711,-0.001767013
0.23,-1.997986455,-2.001459496,0.067962775,-0.008172075,-1.999994413,-1.999998218,0.054040267,-0.007670048,-0.002007958,0.001461278,-0.013922507,0.000502027
0.26,-1.997525267,-2.001835453,0.070650017,-0.012612075,-1.999987626,-1.999995585,0.056833565,-0.011994317,-0.002462359,0.001839869,-0.013816452,0.000617758
0.3,-1.996860787,-2.002394742,0.070501642,-0.018944826,-1.999976286,-1.999989322,0.061728107,-0.018869208,-0.003115498,0.00240542,-0.008773535,7.5618e-05
0.33,-1.996306794,-2.002867634,0.074440914,-0.021916709,-1.99996622,-1.999982078,0.066211633,-0.024689198,-0.003659426,0.002885556,-0.008229281,-0.00277249
0.36,-1.99570237,-2.003391081,0.078998998,-0.028089209,-1.999953659,-1.999972822,0.071246156,-0.030904408,-0.004251289,0.003418259,-0.007752842,-0.002815199
