time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999985759,-2.000006757,0.063760252,-0.001654430,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000014241,0.000006757,-0.013730348,0.001654430
0.040000000,-1.999939818,-2.000051040,0.047184323,0.005347216,-2.000000000,-2.000000000,0.050059808,-0.000000000,-0.000060182,0.000051040,0.002875485,-0.005347216
0.070000000,-1.999842062,-2.000118333,0.046957409,0.005007216,-2.000000000,-2.000000000,0.050089742,-0.000000000,-0.000157938,0.000118333,0.003132333,-0.005007216
0.110000000,-1.999634049,-2.000253487,0.044349042,-0.003238723,-2.000000000,-2.000000000,0.050129732,-0.000000000,-0.000365951,0.000253487,0.005780690,0.003238723
0.140000000,-1.999442171,-2.000397090,0.040389623,-0.001411326,-2.000000000,-2.000000000,0.050159731,-0.000076884,-0.000557829,0.000397090,0.009770109,0.001334442
0.170000000,-1.999231346,-2.000570233,0.039916850,-0.002313826,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.000768653,0.000570234,0.010477299,0.001386368
0.210000000,-1.998897138,-2.000866384,0.037494332,-0.002415218,-1.999998679,-1.999999619,0.051923651,-0.004080179,-0.001101541,0.000866764,0.014429319,-0.001664961
0.240000000,-1.998605683,-2.001132627,0.050075186,-0.003692937,-1.999994390,-1.999998239,0.054040267,-0.007670048,-0.001388707,0.001134388,0.003965081,-0.003977111
0.270000000,-1.998282362,-2.001436995,0.052300466,-0.008160437,-1.999987564,-1.999995650,0.056833565,-0.011994318,-0.001705203,0.001441345,0.004533098,-0.003833881
0.310000000,-1.997801939,-2.001902332,0.067577203,-0.015654585,-1.999976122,-1.999989538,0.061728107,-0.018869210,-0.002174183,0.001912794,-0.005849097,-0.003214625
0.340000000,-1.997405067,-2.002290574,0.065423520,-0.027356145,-1.999965928,-1.999982522,0.066211633,-0.024689199,-0.002560861,0.002308052,0.000788113,0.002666947
0.370000000,-1.996987589,-2.002712113,0.069850768,-0.033863645,-1.999953186,-1.999973605,0.071246156,-0.030904407,-0.002965597,0.002738507,0.001395388,0.002959238
0.410000000,-1.996370686,-2.003348878,0.073795903,-0.039811483,-1.999930613,-1.999958648,0.078901049,-0.039786181,-0.003559927,0.003390230,0.005105146,0.000025302
0.440000000,-1.995865673,-2.003872030,0.083950950,-0.054200609,-1.999911127,-1.999945552,0.085295224,-0.046803016,-0.004045454,0.003926478,0.001344275,0.007397592
0.470000000,-1.995321783,-2.004442530,0.090125606,-0.061690609,-1.999890498,-1.999931093,0.092132932,-0.054031504,-0.004568714,0.004511438,0.002007325,0.007659105
0.510000000,-2.424147666,-1.750503025,0.097386198,-0.068614797,-1.999859298,-1.999909076,0.102010242,-0.063988034,0.424288367,-0.249406051,0.004624044,0.004626764
0.540000000,-2.432200376,-1.745982567,0.114334287,-0.076556719,-1.999832060,-1.999890565,0.109946774,-0.071646176,0.432368316,-0.253907998,-0.004387513,0.004910543
0.570000000,-2.440224557,-1.741502365,0.122364679,-0.084296719,-1.999802827,-1.999870699,0.118249045,-0.079418414,0.440421730,-0.258368334,-0.004115635,0.004878305
0.610000000,-2.450888842,-1.735609317,0.134182559,-0.092014438,-1.999752310,-1.999852039,0.129957777,-0.089931258,0.451136532,-0.264242722,-0.004224783,0.002083180
0.640000000,-2.458869144,-1.731223933,0.134769000,-0.102374655,-1.999675369,-1.999879807,0.139187032,-0.097897092,0.459193775,-0.268655875,0.004418032,0.004477563
0.670000000,-2.466833633,-1.726853763,0.143267816,-0.110804655,-1.999547699,-1.999977011,0.148728942,-0.105932574,0.467285933,-0.273123248,0.005461126,0.004872081
0.710000000,-2.477405430,-1.721057466,0.157087451,-0.121886401,-1.999283943,-2.000307817,0.161996515,-0.116785390,0.478121487,-0.279250352,0.004909064,0.005101010
0.740000000,-2.485304480,-1.716747153,0.165038292,-0.128597742,-1.999045536,-2.000744249,0.172330579,-0.124960768,0.486258944,-0.283997096,0.007292287,0.003636974
0.770000000,-2.493202387,-1.712475303,0.174404943,-0.136782742,-1.998785064,-2.001323359,0.182918090,-0.133121523,0.494417322,-0.288848056,0.008513147,0.003661219
0.810000000,-2.503704211,-1.706841640,0.185797855,-0.147255913,-1.998362604,-2.002346703,0.197481572,-0.144056872,0.505341606,-0.295505064,0.011683718,0.003199040
0.840000000,-2.511551632,-1.702662806,0.201617160,-0.154223301,-1.997966583,-2.003282399,0.208709360,-0.152340425,0.513585050,-0.300619593,0.007092199,0.001882876
0.870000000,-2.519367054,-1.698516271,0.211989038,-0.162558301,-1.997522269,-2.004322832,0.220149843,-0.160642894,0.521844785,-0.305806562,0.008160805,0.001915406
