time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999981233,-2.000022580,0.039840105,0.022736539,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000018767,0.000022580,0.010189799,-0.022736539
0.040000000,-1.999919803,-2.000074466,0.046750353,0.020685603,-2.000000000,-2.000000000,0.050059808,-0.000000000,-0.000080197,0.000074466,0.003309454,-0.020685603
0.070000000,-1.999818311,-2.000153025,0.046759311,0.020710603,-2.000000000,-2.000000000,0.050089742,-0.000000000,-0.000181689,0.000153025,0.003330430,-0.020710603
0.110000000,-1.999625195,-2.000301404,0.044871477,0.013351805,-2.000000000,-2.000000000,0.050129732,-0.000000000,-0.000374805,0.000301404,0.005258255,-0.013351805
0.140000000,-1.999452047,-2.000435350,0.049115483,0.017591434,-2.000000000,-2.000000000,0.050159731,-0.000076884,-0.000547953,0.000435350,0.001044248,-0.017668318
0.170000000,-1.999254927,-2.000596875,0.049458662,0.016871434,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.000745072,0.000596875,0.000935486,-0.017798893
0.210000000,-1.998968344,-2.000838012,0.052009326,0.012863919,-1.999998680,-1.999999618,0.051923651,-0.004080179,-0.001030335,0.000838394,-0.000085675,-0.016944098
0.240000000,-1.998725427,-2.001054644,0.057496580,0.008316586,-1.999994393,-1.999998229,0.054040267,-0.007670048,-0.001268966,0.001056416,-0.003456313,-0.015986635
0.270000000,-1.998444043,-2.001295673,0.060685990,0.004236586,-1.999987570,-1.999995620,0.056833565,-0.011994318,-0.001543527,0.001300054,-0.003852425,-0.016230904
0.310000000,-1.998028143,-2.001671063,0.065789435,-0.006440830,-1.999976132,-1.999989449,0.061728107,-0.018869210,-0.001947989,0.001681614,-0.004061328,-0.012428380
0.340000000,-1.997676086,-2.001984779,0.076730313,-0.020744443,-1.999965937,-1.999982367,0.066211633,-0.024689199,-0.002289851,0.002002412,-0.010518680,-0.003944756
0.370000000,-1.997284894,-2.002320640,0.082614557,-0.026849443,-1.999953188,-1.999973381,0.071246156,-0.030904408,-0.002668294,0.002347259,-0.011368401,-0.004054965
0.410000000,-1.996701476,-2.002788952,0.085646432,-0.031201959,-1.999930579,-1.999958360,0.078901050,-0.039786182,-0.003229103,0.002830592,-0.006745382,-0.008584223
0.440000000,-1.996230622,-2.003172645,0.094610849,-0.039151808,-1.999911038,-1.999945287,0.085295225,-0.046803019,-0.003680417,0.003227358,-0.009315625,-0.007651211
0.470000000,-1.995729501,-2.003589022,0.102263095,-0.046051808,-1.999890329,-1.999930940,0.092132932,-0.054031505,-0.004160829,0.003658082,-0.010130163,-0.007979697
0.510000000,-1.866761703,-1.782438015,0.118098264,-0.056117589,-1.999858969,-1.999909315,0.102010243,-0.063988033,-0.133097265,-0.217471300,-0.016088021,-0.007870444
0.540000000,-1.863685669,-1.778575214,0.126526800,-0.067288294,-1.999831563,-1.999891359,0.109946774,-0.071645536,-0.136145894,-0.221316145,-0.016580026,-0.004357243
0.570000000,-1.860576561,-1.774761677,0.136075147,-0.075113294,-1.999802117,-1.999872285,0.118250502,-0.079414787,-0.139225556,-0.225110609,-0.017824644,-0.004301493
0.610000000,-1.856395112,-1.769731512,0.146995525,-0.087410488,-1.999762559,-1.999856219,0.129964620,-0.089943050,-0.143367448,-0.230124707,-0.017030905,-0.002532562
0.640000000,-1.853226877,-1.765991720,0.154837103,-0.093170641,-1.999736813,-1.999890459,0.139189495,-0.097938468,-0.146509936,-0.233898738,-0.015647609,-0.004767827
0.670000000,-1.850028406,-1.762259241,0.165435363,-0.101173141,-1.999717046,-2.000002002,0.148723462,-0.105993419,-0.149688640,-0.237742760,-0.016711901,-0.004820278
0.710000000,-1.845720449,-1.757311094,0.183275136,-0.112107294,-1.999709445,-2.000379684,0.161978193,-0.116829802,-0.153988996,-0.243068590,-0.021296943,-0.004722508
0.740000000,-1.842466769,-1.753644511,0.190904177,-0.122490749,-1.999726121,-2.000882582,0.172277623,-0.125016339,-0.157259353,-0.247238071,-0.018626554,-0.002525590
