time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999965782,-1.999986333,0.041306446,0.041019302,-2.0,-2.0,0.050029904,-0.0,-3.4218e-05,-1.3667e-05,0.008723458,-0.041019302
0.04,-1.999890602,-1.999927707,0.044685527,0.033406224,-2.0,-2.0,0.050059808,-0.0,-0.000109398,-7.2293e-05,0.00537428,-0.033406224
0.07,-1.999783885,-1.999812482,0.044655698,0.033388724,-2.0,-2.0,0.050089742,-0.0,-0.000216115,-0.000187518,0.005434044,-0.033388724
0.11,-1.999569164,-1.999573621,0.049984476,0.033861828,-2.0,-2.0,0.050129732,-0.0,-0.000430836,-0.000426379,0.000145256,-0.033861828
0.14,-1.999357245,-1.999342821,0.054349679,0.016417254,-2.0,-2.0,0.050159731,-7.6884e-05,-0.000642755,-0.000657179,-0.004189948,-0.016494138
0.17,-1.999098571,-1.999073579,0.054825512,0.015552254,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.000901428,-0.00092642,-0.004431364,-0.016479712
0.21,-1.998674845,-1.998656848,0.067155424,0.008986432,-1.999998666,-1.999999648,0.05192365,-0.004080179,-0.001323821,-0.0013428,-0.015231774,-0.013066611
0.24,-1.998298609,-1.998305003,0.0602075,0.002922836,-1.99999433,-1.999998414,0.054040265,-0.007670048,-0.001695721,-0.001693411,-0.006167235,-0.010592885
0.27,-1.997877279,-1.997911944,0.063349329,-0.001834664,-1.999987416,-1.999996193,0.056833562,-0.011994324,-0.002110137,-0.002084249,-0.006515767,-0.010159661
0.31,-1.997238985,-1.997315488,0.062997519,-0.004955676,-1.99997578,-1.999991333,0.061728103,-0.018869218,-0.002736795,-0.002675845,-0.001269416,-0.013913543
0.34,-1.996703731,-1.996812613,0.070287285,-0.00748733,-1.999965377,-1.999986209,0.066211629,-0.02468919,-0.003261646,-0.003173596,-0.004075655,-0.017201859
0.37,-1.99611369,-1.996265605,0.075672657,-0.01380483,-1.999952365,-1.99998017,0.071246152,-0.030904386,-0.003838675,-0.003714564,-0.004426505,-0.017099556
0.41,-1.99525957,-1.99548373,0.082693902,-0.022344542,-1.999929303,-1.99997147,0.078901046,-0.039786192,-0.004669734,-0.00448774,-0.003792856,-0.017441649
0.44,-1.994563802,-1.994843057,0.087841002,-0.036014247,-1.999909361,-1.99996545,0.085295222,-0.046803044,-0.005345559,-0.005122393,-0.00254578,-0.010788797
0.47,-1.993824194,-1.994157132,0.094990821,-0.043129247,-1.999888225,-1.99996019,0.09213293,-0.054031506,-0.006064031,-0.005803059,-0.002857891,-0.010902259
0.51,-1.859251696,-1.958853593,0.111878757,-0.055501189,-1.999856276,-1.9999551,0.102010242,-0.063987993,-0.140604581,-0.041101508,-0.009868515,-0.008486805
0.54,-1.855705116,-1.957384315,0.114002104,-0.060580525,-1.999828429,-1.999953458,0.109946777,-0.071645429,-0.144123314,-0.042569143,-0.004055327,-0.011064903
0.57,-1.852116147,-1.955872262,0.122651716,-0.068358025,-1.999798561,-1.999953954,0.118244296,-0.079414395,-0.147682414,-0.044081692,-0.00440742,-0.011056369
0.61,-1.847237312,-1.953799598,0.130714663,-0.081447399,-1.999759763,-1.999961505,0.129929268,-0.089942848,-0.152522452,-0.046161906,-0.000785395,-0.008495449
0.64,-1.84350635,-1.952195829,0.133083523,-0.088550786,-1.999739137,-1.999980503,0.139125949,-0.09793977,-0.156232788,-0.047784674,0.006042426,-0.009388984
0.67,-1.839713635,-1.950534492,0.142259497,-0.096980786,-1.999729664,-2.000018123,0.148619245,-0.105994927,-0.160016029,-0.049483631,0.006359748,-0.009014141
0.71,-1.834566985,-1.948250933,0.151777709,-0.108442202,-1.999740478,-2.000121158,0.161787928,-0.116823782,-0.165173493,-0.051870226,0.010010218,-0.008381579
0.74,-1.830649388,-1.946495453,0.165130229,-0.115406082,-1.999764123,-2.000249774,0.172020097,-0.125000567,-0.169114736,-0.053754321,0.006889868,-0.009594486
0.77,-1.826695793,-1.944678674,0.175446703,-0.123433582,-1.999799279,-2.000418656,0.18249432,-0.13321245,-0.173103486,-0.055739982,0.007047617,-0.009778869
0.81,-1.821371895,-1.942182679,0.192938462,-0.133889107,-1.999874448,-2.000715172,0.196878253,-0.144211119,-0.178502553,-0.058532493,0.003939791,-0.010322011
0.84,-1.817326368,-1.940270627,0.203882508,-0.141176479,-1.999956487,-2.000985708,0.207958104,-0.152485789,-0.182630119,-0.060715081,0.004075596,-0.01130931
0.87,-1.813234883,-1.938328189,0.215320407,-0.149648979,-2.000055678,-2.001287725,0.219238088,-0.160776379,-0.186820795,-0.062959536,0.003917681,-0.0111274
0.91,-1.8076889,-1.935685142,0.2352759,-0.163283792,-2.000214761,-2.001742944,0.234623024,-0.171859095,-0.192525862,-0.066057802,-0.000652876,-0.008575302
0.94,-1.803468754,-1.933656778,0.243292616,-0.171174775,-2.000356408,-2.002119737,0.246402282,-0.180187262,-0.196887654,-0.068462959,0.003109667,-0.009012487
0.97,-1.79919388,-1.931587363,0.255523547,-0.179534775,-2.000518343,-2.002519979,0.258346959,-0.1885234,-0.201324463,-0.070932616,0.002823412,-0.008988625
1.01,-1.856806724,-1.852746556,0.27469735,-0.195062419,-2.0007733,-2.003094264,0.274556595,-0.199650244,-0.143966576,-0.150347708,-0.000140755,-0.004587825
1.04,-1.853445669,-1.849281183,0.287564569,-0.203373288,-2.00099016,-2.003554854,0.286913617,-0.20800528,-0.147544491,-0.154273671,-0.000650951,-0.004631992
1.07,-1.85002872,-1.845791001,0.3006471,-0.211645788,-2.001224954,-2.004036736,0.299407649,-0.216369703,-0.151196234,-0.158245734,-0.001239451,-0.004723915
1.11,-1.845378163,-1.841073929,0.313144224,-0.221686312,-2.00157585,-2.004719387,0.316305831,-0.227529575,-0.156197687,-0.163645458,0.003161607,-0.005843263
1.14,-1.841829224,-1.837490193,0.3187156,-0.230250729,-2.001867586,-2.005270871,0.329144612,-0.235902535,-0.160038362,-0.167780678,0.010429011,-0.005651806
1.17,-1.838227128,-1.833862403,0.331493834,-0.238620729,-2.002176593,-2.00586263,0.342099059,-0.244282767,-0.163949465,-0.172000227,0.010605225,-0.005662038
1.21,-1.833348627,-1.828954705,0.347098693,-0.249164596,-2.002620613,-2.006747085,0.359572015,-0.255469649,-0.169271986,-0.17779238,0.012473322,-0.006305054
1.24,-1.829619854,-1.82524319,0.362991128,-0.256604847,-2.002988457,-2.007491367,0.372818055,-0.263861661,-0.173368604,-0.182248178,0.009826926,-0.007256814
1.27,-1.825832867,-1.821497806,0.376362355,-0.264934847,-2.00338733,-2.008295192,0.38615908,-0.272246258,-0.177554463,-0.186797386,0.009796725,-0.007311411
1.31,-1.82069666,-1.816439441,0.409570563,-0.275971276,-2.003969656,-2.00947393,0.404111543,-0.283419938,-0.183272996,-0.193034489,-0.00545902,-0.007448663
