time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000024000,-1.999985251,0.030605753,0.000070000,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000024000,-0.000014749,0.019424150,-0.000070000
0.040000000,-2.000100751,-1.999936989,0.045748438,-0.007637517,-2.000000000,-2.000000000,0.050059808,-0.000000000,0.000100751,-0.000063011,0.004311369,0.007637517
0.070000000,-2.000208826,-1.999858070,0.045719854,-0.007452517,-2.000000000,-2.000000000,0.050089742,-0.000000000,0.000208826,-0.000141930,0.004369887,0.007452517
0.110000000,-2.000391247,-1.999692260,0.050876398,-0.013771997,-2.000000000,-2.000000000,0.050129732,-0.000000000,0.000391247,-0.000307740,-0.000746666,0.013771997
0.140000000,-2.000560196,-1.999516658,0.050908333,-0.011667073,-2.000000000,-2.000000000,0.050159731,-0.000076884,0.000560196,-0.000483342,-0.000748601,0.011590189
0.170000000,-2.000777791,-1.999289728,0.051352310,-0.012542073,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000777792,-0.000710272,-0.000958162,0.011614615
0.210000000,-2.001138274,-1.998902528,0.057157213,-0.011418330,-1.999998656,-1.999999642,0.051923650,-0.004080178,0.001139618,-0.001097115,-0.005233563,0.007338152
0.240000000,-2.001471618,-1.998564074,0.059214270,-0.012686444,-1.999994266,-1.999998377,0.054040266,-0.007670049,0.001477352,-0.001434303,-0.005174004,0.005016396
0.270000000,-2.001857326,-1.998194200,0.062505801,-0.016958944,-1.999987230,-1.999996075,0.056833563,-0.011994324,0.001870096,-0.001801875,-0.005672239,0.004964620
0.310000000,-2.002453962,-1.997633473,0.063980860,-0.013563570,-1.999975244,-1.999990944,0.061728104,-0.018869218,0.002478718,-0.002357470,-0.002252755,-0.005305648
0.340000000,-2.002966790,-1.997158797,0.066013375,-0.019787487,-1.999964385,-1.999985427,0.066211630,-0.024689194,0.003002405,-0.002826630,0.000198256,-0.004901707
0.370000000,-2.003533163,-1.996645625,0.071371102,-0.025939987,-1.999950719,-1.999978817,0.071246153,-0.030904394,0.003582444,-0.003333193,-0.000124949,-0.004964406
