time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999975102,-2.000023343,0.05003425,0.006400387,-2.0,-2.0,0.050029904,-0.0,-2.4898e-05,2.3343e-05,-4.346e-06,-0.006400387
0.03,-1.999891218,-2.00009916,0.039431409,-0.001481459,-2.0,-2.0,0.050059808,-0.0,-0.000108782,9.916e-05,0.010628398,0.001481459
0.06,-1.999742613,-2.000209287,0.039235915,-0.001183959,-2.0,-2.0,0.050089742,-0.0,-0.000257387,0.000209287,0.010853827,0.001183959
0.1,-1.999475432,-2.000444806,0.042948827,-0.008677142,-2.0,-2.0,0.050129732,-0.0,-0.000524568,0.000444806,0.007180905,0.008677142
0.13,-1.999224806,-2.000683792,0.040175802,-0.005158662,-2.0,-2.0,0.050159731,-7.6884e-05,-0.000775194,0.000683792,0.009983929,0.005081778
0.16,-1.998913507,-2.000975897,0.040283585,-0.005971162,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.001086492,0.000975897,0.010110563,0.005043703
0.2,-1.998454047,-2.001466646,0.045184804,0.000586564,-1.999998685,-1.999999612,0.051923651,-0.004080179,-0.001544638,0.001467034,0.006738847,-0.004666743
0.23,-1.998065966,-2.001905377,0.050722454,-0.001052538,-1.999994422,-1.999998194,0.054040268,-0.007670048,-0.001928456,0.001907183,0.003317814,-0.00661751
0.26,-1.997648919,-2.002398631,0.053805094,-0.005355038,-1.999987647,-1.99999551,0.056833565,-0.011994316,-0.002338728,0.002403121,0.003028471,-0.006639279
0.3,-1.997024653,-2.00312708,0.068014217,-0.01567969,-1.999976332,-1.999989076,0.061728107,-0.018869207,-0.002951679,0.003138004,-0.00628611,-0.003189517
0.33,-1.996520042,-2.003732413,0.075359392,-0.02013584,-1.999966293,-1.999981572,0.066211634,-0.0246892,-0.003446251,0.003750842,-0.009147759,-0.00455336
0.36,-1.995981135,-2.004386697,0.081373126,-0.02637334,-1.999953766,-1.999971911,0.071246156,-0.030904411,-0.00397263,0.004414786,-0.010126969,-0.004531071
0.4,-1.995203367,-2.005335975,0.082793372,-0.030224657,-1.999931618,-1.999955327,0.07890105,-0.039786175,-0.004728251,0.005380648,-0.003892322,-0.009561518
0.43,-1.994560665,-2.006113357,0.085444562,-0.036710814,-1.99991257,-1.999940389,0.085295225,-0.046803005,-0.005351905,0.006172968,-0.000149337,-0.010092191
0.46,-1.993867865,-2.006930288,0.092742265,-0.043785814,-1.99989247,-1.999923537,0.092132932,-0.054031498,-0.006024605,0.007006751,-0.000609333,-0.010245684
0.5,-2.287559763,-1.835589705,0.104362245,-0.052792935,-1.999862171,-1.999897138,0.102010241,-0.063988037,0.287697592,-0.164307433,-0.002352004,-0.011195102
0.53,-2.292617963,-1.833118847,0.121616414,-0.062280851,-1.999835779,-1.999874292,0.109946771,-0.071646117,0.292782184,-0.166755444,-0.011669643,-0.009365266
0.56,-2.297632398,-1.830694256,0.131248549,-0.069923351,-1.99980752,-1.999849229,0.118246895,-0.079419006,0.297824878,-0.169154973,-0.013001654,-0.009495654
0.6,-2.304250795,-1.827544906,0.138770487,-0.076580555,-1.999761776,-1.999818645,0.12994442,-0.089944037,0.304489018,-0.17227374,-0.008826067,-0.013363482
0.63,-2.309176009,-1.825246194,0.148129183,-0.086588419,-1.999700812,-1.999822515,0.139158566,-0.097930155,0.309475197,-0.174576322,-0.008970618,-0.011341736
0.66,-2.314058297,-1.82298605,0.158683449,-0.094810919,-1.99960488,-1.999873027,0.148678884,-0.105981428,0.314453417,-0.176886978,-0.010004565,-0.011170509
