time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.000022159,-2.000022605,0.065300821,-0.017507114,-2.0,-2.0,0.050029904,-0.0,2.2159e-05,2.2605e-05,-0.015270917,0.017507114
0.04,-2.000103888,-2.000089967,0.062144734,0.003762514,-2.0,-2.0,0.050059808,-0.0,0.000103888,8.9967e-05,-0.012084927,-0.003762514
0.07,-2.000213505,-2.000197326,0.062350053,0.003680014,-2.0,-2.0,0.050089742,-0.0,0.000213505,0.000197326,-0.012260311,-0.003680014
0.11,-2.000424516,-2.000416909,0.048847386,8.8688e-05,-2.0,-2.0,0.050129732,-0.0,0.000424516,0.000416909,0.001282345,-8.8688e-05
0.14,-2.000624775,-2.000635346,0.048271033,-0.000290279,-2.0,-2.0,0.050159731,-7.6884e-05,0.000624775,0.000635346,0.001888699,0.000213395
0.17,-2.000854545,-2.000890524,0.048033789,-0.001095279,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000854546,0.000890525,0.002360359,0.00016782
0.21,-2.001226365,-2.001301658,0.050336828,-0.009370783,-1.999998669,-1.999999612,0.051923651,-0.004080179,0.001227696,0.001302046,0.001586824,0.005290604
0.24,-2.001545648,-2.00168615,0.054270767,-0.004741936,-1.999994332,-1.999998193,0.054040268,-0.007670049,0.001551316,0.001687958,-0.000230499,-0.002928112
0.27,-2.001909661,-2.002125415,0.056584107,-0.009379436,-1.999987391,-1.999995504,0.056833566,-0.011994318,0.001922271,0.002129911,0.000249459,-0.002614882
0.31,-2.002481475,-2.002799008,0.065579381,-0.018898898,-1.999975617,-1.999989055,0.061728108,-0.01886921,0.002505859,0.002809952,-0.003851273,2.9688e-05
0.34,-2.002959663,-2.003362323,0.065361977,-0.021501751,-1.999964997,-1.999981535,0.066211634,-0.024689206,0.002994666,0.003380789,0.000849657,-0.003187454
0.37,-2.003473561,-2.003969123,0.069760449,-0.027696751,-1.999951655,-1.999971858,0.071246157,-0.03090442,0.003521906,0.003997265,0.001485708,-0.003207669
0.41,-2.00423767,-2.004874965,0.07046242,-0.038570217,-1.999927834,-1.999955268,0.07890105,-0.039786189,0.004309836,0.004919698,0.00843863,-0.001215972
0.44,-2.004862359,-2.005602304,0.081044752,-0.04443433,-1.999906971,-1.999940347,0.085295223,-0.046803023,0.004955388,0.005661958,0.004250472,-0.002368692
0.47,-2.005518721,-2.006372574,0.087107326,-0.05148933,-1.999884578,-1.999923526,0.092132929,-0.05403152,0.005634144,0.006449048,0.005025603,-0.00254219
0.51,-1.654820295,-2.018087346,0.095889625,-0.062936574,-1.999850161,-1.999897171,0.102010237,-0.063988067,-0.345029865,0.018190175,0.006120612,-0.001051494
0.54,-1.64863242,-2.019171864,0.10156673,-0.072020478,-1.999819707,-1.999874323,0.109946764,-0.071645148,-0.351187287,0.019297541,0.008380033,0.00037533
0.57,-1.642489678,-2.020284967,0.108848717,-0.079652978,-1.99978654,-1.999849204,0.118245075,-0.079411138,-0.357296861,0.020435762,0.009396357,0.00024184
0.61,-1.63436471,-2.021828767,0.11534211,-0.087731588,-1.999745978,-1.999812545,0.129934443,-0.089930035,-0.365381268,0.022016223,0.014592333,-0.002198447
0.64,-1.628292593,-2.023041098,0.126287308,-0.096228162,-1.999739207,-1.999786501,0.139138785,-0.097916436,-0.371446614,0.023254597,0.012851477,-0.001688274
0.67,-1.622245896,-2.024301746,0.134592777,-0.104135662,-1.99976502,-1.999765846,0.14864334,-0.105960734,-0.377519124,0.0245359,0.014050563,-0.001825072
0.71,-1.614234974,-2.02603736,0.146127763,-0.115616553,-1.999866618,-1.999758283,0.161832824,-0.116774608,-0.385631644,0.026279078,0.015705061,-0.001158055
0.74,-1.608282326,-2.027378634,0.159539991,-0.125760567,-1.999981686,-1.999774832,0.172093448,-0.12494143,-0.391699361,0.027603802,0.012553457,0.000819137
0.77,-1.602380382,-2.028754393,0.169025197,-0.133808067,-2.000122178,-1.999809095,0.182602664,-0.133145488,-0.397741796,0.028945298,0.013577467,0.00066258
0.81,-1.594571119,-2.030676295,0.184705626,-0.141970086,-2.000375997,-1.999883037,0.197049699,-0.144134533,-0.405804878,0.030793258,0.012344072,-0.002164447
0.84,-1.588758124,-2.03215366,0.207908247,-0.150141231,-2.000629489,-1.999954426,0.208185815,-0.15240149,-0.411871365,0.032199234,0.000277568,-0.002260259
0.87,-1.582992218,-2.03366874,0.219203755,-0.158633731,-2.000923644,-2.000035561,0.219529197,-0.160685533,-0.417931426,0.033633179,0.000325442,-0.002051801
0.91,-1.57536314,-2.035750592,0.237282097,-0.171695571,-2.001376156,-2.000159862,0.235011089,-0.171762393,-0.426013016,0.035590729,-0.002271008,-6.6822e-05
0.94,-1.569690829,-2.037360842,0.245039564,-0.181596122,-2.001768972,-2.000261432,0.246871029,-0.180086915,-0.432078143,0.037099409,0.001831465,0.001509207
0.97,-1.564075025,-2.039018982,0.256733511,-0.189778622,-2.002212497,-2.000365868,0.258903153,-0.188419276,-0.438137473,0.038653114,0.002169641,0.001359345
1.01,-1.668471609,-2.226711759,0.280027769,-0.199816243,-2.002897108,-2.000508477,0.275237218,-0.199541304,-0.334425499,0.226203282,-0.004790551,0.000274939
1.04,-1.664635966,-2.231277691,0.301336226,-0.206705509,-2.003467048,-2.000619331,0.287696381,-0.207893133,-0.338831081,0.23065836,-0.013639845,-0.001187624
1.07,-1.660847904,-2.235862308,0.314591486,-0.214860509,-2.004077432,-2.000732601,0.300298626,-0.216244275,-0.343229527,0.235129707,-0.01429286,-0.001383765
