time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.000015992,-2.000018509,0.032544016,0.002692514,-2.0,-2.0,0.050029904,-0.0,1.5992e-05,1.8509e-05,0.017485887,-0.002692514
0.04,-2.000076362,-2.000087098,0.054972143,0.029419809,-2.0,-2.0,0.050059808,-0.0,7.6362e-05,8.7098e-05,-0.004912335,-0.029419809
0.07,-2.000164471,-2.000208274,0.055300954,0.029607309,-2.0,-2.0,0.050089742,-0.0,0.000164471,0.000208274,-0.005211213,-0.029607309
0.11,-2.000322582,-2.000433784,0.058336377,0.022924771,-2.0,-2.0,0.050129732,-0.0,0.000322582,0.000433784,-0.008206645,-0.022924771
0.14,-2.000481575,-2.000648481,0.056145703,0.017891268,-2.0,-2.0,0.050159731,-7.6884e-05,0.000481575,0.000648481,-0.005985971,-0.017968152
0.17,-2.0006713,-2.000917028,0.056775127,0.016963768,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000671301,0.000917029,-0.006380979,-0.017891226
0.21,-2.000967987,-2.001344786,0.056994606,0.00411906,-1.999998671,-1.999999611,0.051923651,-0.004080179,0.000969316,0.001345174,-0.005070955,-0.008199239
0.24,-2.001212521,-2.001714699,0.06168868,-0.004976194,-1.99999434,-1.999998185,0.054040268,-0.007670048,0.001218182,0.001716514,-0.007648412,-0.002693855
0.27,-2.001484214,-2.002130275,0.065091647,-0.009303694,-1.999987407,-1.999995467,0.056833566,-0.011994317,0.001496807,0.002134808,-0.008258082,-0.002690623
0.31,-2.001911864,-2.002752742,0.068022941,-0.01318131,-1.99997565,-1.999988869,0.061728108,-0.018869208,0.001936214,0.002763873,-0.006294833,-0.005687899
0.34,-2.002273541,-2.003246951,0.071759667,-0.018754037,-1.999965067,-1.99998111,0.066211634,-0.024689205,0.002308474,0.00326584,-0.005548033,-0.005935168
0.37,-2.002672638,-2.003776986,0.077441193,-0.025109037,-1.999951792,-1.999971094,0.071246157,-0.030904421,0.002720845,0.003805892,-0.006195037,-0.005795384
0.41,-2.00327016,-2.004546146,0.08516488,-0.034053563,-1.999928113,-1.999953877,0.078901049,-0.039786188,0.003342048,0.004592269,-0.006263831,-0.005732624
0.44,-2.003744263,-2.005185477,0.099739957,-0.045648679,-1.999907392,-1.999938403,0.085295223,-0.046803021,0.003836872,0.005247074,-0.014444734,-0.001154342
0.47,-2.004245823,-2.005870355,0.107836276,-0.052968679,-1.999885179,-1.999921012,0.092132929,-0.054031517,0.004360644,0.005949342,-0.015703347,-0.001062838
0.51,-2.438667397,-2.146100901,0.114117892,-0.059089946,-1.99985112,-1.999893988,0.102010237,-0.063988062,0.438816278,0.146206913,-0.012107655,-0.004898115
0.54,-2.447820205,-2.149637174,0.118433184,-0.067359584,-1.999821053,-1.999870878,0.109946764,-0.071644577,0.447999152,0.149766297,-0.00848642,-0.004284993
0.57,-2.457027589,-2.15322246,0.127506994,-0.075259584,-1.999788369,-1.999845834,0.118248891,-0.079406252,0.45723922,0.153376626,-0.009258103,-0.004146668
0.61,-2.469370743,-2.158087428,0.143072459,-0.085855823,-1.999733306,-1.999800388,0.129956682,-0.089923909,0.469637437,0.158287039,-0.013115777,-0.004068086
0.64,-2.478679146,-2.161815696,0.15329047,-0.093233682,-1.999657716,-1.999727772,0.139180552,-0.097915644,0.479021431,0.162087924,-0.014109918,-0.004681962
0.67,-2.488019393,-2.165608821,0.163941674,-0.101313682,-1.999537151,-1.999594115,0.14871312,-0.105959274,0.488482242,0.166014705,-0.015228554,-0.004645591
0.71,-2.500517309,-2.170764286,0.169740169,-0.110676901,-1.999283477,-1.999235214,0.161962035,-0.116750963,0.501233832,0.171529072,-0.007778134,-0.006074062
0.74,-2.509926506,-2.174715563,0.18416224,-0.118025512,-1.999034239,-1.998789885,0.172270625,-0.124918112,0.510892267,0.175925678,-0.011891615,-0.006892599
0.77,-2.519386149,-2.178745238,0.195654227,-0.126190512,-1.998742069,-1.998208493,0.182826759,-0.13315148,0.52064408,0.180536745,-0.012827468,-0.006960968
0.81,-2.532063667,-2.184203389,0.208991769,-0.137451914,-1.998247565,-1.997197531,0.197335281,-0.144171741,0.533816102,0.187005857,-0.011656488,-0.006719827
0.84,-2.541605576,-2.188357041,0.216977802,-0.142916812,-1.997785967,-1.996283761,0.208515058,-0.152427712,0.543819609,0.19207328,-0.008462745,-0.0095109
0.87,-2.551175613,-2.192562687,0.229027355,-0.151304312,-1.997267559,-1.995269691,0.219902321,-0.160701511,0.553908054,0.197292996,-0.009125033,-0.009397198
0.91,-2.563999171,-2.198219594,0.248694538,-0.163023317,-1.996488458,-1.993753754,0.235439606,-0.171796719,0.567510714,0.20446584,-0.013254932,-0.008773402
0.94,-2.573683773,-2.202501777,0.258086426,-0.170765894,-1.995826265,-1.992510945,0.247341334,-0.180136212,0.577857509,0.209990833,-0.010745092,-0.009370319
0.97,-2.583408523,-2.206814104,0.271000684,-0.178963394,-1.995094619,-1.991200614,0.259413689,-0.188467083,0.588313904,0.215613491,-0.011586995,-0.009503689
1.01,-2.199046679,-2.02355262,0.287107094,-0.188340343,-1.993996919,-1.989339162,0.275800471,-0.199573426,0.20504976,0.034213458,-0.011306623,-0.011233084
1.04,-2.202862329,-2.02508218,0.296111168,-0.197594896,-1.993098788,-1.987861903,0.288298375,-0.207928474,0.209763541,0.037220276,-0.007812792,-0.010333577
1.07,-2.206715711,-2.026643993,0.309347181,-0.206034896,-1.992144867,-1.986330474,0.300940434,-0.216285845,0.214570844,0.040313519,-0.008406747,-0.010250948
1.11,-2.211931066,-2.028761248,0.32276698,-0.217532875,-1.990752998,-1.984215151,0.318059229,-0.227406531,0.221178068,0.044546096,-0.004707751,-0.009873656
1.14,-2.215889272,-2.030376895,0.336930239,-0.227513706,-1.989637665,-1.982625549,0.331072646,-0.235750402,0.226251608,0.047751346,-0.005857594,-0.008236695
1.17,-2.219893632,-2.032008093,0.350609419,-0.235901206,-1.988503016,-1.981083837,0.344218873,-0.244098658,0.231390616,0.050924256,-0.006390545,-0.008197452
1.21,-2.225294438,-2.034196609,0.3584064,-0.248278386,-1.986991225,-1.97921898,0.361984863,-0.255192081,0.238303213,0.054977629,0.003578464,-0.006913695
1.24,-2.229399011,-2.035868286,0.370875377,-0.257189058,-1.985848877,-1.978027017,0.375469315,-0.26352658,0.243550134,0.05784127,0.004593937,-0.006337521
1.27,-2.233553422,-2.037588961,0.384375172,-0.265479058,-1.984693542,-1.976997875,0.389054002,-0.271921443,0.24885988,0.060591086,0.00467883,-0.006442385
1.31,-2.239145462,-2.039991428,0.407134939,-0.276867733,-1.983152849,-1.975897653,0.407346131,-0.283134028,0.255992612,0.064093775,0.000211192,-0.006266295
1.34,-2.243398683,-2.041864139,0.423344981,-0.285511552,-1.982010538,-1.97523927,0.421185983,-0.291493869,0.261388145,0.066624869,-0.002158998,-0.005982317
1.37,-2.247698222,-2.04379575,0.437765333,-0.293726552,-1.980862118,-1.974683072,0.435110148,-0.299851078,0.266836104,0.069112678,-0.002655185,-0.006124526
1.41,-2.253500954,-2.046440854,0.457790597,-0.305009998,-1.979280731,-1.974102376,0.453821847,-0.311038902,0.274220223,0.072338478,-0.00396875,-0.006028904
1.44,-2.257917006,-2.048477514,0.480013328,-0.315220423,-1.978060397,-1.973760567,0.467954866,-0.319435247,0.279856609,0.074716947,-0.012058462,-0.004214824
1.47,-2.262381511,-2.050555781,0.495455938,-0.323710423,-1.976830216,-1.973469387,0.482160366,-0.327817667,0.285551295,0.077086394,-0.013295573,-0.004107244
