time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000035914,-2.000025167,0.049906920,0.011269146,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000035914,0.000025167,0.000122984,-0.011269146
0.040000000,-2.000130160,-2.000097239,0.052425717,-0.009584583,-2.000000000,-2.000000000,0.050059808,-0.000000000,0.000130160,0.000097239,-0.002365909,0.009584583
0.070000000,-2.000272528,-2.000238427,0.052640902,-0.009574583,-2.000000000,-2.000000000,0.050089742,-0.000000000,0.000272528,0.000238427,-0.002551160,0.009574583
0.110000000,-2.000546915,-2.000512775,0.049661377,-0.026544563,-2.000000000,-2.000000000,0.050129732,-0.000000000,0.000546915,0.000512775,0.000468354,0.026544563
0.140000000,-2.000813976,-2.000760592,0.047956683,-0.025101789,-2.000000000,-2.000000000,0.050159731,-0.000076884,0.000813976,0.000760592,0.002203048,0.025024905
0.170000000,-2.001133194,-2.001053609,0.048289548,-0.026079289,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.001133195,0.001053610,0.002104600,0.025151831
0.210000000,-2.001663953,-2.001503080,0.040322204,-0.031859780,-1.999998670,-1.999999607,0.051923652,-0.004080179,0.001665283,0.001503474,0.011601447,0.027779601
0.240000000,-2.002132346,-2.001886364,0.039243121,-0.029554961,-1.999994333,-1.999998161,0.054040268,-0.007670049,0.002138013,0.001888203,0.014797147,0.021884912
0.270000000,-2.002659031,-2.002320163,0.041849200,-0.033669961,-1.999987391,-1.999995408,0.056833566,-0.011994317,0.002671641,0.002324756,0.014984367,0.021675643
0.310000000,-2.003462280,-2.002960862,0.047197225,-0.032347836,-1.999975601,-1.999988750,0.061728108,-0.018869210,0.003486679,0.002972112,0.014530884,0.013478627
0.340000000,-2.004139740,-2.003497025,0.056191928,-0.036601260,-1.999964950,-1.999980936,0.066211635,-0.024689208,0.004174789,0.003516088,0.010019707,0.011912052
0.370000000,-2.004879661,-2.004065449,0.061470024,-0.042838760,-1.999951554,-1.999970845,0.071246157,-0.030904424,0.004928107,0.004094604,0.009776134,0.011934335
0.410000000,-2.005968112,-2.004897408,0.067808538,-0.050480993,-1.999927593,-1.999953447,0.078901050,-0.039786191,0.006040519,0.004943961,0.011092512,0.010694802
0.440000000,-2.006838550,-2.005579414,0.068710924,-0.052627852,-1.999906548,-1.999937722,0.085295224,-0.046803024,0.006932002,0.005641693,0.016584300,0.005824827
0.470000000,-2.007760993,-2.006307494,0.075533971,-0.059760352,-1.999883901,-1.999919960,0.092132929,-0.054031524,0.007877092,0.006387534,0.016598959,0.005728827
0.510000000,-2.108152647,-2.106247871,0.092882034,-0.066286398,-1.999848971,-1.999892126,0.102010236,-0.063988075,0.108303676,0.106355745,0.009128202,0.002298323
0.540000000,-2.111130387,-2.109019913,0.103227291,-0.072400924,-1.999817968,-1.999868035,0.109946762,-0.071645309,0.111312419,0.109151878,0.006719471,0.000755615
0.570000000,-2.114161879,-2.111838746,0.112326361,-0.080275924,-1.999784107,-1.999841611,0.118245981,-0.079412500,0.114377772,0.111997136,0.005919620,0.000863423
0.610000000,-2.118280307,-2.115678882,0.124515269,-0.086384138,-1.999733478,-1.999796730,0.129939144,-0.089937663,0.118546829,0.115882152,0.005423875,-0.003553526
0.640000000,-2.121438530,-2.118609692,0.135500002,-0.098453654,-1.999685553,-1.999737755,0.139144185,-0.097931550,0.121752977,0.118871937,0.003644183,0.000522103
0.670000000,-2.124675850,-2.121584368,0.146044106,-0.106503654,-1.999625594,-1.999640258,0.148649784,-0.105983482,0.125050255,0.121944111,0.002605679,0.000520171
0.710000000,-2.129073282,-2.125613585,0.165543571,-0.116386968,-1.999520823,-1.999398424,0.161845065,-0.116809479,0.129552459,0.126215161,-0.003698506,-0.000422511
0.740000000,-2.132428016,-2.128683470,0.178413082,-0.124694025,-1.999424426,-1.999109344,0.172098110,-0.124987743,0.133003590,0.129574126,-0.006314971,-0.000293718
0.770000000,-2.135853963,-2.131789368,0.190565881,-0.132709025,-1.999313519,-1.998737138,0.182592737,-0.133203947,0.136540444,0.133052229,-0.007973144,-0.000494922
0.810000000,-2.140526572,-2.136016507,0.209912237,-0.143198748,-1.999132030,-1.998095740,0.197002478,-0.144206407,0.141394542,0.137920767,-0.012909759,-0.001007659
0.840000000,-2.144114018,-2.139235212,0.219056180,-0.150535912,-1.998969135,-1.997518216,0.208101322,-0.152480177,0.145144883,0.141716996,-0.010954857,-0.001944266
0.870000000,-2.147755783,-2.142503892,0.232099107,-0.159090912,-1.998789789,-1.996878759,0.219399741,-0.160770860,0.148965995,0.145625133,-0.012699367,-0.001679948
0.910000000,-2.152707144,-2.146922597,0.247354499,-0.169069557,-1.998524654,-1.995925146,0.234805865,-0.171855908,0.154182490,0.150997451,-0.012548633,-0.002786351
0.940000000,-2.156484952,-2.150281269,0.258949364,-0.178398165,-1.998303639,-1.995143232,0.246599527,-0.180184815,0.158181313,0.155138037,-0.012349836,-0.001786650
0.970000000,-2.160302124,-2.153679658,0.272534090,-0.186495665,-1.998063683,-1.994317466,0.258556738,-0.188520513,0.162238440,0.159362192,-0.013977352,-0.002024848
1.010000000,-2.080061497,-2.064094212,0.290364613,-0.199513486,-1.997710404,-1.993141805,0.274781046,-0.199646735,0.082351093,0.070952408,-0.015583567,-0.000133249
1.040000000,-2.082697597,-2.066153864,0.301040125,-0.208692878,-1.997424621,-1.992207624,0.287147081,-0.208001994,0.085272975,0.073946240,-0.013893043,0.000690884
1.070000000,-2.085391287,-2.068257835,0.315072545,-0.217172878,-1.997123665,-1.991237658,0.299650923,-0.216361333,0.088267622,0.077020178,-0.015421622,0.000811545
1.110000000,-2.089073953,-2.071120178,0.328254681,-0.227740501,-1.996690159,-1.989889228,0.316566683,-0.227509938,0.092383794,0.081230950,-0.011687998,0.000230563
1.140000000,-2.091895247,-2.073295185,0.336693978,-0.237928177,-1.996344011,-1.988859036,0.329419409,-0.235872790,0.095551236,0.084436150,-0.007274569,0.002055387
