time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000027499,-1.999980750,0.055054189,-0.000698567,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000027499,-0.000019250,-0.005024285,0.000698567
0.040000000,-2.000102162,-1.999913680,0.039135458,-0.023121343,-2.000000000,-2.000000000,0.050059808,-0.000000000,0.000102162,-0.000086320,0.010924350,0.023121343
0.070000000,-2.000226399,-1.999800740,0.038735371,-0.023491343,-2.000000000,-2.000000000,0.050089742,-0.000000000,0.000226399,-0.000199260,0.011354370,0.023491343
0.110000000,-2.000469297,-1.999606924,0.043025100,-0.013631467,-2.000000000,-2.000000000,0.050129732,-0.000000000,0.000469297,-0.000393076,0.007104632,0.013631467
0.140000000,-2.000704038,-1.999417275,0.036743674,-0.016823971,-2.000000000,-2.000000000,0.050159731,-0.000076884,0.000704038,-0.000582725,0.013416057,0.016747087
0.170000000,-2.000996119,-1.999202412,0.036277815,-0.017621471,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000996120,-0.000797587,0.014116333,0.016694013
0.210000000,-2.001440520,-1.998872216,0.037356860,-0.012192707,-1.999998653,-1.999999646,0.051923650,-0.004080178,0.001441867,-0.001127429,0.014566790,0.008112529
0.240000000,-2.001813066,-1.998594865,0.043602802,-0.008718699,-1.999994250,-1.999998396,0.054040266,-0.007670049,0.001818817,-0.001403531,0.010437464,0.001048651
0.270000000,-2.002231098,-1.998285366,0.045718197,-0.013163699,-1.999987185,-1.999996132,0.056833563,-0.011994324,0.002243913,-0.001710765,0.011115365,0.001169375
0.310000000,-2.002860485,-1.997814733,0.049755072,-0.018004905,-1.999975125,-1.999991112,0.061728104,-0.018869219,0.002885360,-0.002176378,0.011973032,-0.000864314
0.340000000,-2.003390222,-1.997416598,0.051921762,-0.025479470,-1.999964175,-1.999985724,0.066211630,-0.024689194,0.003426047,-0.002569126,0.014289868,0.000790276
0.370000000,-2.003954528,-1.996970132,0.056050679,-0.031739470,-1.999950390,-1.999979259,0.071246152,-0.030904394,0.004004138,-0.003009127,0.015195473,0.000835076
0.410000000,-2.004758181,-1.996319968,0.064170368,-0.041309207,-1.999925731,-1.999969572,0.078901046,-0.039786194,0.004832450,-0.003649604,0.014730678,0.001523013
0.440000000,-2.005405982,-1.995787672,0.072930759,-0.049089010,-1.999904042,-1.999962389,0.085295221,-0.046803043,0.005501940,-0.004174717,0.012364461,0.002285967
0.470000000,-2.006100994,-1.995201554,0.078991481,-0.056371510,-1.999880679,-1.999955579,0.092132928,-0.054031508,0.006220315,-0.004754026,0.013141447,0.002340002
0.510000000,-1.978140004,-1.900460302,0.089562918,-0.065791334,-1.999844685,-1.999947547,0.102010238,-0.063988003,-0.021704681,-0.099487245,0.012447320,0.001803331
0.540000000,-1.978358832,-1.897921419,0.108855715,-0.072625086,-1.999812835,-1.999942854,0.109946770,-0.071645597,-0.021454003,-0.102021435,0.001091055,0.000979489
0.570000000,-1.978599602,-1.895339601,0.117165527,-0.080435086,-1.999778160,-1.999939539,0.118245407,-0.079415407,-0.021178558,-0.104599938,0.001079880,0.001019680
0.610000000,-1.978967157,-1.891815092,0.136438402,-0.087257727,-1.999728927,-1.999942702,0.129934937,-0.089944916,-0.020761770,-0.108127611,-0.006503465,-0.002687189
