time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000024318,-2.000032705,0.021841717,-0.005103254,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000024318,0.000032705,0.028188187,0.005103254
0.030000000,-2.000087954,-2.000116683,0.034196529,-0.022971572,-2.000000000,-2.000000000,0.050069776,-0.000000000,0.000087954,0.000116683,0.015873246,0.022971572
0.060000000,-2.000199783,-2.000257769,0.033863458,-0.022964072,-2.000000000,-2.000000000,0.050099738,-0.000000000,0.000199783,0.000257769,0.016236280,0.022964072
0.100000000,-2.000415996,-2.000513120,0.048825371,-0.016801130,-2.000000000,-2.000000000,0.050139732,-0.000000000,0.000415996,0.000513120,0.001314361,0.016801130
0.130000000,-2.000637222,-2.000773004,0.039030874,-0.013270105,-2.000000000,-2.000000000,0.050169731,-0.000153768,0.000637222,0.000773004,0.011138857,0.013116337
0.160000000,-2.000914195,-2.001068632,0.039088295,-0.014200105,-1.999999870,-1.999999962,0.050686455,-0.001591795,0.000914325,0.001068670,0.011598160,0.012608310
0.200000000,-2.001352561,-2.001564736,0.040166798,-0.017378608,-1.999997471,-1.999999227,0.052571904,-0.005211882,0.001355090,0.001565509,0.012405107,0.012166726
0.230000000,-2.001738564,-2.002006926,0.044328055,-0.020683938,-1.999992412,-1.999997487,0.054860380,-0.008996513,0.001746151,0.002009439,0.010532325,0.011687425
0.260000000,-2.002187844,-2.002499603,0.047165423,-0.025026438,-1.999984582,-1.999993998,0.057980376,-0.013645691,0.002203262,0.002505605,0.010814953,0.011380747
0.300000000,-2.002860157,-2.003232822,0.054048247,-0.025729273,-1.999972320,-1.999986398,0.063175689,-0.020774217,0.002887837,0.003246424,0.009127442,0.004955055
0.330000000,-2.003422247,-2.003842047,0.059307575,-0.032523112,-1.999961163,-1.999978051,0.067799999,-0.026699190,0.003461084,0.003863995,0.008492425,0.005823923
0.360000000,-2.004036398,-2.004507677,0.064651351,-0.038760612,-1.999946166,-1.999966864,0.073098165,-0.033088789,0.004090232,0.004540813,0.008446814,0.005671823
0.400000000,-2.004942364,-2.005474110,0.072578711,-0.045613249,-1.999921132,-1.999948494,0.080994694,-0.042106395,0.005021232,0.005525616,0.008415983,0.003506854
0.430000000,-2.005690023,-2.006254154,0.083256913,-0.052886871,-1.999899947,-1.999932298,0.087502110,-0.049179445,0.005790076,0.006321856,0.004245197,0.003707426
