time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000021502,-2.000022998,0.050040500,-0.000270000,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000021502,0.000022998,-0.000010596,0.000270000
0.030000000,-2.000095410,-2.000098709,0.062562436,0.032555931,-2.000000000,-2.000000000,0.050069776,-0.000000000,0.000095410,0.000098709,-0.012492660,-0.032555931
0.060000000,-2.000216432,-2.000235685,0.063029325,0.032325931,-2.000000000,-2.000000000,0.050099738,-0.000000000,0.000216432,0.000235685,-0.012929588,-0.032325931
0.100000000,-2.000430665,-2.000521632,0.054791710,0.016308093,-2.000000000,-2.000000000,0.050139732,-0.000000000,0.000430665,0.000521632,-0.004651979,-0.016308093
0.130000000,-2.000645403,-2.000790502,0.051635719,0.019016072,-2.000000000,-2.000000000,0.050169731,-0.000153768,0.000645403,0.000790502,-0.001465988,-0.019169840
0.160000000,-2.000912588,-2.001103598,0.051990492,0.017611072,-1.999999870,-1.999999962,0.050686455,-0.001591795,0.000912718,0.001103636,-0.001304037,-0.019202867
0.200000000,-2.001334268,-2.001603764,0.052361782,0.015971279,-1.999997470,-1.999999226,0.052571904,-0.005211882,0.001336798,0.001604537,0.000210122,-0.021183161
0.230000000,-2.001702356,-2.002037891,0.064189704,0.016160871,-1.999992410,-1.999997483,0.054860380,-0.008996513,0.001709946,0.002040408,-0.009329325,-0.025157383
0.260000000,-2.002122305,-2.002528360,0.067564014,0.011565871,-1.999984577,-1.999993986,0.057980376,-0.013645691,0.002137728,0.002534375,-0.009583638,-0.025211561
0.300000000,-2.002742719,-2.003252178,0.072528718,0.001248240,-1.999972308,-1.999986364,0.063175689,-0.020774217,0.002770411,0.003265814,-0.009353029,-0.022022457
0.330000000,-2.003272438,-2.003851527,0.080641836,-0.007271241,-1.999961144,-1.999977994,0.067800000,-0.026699190,0.003311294,0.003873533,-0.012841836,-0.019427949
0.360000000,-2.003851967,-2.004502099,0.086532670,-0.013686241,-1.999946139,-1.999966777,0.073098165,-0.033088789,0.003905829,0.004535322,-0.013434505,-0.019402548
0.400000000,-2.004690561,-2.005449244,0.090609022,-0.028883661,-1.999921072,-1.999948335,0.080994694,-0.042106395,0.004769489,0.005500910,-0.009614328,-0.013222733
0.430000000,-2.005353250,-2.006215484,0.098839604,-0.037783708,-1.999899832,-1.999932008,0.087502110,-0.049179444,0.005453417,0.006283477,-0.011337495,-0.011395735
0.460000000,-2.006058646,-2.007021361,0.106509028,-0.045348708,-1.999876395,-1.999912941,0.094552374,-0.056501345,0.006182250,0.007108419,-0.011956654,-0.011152637
0.500000000,-1.873245451,-1.988606796,0.111242282,-0.053640483,-1.999840184,-1.999883480,0.104625137,-0.066530614,-0.126594733,-0.011276684,-0.006617144,-0.012890130
0.530000000,-1.871475364,-1.989146084,0.112652511,-0.059664652,-1.999808833,-1.999858304,0.112653485,-0.074217887,-0.128333469,-0.010712220,0.000000974,-0.014553235
0.560000000,-1.869763803,-1.989718254,0.121082484,-0.067854652,-1.999774732,-1.999830066,0.121124286,-0.082036623,-0.130010930,-0.010111811,0.000041802,-0.014181971
0.600000000,-1.867552702,-1.990532353,0.132443683,-0.082768548,-1.999731544,-1.999790757,0.132968012,-0.092603500,-0.132178842,-0.009258404,0.000524329,-0.009834952
0.630000000,-1.865954112,-1.991183751,0.133867230,-0.092195526,-1.999707056,-1.999764585,0.142239078,-0.100616058,-0.133752943,-0.008580834,0.008371847,-0.008420532
0.660000000,-1.864413046,-1.991874096,0.143091141,-0.100663026,-1.999696279,-1.999749934,0.151873355,-0.108697923,-0.135283234,-0.007875838,0.008782214,-0.008034898
0.700000000,-1.862458939,-1.992840103,0.160621968,-0.112960083,-1.999700276,-1.999756907,0.165170113,-0.119548558,-0.137241337,-0.006916804,0.004548145,-0.006588475
0.730000000,-1.861057863,-1.993588113,0.164172502,-0.124579387,-1.999714499,-1.999786600,0.175461678,-0.127734362,-0.138656637,-0.006198488,0.011289176,-0.003154975
0.760000000,-1.859700534,-1.994357680,0.174371547,-0.133236887,-1.999740858,-1.999841803,0.186050344,-0.135959703,-0.140040324,-0.005484122,0.011678797,-0.002722816
