time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999985649,-1.999985348,0.065761934,0.027713851,-2.0,-2.0,0.050029904,-0.0,-1.4351e-05,-1.4652e-05,-0.01573203,-0.027713851
0.03,-1.999918386,-1.999937792,0.067968189,0.020580155,-2.0,-2.0,0.050069776,-0.0,-8.1614e-05,-6.2208e-05,-0.017898414,-0.020580155
0.06,-1.999802094,-1.999867453,0.068609817,0.020812655,-2.0,-2.0,0.050099738,-0.0,-0.000197906,-0.000132547,-0.018510079,-0.020812655
0.1,-1.999574713,-1.999724036,0.06705419,0.023561322,-2.0,-2.0,0.050139732,-0.0,-0.000425287,-0.000275964,-0.016914458,-0.023561322
0.13,-1.999362642,-1.99957774,0.074962113,0.021290501,-2.0,-2.0,0.050169731,-0.000153768,-0.000637358,-0.00042226,-0.024792381,-0.021444269
0.16,-1.999098689,-1.999402572,0.076009605,0.020188001,-1.99999987,-1.999999965,0.050686455,-0.001591795,-0.000901181,-0.000597393,-0.02532315,-0.021779797
0.2,-1.998667502,-1.999108529,0.078819645,0.016280301,-1.99999747,-1.999999301,0.052571902,-0.005211881,-0.001329967,-0.000890773,-0.026247743,-0.021492182
0.23,-1.998286198,-1.998841569,0.071965037,0.002550161,-1.999992424,-1.999997782,0.054860377,-0.008996513,-0.001706226,-0.001156213,-0.01710466,-0.011546675
0.26,-1.997866271,-1.998538711,0.07535444,-0.001734839,-1.999984658,-1.999994919,0.057980372,-0.013645698,-0.002118387,-0.001456208,-0.017374067,-0.01191086
0.3,-1.997242581,-1.998083686,0.082455465,-0.012578632,-1.999972612,-1.999989144,0.063175685,-0.020774217,-0.002730031,-0.001905458,-0.01927978,-0.008195585
0.33,-1.996721499,-1.997699433,0.082823635,-0.021538881,-1.999961745,-1.999983267,0.067799995,-0.026699165,-0.003240246,-0.002283835,-0.01502364,-0.005160284
0.36,-1.996159459,-1.997280507,0.088463531,-0.027776381,-1.999947232,-1.999976144,0.073098161,-0.033088761,-0.003787773,-0.002695637,-0.01536537,-0.00531238
0.4,-1.99534272,-1.996664796,0.096808598,-0.038177894,-1.999923209,-1.999966032,0.080994692,-0.042106405,-0.004580489,-0.003301236,-0.015813907,-0.003928511
0.43,-1.99467109,-1.996173214,0.09939937,-0.045601741,-1.999903131,-1.999958616,0.087502109,-0.049179459,-0.005232041,-0.003785402,-0.011897261,-0.003577718
0.46,-1.993954494,-1.995661828,0.106682889,-0.052801741,-1.999881357,-1.999951779,0.094552378,-0.056501309,-0.005926863,-0.004289951,-0.012130511,-0.003699568
0.5,-2.022231543,-2.016243461,0.112544088,-0.057235591,-1.999848221,-1.999943981,0.104625147,-0.06653055,0.022383323,0.01629948,-0.007918941,-0.009294959
0.53,-2.021984557,-2.016051345,0.109908237,-0.068224881,-1.999819951,-1.999939693,0.112653506,-0.074218029,0.022164606,0.016111652,0.002745269,-0.005993148
0.56,-2.021688116,-2.015827692,0.117770958,-0.075772381,-1.999789626,-1.999937549,0.121123942,-0.08203742,0.02189849,0.015890144,0.003352985,-0.006265039
0.6,-2.021231698,-2.015481138,0.136438087,-0.083401795,-1.999746609,-1.99993603,0.132966731,-0.092605535,0.021485089,0.015545108,-0.003471356,-0.009203739
0.63,-2.020854167,-2.015203624,0.148506867,-0.088183824,-1.999710214,-1.999932586,0.142236539,-0.100619331,0.021143953,0.015271038,-0.006270328,-0.012435507
0.66,-2.020436131,-2.014910834,0.15847886,-0.096148824,-1.999667417,-1.999920922,0.151868421,-0.108703343,0.020768715,0.014989912,-0.006610439,-0.012554519
0.7,-2.01980559,-2.014449248,0.170106758,-0.109353936,-1.999603115,-1.999886603,0.165160452,-0.119557574,0.020202476,0.014562645,-0.004946306,-0.010203638
0.73,-2.019287633,-2.014036192,0.180335113,-0.116225862,-1.999551265,-1.999843776,0.175447154,-0.127745881,0.019736368,0.014192415,-0.004887959,-0.011520019
0.76,-2.018726809,-2.013576272,0.191269822,-0.124540862,-1.999495285,-1.999783513,0.186029995,-0.135972553,0.019231524,0.013792759,-0.005239827,-0.011431691
0.8,-2.017907007,-2.012920626,0.209698503,-0.137391246,-1.999411607,-1.999683185,0.200509403,-0.146981619,0.018495399,0.013237441,-0.0091891,-0.009590373
0.83,-2.017233453,-2.012402354,0.215672663,-0.145616607,-1.999341621,-1.999595885,0.21162993,-0.155262711,0.017891832,0.012806469,-0.004042733,-0.009646104
0.86,-2.016510069,-2.011868104,0.227392459,-0.153604107,-1.999267194,-1.999499663,0.222994998,-0.163563413,0.017242876,0.012368441,-0.004397461,-0.009959306
0.9,-2.015461229,-2.011120704,0.248068148,-0.163844097,-1.999164977,-1.999362948,0.238452554,-0.174652917,0.016296252,0.011757756,-0.009615594,-0.010808821
0.93,-2.014605185,-2.010532073,0.251896825,-0.172609428,-1.999084974,-1.99925621,0.250261103,-0.182983171,0.01552021,0.011275863,-0.001635722,-0.010373742
0.96,-2.013701481,-2.00990699,0.26413388,-0.180586928,-1.998999352,-1.999147489,0.262271054,-0.191324177,0.014702128,0.010759501,-0.001862826,-0.010737249
1.0,-2.009026808,-2.144744029,0.280408246,-0.192196008,-1.998879054,-1.999001708,0.278534981,-0.202457275,0.010147754,0.145742321,-0.001873265,-0.010261267
1.03,-2.007951233,-2.146078113,0.295352516,-0.201235237,-1.998786988,-1.998892391,0.290910901,-0.210815043,0.009164245,0.147185722,-0.004441615,-0.009579807
1.06,-2.00683687,-2.147376718,0.308441811,-0.209475237,-1.998694134,-1.998783627,0.303461748,-0.219181727,0.008142736,0.148593091,-0.004980063,-0.009706491
1.1,-2.005280551,-2.149080379,0.319179039,-0.22069048,-1.998567268,-1.998628876,0.320413418,-0.230343289,0.006713283,0.150451503,0.001234379,-0.009652809
1.13,-2.004056762,-2.150345987,0.337614804,-0.229883464,-1.998469323,-1.998485226,0.333278283,-0.238718714,0.005587439,0.151860761,-0.004336521,-0.008835249
1.16,-2.002786399,-2.15160446,0.351242709,-0.237868464,-1.998367104,-1.998278673,0.346293911,-0.247101091,0.004419295,0.153325786,-0.004948798,-0.009232627
1.2,-2.001016837,-2.153245467,0.356970224,-0.249493784,-1.998214906,-1.997877579,0.363833914,-0.258286393,0.002801931,0.155367888,0.00686369,-0.008792609
1.23,-1.99962189,-2.154443145,0.371176916,-0.259282897,-1.998079897,-1.997469242,0.377114676,-0.266675933,0.001541993,0.156973903,0.00593776,-0.007393036
1.26,-1.998177231,-2.155612038,0.38455284,-0.267802897,-1.997920856,-1.996952432,0.390510305,-0.275055289,0.000256376,0.158659606,0.005957465,-0.007252392
1.3,-1.996171584,-2.15714969,0.401330428,-0.279020772,-1.997686563,-1.996130247,0.408514637,-0.286227006,-0.001514978,0.161019443,0.007184209,-0.007206234
1.33,-1.994597203,-2.158269167,0.417159596,-0.289019997,-1.99750041,-1.995425302,0.42211756,-0.294613815,-0.002903208,0.162843865,0.004957964,-0.005593818
1.36,-1.992971268,-2.159358756,0.431089528,-0.297492497,-1.997304276,-1.994647652,0.435814301,-0.303002431,-0.004333009,0.164711104,0.004724773,-0.005509934
1.4,-1.990738383,-2.160782966,0.453531412,-0.309370474,-1.997028642,-1.993532018,0.454192626,-0.314182755,-0.006290259,0.167250948,0.000661214,-0.004812281
1.43,-1.988978099,-2.161834854,0.467560828,-0.318665696,-1.996816179,-1.992643989,0.468058452,-0.32256822,-0.007838079,0.169190865,0.000497625,-0.003902524
1.46,-1.987157752,-2.162880101,0.482159583,-0.327105696,-1.996605631,-1.991710798,0.482001858,-0.330957841,-0.009447879,0.171169303,-0.000157725,-0.003852145
1.5,-1.981172105,-2.151650812,0.505916979,-0.338504299,-1.996328457,-1.990415237,0.500688359,-0.342145981,-0.015156351,0.161235575,-0.00522862,-0.003641682
1.53,-1.979187416,-2.152500297,0.512163946,-0.34688944,-1.996120106,-1.989411351,0.514772309,-0.350535745,-0.01693269,0.163088946,0.002608363,-0.003646305
1.56,-1.977145895,-2.153328542,0.526789185,-0.35530944,-1.995912495,-1.988380418,0.528919357,-0.358925458,-0.018766601,0.164948124,0.002130172,-0.003616017
1.6,-1.974332995,-2.154411592,0.54972704,-0.366661476,-1.995646132,-1.98697433,0.547863221,-0.370113667,-0.021313137,0.167437261,-0.001863819,-0.003452191
1.63,-1.972151762,-2.155204227,0.566480034,-0.37650968,-1.995457513,-1.985901062,0.562126728,-0.378506761,-0.023305751,0.169303165,-0.004353306,-0.001997081
1.66,-1.969913675,-2.155982188,0.5754047,-0.38490468,-1.995277969,-1.984817849,0.576444263,-0.386900618,-0.025364294,0.17116434,0.001039563,-0.001995938
1.7,-1.966844025,-2.15700467,0.594391477,-0.395852177,-1.995050708,-1.983369881,0.595599612,-0.398091993,-0.028206683,0.173634789,0.001208135,-0.002239815
1.73,-1.964491761,-2.157770715,0.599498005,-0.403637095,-1.994894802,-1.982283357,0.610013642,-0.40648585,-0.030403041,0.175487358,0.010515638,-0.002848755
