time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999986488,-1.999968764,0.069891310,-0.009325774,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000013512,-0.000031236,-0.019861407,0.009325774
0.040000000,-1.999937676,-1.999894612,0.054271561,-0.016210590,-2.000000000,-2.000000000,0.050059808,-0.000000000,-0.000062324,-0.000105388,-0.004211753,0.016210590
0.070000000,-1.999840483,-1.999780470,0.054494845,-0.016345590,-2.000000000,-2.000000000,0.050089742,-0.000000000,-0.000159517,-0.000219530,-0.004405104,0.016345590
0.110000000,-1.999621909,-1.999563117,0.065706649,-0.006481847,-2.000000000,-2.000000000,0.050129732,-0.000000000,-0.000378091,-0.000436883,-0.015576917,0.006481847
0.140000000,-1.999394517,-1.999348275,0.063371714,-0.003657751,-2.000000000,-2.000000000,0.050159731,-0.000076884,-0.000605483,-0.000651725,-0.013211983,0.003580867
0.170000000,-1.999111715,-1.999099169,0.064114067,-0.004535251,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.000888284,-0.000900831,-0.013719919,0.003607793
0.210000000,-1.998685420,-1.998707710,0.064333657,-0.010481561,-1.999998666,-1.999999648,0.051923650,-0.004080179,-0.001313246,-0.001291938,-0.012410007,0.006401383
0.240000000,-1.998324233,-1.998374978,0.068469501,-0.020806484,-1.999994327,-1.999998414,0.054040265,-0.007670048,-0.001670093,-0.001623436,-0.014429236,0.013136435
0.270000000,-1.997923986,-1.998010984,0.071920211,-0.025171484,-1.999987407,-1.999996190,0.056833562,-0.011994324,-0.002063421,-0.001985205,-0.015086649,0.013177159
0.310000000,-1.997320285,-1.997446422,0.071450586,-0.026645352,-1.999975762,-1.999991317,0.061728103,-0.018869218,-0.002655477,-0.002544894,-0.009722482,0.007776134
0.340000000,-1.996824213,-1.996967446,0.077160506,-0.032525821,-1.999965351,-1.999986167,0.066211629,-0.024689190,-0.003141138,-0.003018720,-0.010948877,0.007836631
0.360000000,-1.996467902,-1.996631677,0.080817046,-0.036448321,-1.999956929,-1.999982180,0.069523073,-0.028801774,-0.003489026,-0.003350503,-0.011293973,0.007646547
0.410000000,-1.995457128,-1.995719137,0.080643111,-0.049921027,-1.999929256,-1.999971280,0.078901046,-0.039786192,-0.004472128,-0.004252142,-0.001742065,0.010134835
0.440000000,-1.994774621,-1.995106279,0.090861857,-0.050322307,-1.999909293,-1.999965134,0.085295222,-0.046803044,-0.005134672,-0.004858856,-0.005566636,0.003519263
0.470000000,-1.994037681,-1.994456875,0.098131340,-0.057784807,-1.999888127,-1.999959706,0.092132930,-0.054031506,-0.005850446,-0.005502831,-0.005998410,0.003753301
0.510000000,-2.143477573,-1.663609116,0.108450595,-0.067582848,-1.999856112,-1.999954298,0.102010242,-0.063987994,0.143621460,-0.336345182,-0.006440353,0.003594854
