time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999981454,-2.000007623,0.064109119,-0.062113253,-2.0,-2.0,0.050029904,-0.0,-1.8546e-05,7.623e-06,-0.014079215,0.062113253
0.04,-1.999918314,-2.000048168,0.056618375,-0.040621376,-2.0,-2.0,0.050059808,-0.0,-8.1686e-05,4.8168e-05,-0.006558567,0.040621376
0.07,-1.999803464,-2.000135319,0.056718563,-0.040453876,-2.0,-2.0,0.050089742,-0.0,-0.000196536,0.000135319,-0.006628821,0.040453876
0.11,-1.999546893,-2.000298332,0.04941569,-0.040490684,-2.0,-2.0,0.050129732,-0.0,-0.000453107,0.000298332,0.000714041,0.040490684
0.14,-1.999280644,-2.000459408,0.047413844,-0.033048105,-2.0,-2.0,0.050159731,-7.6884e-05,-0.000719356,0.000459408,0.002745888,0.032971221
0.17,-1.998969928,-2.000643537,0.04724966,-0.034155605,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.001030071,0.000643537,0.003144488,0.033228146
0.21,-1.998463757,-2.000915767,0.050304309,-0.037256075,-1.999998681,-1.999999618,0.051923651,-0.004080179,-0.001534924,0.000916149,0.001619342,0.033175896
0.24,-1.998023487,-2.001156495,0.045861187,-0.039754018,-1.999994403,-1.99999823,0.054040267,-0.007670048,-0.001970916,0.001158265,0.00817908,0.03208397
0.27,-1.997531065,-2.00142605,0.047983296,-0.043736518,-1.9999876,-1.999995623,0.056833565,-0.011994318,-0.002456535,0.001430426,0.008850268,0.0317422
0.31,-1.996802779,-2.001835688,0.055379782,-0.040548956,-1.999976226,-1.999989459,0.061728107,-0.018869209,-0.003173447,0.001846229,0.006348324,0.021679747
0.34,-1.996204342,-2.002195026,0.061053577,-0.04679706,-1.999966126,-1.999982385,0.066211633,-0.024689197,-0.003761784,0.002212642,0.005158056,0.022107863
0.37,-1.99555414,-2.002594017,0.065559543,-0.05301706,-1.999953524,-1.99997341,0.071246156,-0.030904405,-0.004399384,0.002620607,0.005686613,0.022112655
0.41,-1.994607761,-2.003183617,0.068779691,-0.059523262,-1.999931239,-1.999958418,0.07890105,-0.039786179,-0.005323478,0.003225199,0.010121359,0.019737083
0.44,-1.993829766,-2.003663279,0.074779713,-0.066234894,-1.999912066,-1.99994538,0.085295225,-0.046803015,-0.0060823,0.003717899,0.010515512,0.019431879
0.47,-1.993007258,-2.004159848,0.080799576,-0.073344894,-1.999891836,-1.999931078,0.092132933,-0.0540315,-0.006884577,0.00422877,0.011333357,0.019313394
0.51,-1.979016764,-1.66264702,0.087234872,-0.078932758,-1.999861372,-1.99990953,0.102010244,-0.063988026,-0.020844608,-0.337262509,0.014775372,0.014944732
0.54,-1.977863468,-1.65624757,0.09455261,-0.083189461,-1.999834872,-1.99989162,0.109946775,-0.071645768,-0.021971404,-0.34364405,0.015394166,0.011543693
0.57,-1.976661755,-1.649890284,0.101808004,-0.090879461,-1.99980654,-1.99987256,0.118254331,-0.079416349,-0.023144785,-0.349982277,0.016446328,0.011463113
0.61,-1.974973149,-1.641462343,0.113867757,-0.098607166,-1.999765564,-1.999861966,0.12998746,-0.089940188,-0.024792416,-0.358399623,0.016119704,0.008666978
0.64,-1.973652202,-1.63516076,0.12374577,-0.104030042,-1.999726663,-1.99992338,0.139232031,-0.097925555,-0.026074461,-0.364762621,0.015486261,0.006104486
0.67,-1.972291647,-1.628862287,0.132390428,-0.111787542,-1.999678517,-2.000099451,0.148793707,-0.105975354,-0.027386871,-0.371237163,0.016403279,0.005812187
0.71,-1.970397425,-1.620501468,0.150591758,-0.11894952,-1.99960774,-2.000670661,0.162102714,-0.11683271,-0.029210315,-0.380169193,0.011510955,0.00211681
0.74,-1.968913044,-1.61425565,0.166121611,-0.126528874,-1.99956915,-2.001419006,0.17244792,-0.125025245,-0.030656106,-0.387163356,0.006326309,0.001503629
0.77,-1.967384458,-1.608052917,0.176550894,-0.134661374,-1.999548247,-2.002411578,0.183034344,-0.133217441,-0.032163789,-0.39435866,0.00648345,0.001443934
0.81,-1.965280394,-1.599840619,0.186142201,-0.144688744,-1.999543485,-2.004160035,0.197566392,-0.144175987,-0.034263091,-0.404319416,0.011424191,0.000512757
0.84,-1.963634517,-1.593723959,0.198039776,-0.151106328,-1.999547274,-2.005752026,0.208753869,-0.152456413,-0.035912757,-0.412028067,0.010714093,-0.001350084
0.87,-1.961936143,-1.587641522,0.20893252,-0.159506328,-1.999557646,-2.007520016,0.220137173,-0.160759399,-0.037621502,-0.419878494,0.011204653,-0.001253071
0.91,-1.959601824,-1.579587816,0.227463028,-0.170547259,-1.999589863,-2.010153966,0.235650901,-0.171828167,-0.039988038,-0.43056615,0.008187874,-0.001280908
0.94,-1.957813825,-1.573606487,0.237609151,-0.178791304,-1.999621639,-2.012307012,0.247520448,-0.18013944,-0.041807814,-0.438700525,0.009911297,-0.001348137
0.97,-1.955980611,-1.567639366,0.249171047,-0.186976304,-1.999650866,-2.014575667,0.259552479,-0.188473082,-0.043670255,-0.446936301,0.010381432,-0.001496778
1.01,-2.278399267,-1.66653834,0.262008981,-0.197299102,-1.999683565,-2.017791841,0.275872411,-0.199613872,0.278715702,-0.351253501,0.013863431,-0.00231477
1.04,-2.282506478,-1.662272747,0.27676803,-0.207174969,-1.999711788,-2.02033081,0.288309817,-0.207968217,0.28279469,-0.358058063,0.011541787,-0.000793248
1.07,-2.286568093,-1.658050653,0.288804268,-0.215402469,-1.999743929,-2.022953275,0.300885484,-0.216318867,0.286824165,-0.364902621,0.012081216,-0.000916398
1.11,-2.291901625,-1.65247694,0.314717128,-0.224019436,-1.999775609,-2.026582983,0.317902407,-0.227463586,0.292126016,-0.374106043,0.003185279,-0.00344415
1.14,-2.295855057,-1.648337351,0.327718383,-0.233932755,-1.999765191,-2.029365554,0.330834057,-0.23583775,0.296089866,-0.381028203,0.003115674,-0.001904995
1.17,-2.29977389,-1.644253482,0.340793703,-0.242045255,-1.999716578,-2.032151263,0.343887116,-0.244219542,0.300057312,-0.387897781,0.003093413,-0.002174287
1.21,-2.304951519,-1.638874904,0.352648919,-0.252178382,-1.999568107,-2.035789768,0.361509399,-0.255403319,0.305383412,-0.396914864,0.008860481,-0.003224936
1.24,-2.308797895,-1.634882658,0.371930126,-0.260863148,-1.999384255,-2.038415436,0.374862146,-0.263803917,0.30941364,-0.403532779,0.002932019,-0.00294077
