time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.000008768,-1.99996886,0.065228922,-0.015306657,-2.0,-2.0,0.050029904,-0.0,8.768e-06,-3.114e-05,-0.015199018,0.015306657
0.03,-2.000053803,-1.999884622,0.059811387,0.008942288,-2.0,-2.0,0.050069776,-0.0,5.3803e-05,-0.000115378,-0.009741611,-0.008942288
0.06,-2.000144436,-1.999755998,0.060203459,0.009212288,-2.0,-2.0,0.050099738,-0.0,0.000144436,-0.000244002,-0.010103722,-0.009212288
0.1,-2.000320445,-1.999510803,0.049950963,0.007826256,-2.0,-2.0,0.050139732,-0.0,0.000320445,-0.000489197,0.000188769,-0.007826256
0.13,-2.00048958,-1.99926973,0.044613456,-0.000573069,-2.0,-2.0,0.050169731,-0.000153768,0.00048958,-0.00073027,0.005556275,0.000419301
0.16,-2.000691452,-1.998987902,0.044836412,-0.001465569,-1.999999869,-1.999999966,0.050686455,-0.001591795,0.000691583,-0.001012063,0.005850043,-0.000126226
0.2,-2.001015646,-1.998562799,0.047576953,0.003275919,-1.999997434,-1.99999932,0.052571902,-0.005211881,0.001018212,-0.001436521,0.004994949,-0.0084878
0.23,-2.001294133,-1.998196841,0.049775039,-0.006965937,-1.999992293,-1.999997853,0.054860377,-0.008996514,0.00130184,-0.001801012,0.005085338,-0.002030577
0.26,-2.00160918,-1.997797412,0.052755973,-0.011140937,-1.999984308,-1.999995134,0.057980372,-0.013645701,0.001624872,-0.002197722,0.005224399,-0.002504765
0.3,-2.002074297,-1.99718484,0.062530755,-0.018340912,-1.99997174,-1.99998976,0.063175684,-0.020774219,0.002102556,-0.00280492,0.000644929,-0.002433308
0.33,-2.00245778,-1.996658668,0.066758793,-0.025877156,-1.999960264,-1.999984396,0.067799994,-0.026699164,0.002497516,-0.003325728,0.001041201,-0.000822009
0.36,-2.002894155,-1.996077158,0.072319759,-0.031944656,-1.999944832,-1.999978057,0.07309816,-0.033088761,0.002949322,-0.003900898,0.000778401,-0.001144105
0.4,-2.003537118,-1.995224053,0.078745531,-0.039385948,-1.999919036,-1.999969421,0.08099469,-0.04210641,0.003618082,-0.004745368,0.002249158,-0.002720462
0.43,-2.004065777,-1.994526309,0.085787581,-0.048043176,-1.999897141,-1.999963471,0.087502107,-0.049179463,0.004168636,-0.005437162,0.001714525,-0.001136287
0.46,-2.004623136,-1.993788439,0.093194218,-0.055085676,-1.999872964,-1.999958483,0.094552373,-0.056501306,0.004750172,-0.006170044,0.001358155,-0.001415631
0.5,-2.053454735,-2.014399557,0.096044199,-0.059538611,-1.999835657,-1.999953688,0.104625141,-0.066530542,0.053619077,0.014445868,0.008580941,-0.006991931
0.53,-2.055016709,-2.013998698,0.104473965,-0.069831074,-1.999803408,-1.999952073,0.112653497,-0.074217953,0.055213301,0.014046625,0.008179532,-0.004386879
0.56,-2.056599406,-2.01354532,0.112972798,-0.077608574,-1.999768064,-1.999953043,0.1211242,-0.082036978,0.056831342,0.013592277,0.008151402,-0.004428404
0.6,-2.058762282,-2.012858327,0.120654689,-0.086414274,-1.999716073,-1.999956108,0.132967741,-0.092604465,0.059046209,0.012902219,0.012313052,-0.006190191
0.63,-2.060409548,-2.012287923,0.132704874,-0.097880367,-1.999670086,-1.999956117,0.142238463,-0.100617602,0.060739462,0.012331806,0.009533588,-0.002737235
0.66,-2.06209705,-2.011671175,0.142465329,-0.105597867,-1.99961354,-1.999947359,0.151871751,-0.108700685,0.06248351,0.011723816,0.009406422,-0.003102818
0.7,-2.064396858,-2.010796738,0.148553288,-0.119160117,-1.999525068,-1.999915344,0.165166201,-0.119553177,0.064871791,0.010881393,0.016612913,-0.00039306
0.73,-2.066169193,-2.010086886,0.15961514,-0.123644376,-1.999451153,-1.999872656,0.175455224,-0.127740193,0.066718039,0.010214231,0.015840083,-0.004095817
0.76,-2.067973171,-2.009339383,0.170039704,-0.131366876,-1.999368989,-1.999810757,0.186040779,-0.135965992,0.068604181,0.009528627,0.016001076,-0.004599116
0.8,-2.070429381,-2.00827985,0.186976424,-0.142913864,-1.99924328,-1.9997061,0.200524994,-0.14697396,0.071186101,0.00857375,0.01354857,-0.004060096
0.83,-2.072303336,-2.007430198,0.201428477,-0.146097622,-1.999135752,-1.999614151,0.211649628,-0.155253956,0.073167583,0.007816046,0.010221151,-0.009156333
0.86,-2.074219157,-2.006526656,0.21316975,-0.154460122,-1.999018028,-1.999512011,0.223019437,-0.163553591,0.075201129,0.007014646,0.009849687,-0.009093468
0.9,-2.076812231,-2.005242502,0.234313716,-0.164856693,-1.998850602,-1.999365829,0.2384839,-0.174641953,0.077961628,0.005876673,0.004170183,-0.00978526
0.93,-2.078786067,-2.004235551,0.244749158,-0.172660459,-1.99871529,-1.999250983,0.250298162,-0.182971463,0.080070777,0.004984568,0.005549004,-0.010311005
0.96,-2.080788262,-2.003172666,0.257470037,-0.180755459,-1.998566761,-1.99913337,0.262314449,-0.19131168,0.082221501,0.004039296,0.004844412,-0.010556221
1.0,-2.061270138,-2.133230555,0.271331413,-0.191893807,-1.998352253,-1.998974722,0.278587459,-0.202443665,0.062917885,0.134255833,0.007256046,-0.010549858
1.03,-2.063019135,-2.134038828,0.279034616,-0.20100872,-1.998182078,-1.9988549,0.290970928,-0.210800904,0.064837057,0.135183928,0.011936312,-0.009792185
1.06,-2.064802139,-2.134799434,0.291870824,-0.20899122,-1.998003098,-1.998734783,0.303528612,-0.219168189,0.066799042,0.136064651,0.011657788,-0.010176969
