time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000029334,-2.000036088,0.049973000,-0.023040943,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000029334,0.000036088,0.000056904,0.023040943
0.030000000,-2.000090967,-2.000133044,0.058950937,-0.014414744,-2.000000000,-2.000000000,0.050069776,-0.000000000,0.000090967,0.000133044,-0.008881161,0.014414744
0.060000000,-2.000197943,-2.000268863,0.059122658,-0.014114744,-2.000000000,-2.000000000,0.050099738,-0.000000000,0.000197943,0.000268863,-0.009022920,0.014114744
0.100000000,-2.000404298,-2.000518768,0.060244727,-0.002293365,-2.000000000,-2.000000000,0.050139732,-0.000000000,0.000404298,0.000518768,-0.010104995,0.002293365
0.130000000,-2.000622750,-2.000765569,0.048983916,0.003192826,-2.000000000,-2.000000000,0.050169731,-0.000153768,0.000622750,0.000765569,0.001185815,-0.003346593
0.160000000,-2.000896857,-2.001068759,0.048859906,0.002250326,-1.999999870,-1.999999962,0.050686455,-0.001591795,0.000896986,0.001068797,0.001826549,-0.003842121
0.200000000,-2.001333145,-2.001542286,0.042825408,-0.003673524,-1.999997470,-1.999999229,0.052571904,-0.005211882,0.001335675,0.001543057,0.009746496,-0.001538358
0.230000000,-2.001708090,-2.001949907,0.047707598,-0.011407539,-1.999992411,-1.999997493,0.054860380,-0.008996513,0.001715679,0.001952414,0.007152782,0.002411026
0.260000000,-2.002133017,-2.002404822,0.049968509,-0.015620039,-1.999984581,-1.999994017,0.057980376,-0.013645691,0.002148436,0.002410804,0.008011867,0.001974348
0.300000000,-2.002779798,-2.003073186,0.047596835,-0.028332581,-1.999972318,-1.999986459,0.063175689,-0.020774217,0.002807480,0.003086728,0.015578854,0.007558363
0.330000000,-2.003328467,-2.003635937,0.056002707,-0.031208056,-1.999961157,-1.999978172,0.067799999,-0.026699189,0.003367310,0.003657765,0.011797293,0.004508866
0.360000000,-2.003926893,-2.004255449,0.060387457,-0.037160556,-1.999946156,-1.999967088,0.073098165,-0.033088788,0.003980737,0.004288361,0.012710709,0.004071767
0.400000000,-2.004806381,-2.005187574,0.070683956,-0.048781614,-1.999921101,-1.999948905,0.080994694,-0.042106395,0.004885280,0.005238668,0.010310737,0.006675219
0.430000000,-2.005519958,-2.005945580,0.080526494,-0.057150978,-1.999899875,-1.999932852,0.087502110,-0.049179444,0.005620082,0.006012728,0.006975616,0.007971534
0.460000000,-2.006282523,-2.006738405,0.087038150,-0.064575978,-1.999876454,-1.999914158,0.094552374,-0.056501345,0.006406069,0.006824247,0.007514224,0.008074633
0.500000000,-1.812822267,-2.097106228,0.092227293,-0.073944707,-1.999840260,-1.999885346,0.104625138,-0.066530612,-0.187017993,0.097220882,0.012397845,0.007414095
0.530000000,-1.809869545,-2.099765747,0.095765293,-0.085336195,-1.999808921,-1.999860778,0.112653486,-0.074218542,-0.189939376,0.099904969,0.016888193,0.011117653
0.560000000,-1.806947538,-2.102474127,0.103087876,-0.093143695,-1.999774912,-1.999832892,0.121124454,-0.082038487,-0.192827374,0.102641235,0.018036579,0.011105209
0.600000000,-1.803122766,-2.106147577,0.126892619,-0.104789779,-1.999734305,-1.999784817,0.132968673,-0.092602637,-0.196611539,0.106362759,0.006076054,0.012187142
0.630000000,-1.800303368,-2.108954433,0.135828806,-0.110503914,-1.999717562,-1.999729730,0.142240305,-0.100611970,-0.199414194,0.109224703,0.006411498,0.009891944
0.660000000,-1.797531760,-2.111818412,0.145148684,-0.118491414,-1.999724712,-1.999637103,0.151877343,-0.108695579,-0.202192952,0.112181309,0.006728659,0.009795835
0.700000000,-1.793912350,-2.115713637,0.164526894,-0.128649067,-1.999763817,-1.999441301,0.165184632,-0.119552092,-0.205851467,0.116272336,0.000657738,0.009096975
0.730000000,-1.791244678,-2.118676688,0.168291718,-0.139353708,-1.999807324,-1.999232895,0.175490181,-0.127738652,-0.208562646,0.119443793,0.007198463,0.011615056
0.760000000,-1.788628768,-2.121668663,0.178417169,-0.147978708,-1.999863450,-1.998961760,0.186096724,-0.135954488,-0.211234683,0.122706903,0.007679555,0.012024220
0.800000000,-1.785203438,-2.125705364,0.195472446,-0.161032864,-1.999968492,-1.998521175,0.200617054,-0.146950304,-0.214765054,0.127184189,0.005144607,0.014082560
0.830000000,-1.782677303,-2.128762927,0.208592489,-0.169505749,-2.000075649,-1.998136486,0.211772678,-0.155228420,-0.217398346,0.130626441,0.003180189,0.014277329
0.860000000,-1.780200030,-2.131852992,0.219797625,-0.177918249,-2.000206628,-1.997704943,0.223178224,-0.163526854,-0.220006597,0.134148049,0.003380599,0.014391395
0.900000000,-1.776984120,-2.136019970,0.243339303,-0.189065889,-2.000407046,-1.997075742,0.238695624,-0.174608088,-0.223422927,0.138944227,-0.004643678,0.014457802
0.930000000,-1.774632895,-2.139204083,0.255143530,-0.198564116,-2.000582382,-1.996566598,0.250553354,-0.182932002,-0.225949487,0.142637485,-0.004590176,0.015632114
0.960000000,-1.772326253,-2.142418806,0.267440319,-0.206921616,-2.000792750,-1.996021891,0.262617373,-0.191270951,-0.228466497,0.146396915,-0.004822946,0.015650665
