time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999978343,-1.999975347,0.096907130,0.013079521,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000021657,-0.000024653,-0.046877226,-0.013079521
0.030000000,-1.999912167,-1.999909888,0.065174912,0.011572989,-2.000000000,-2.000000000,0.050069776,-0.000000000,-0.000087833,-0.000090112,-0.015105137,-0.011572989
0.060000000,-1.999801404,-1.999809140,0.065769689,0.011682989,-2.000000000,-2.000000000,0.050099738,-0.000000000,-0.000198596,-0.000190860,-0.015669951,-0.011682989
0.100000000,-1.999585587,-1.999597697,0.052188276,0.010463353,-2.000000000,-2.000000000,0.050139732,-0.000000000,-0.000414413,-0.000402303,-0.002048544,-0.010463353
0.130000000,-1.999371843,-1.999379328,0.044646029,0.007800363,-2.000000000,-2.000000000,0.050169731,-0.000153768,-0.000628157,-0.000620672,0.005523703,-0.007954131
0.160000000,-1.999101493,-1.999113237,0.044930169,0.006920363,-1.999999870,-1.999999965,0.050686455,-0.001591795,-0.000898377,-0.000886728,0.005756286,-0.008512159
0.200000000,-1.998683597,-1.998703153,0.051775420,-0.000623420,-1.999997464,-1.999999313,0.052571902,-0.005211881,-0.001313867,-0.001296160,0.000796482,-0.004588461
0.230000000,-1.998331477,-1.998361322,0.057431844,-0.005297191,-1.999992404,-1.999997830,0.054860377,-0.008996514,-0.001660927,-0.001636507,-0.002571468,-0.003699323
0.260000000,-1.997947470,-1.997986893,0.060742943,-0.009719691,-1.999984611,-1.999995069,0.057980372,-0.013645700,-0.002037141,-0.002008176,-0.002762571,-0.003926009
0.300000000,-1.997377904,-1.997461769,0.058174708,-0.014784418,-1.999972508,-1.999989592,0.063175684,-0.020774218,-0.002594605,-0.002527823,0.005000975,-0.005989800
0.330000000,-1.996906074,-1.997036536,0.066555318,-0.016202439,-1.999961580,-1.999984118,0.067799994,-0.026699162,-0.003055506,-0.002947582,0.001244676,-0.010496723
0.360000000,-1.996406544,-1.996564496,0.072137159,-0.022462439,-1.999946980,-1.999977649,0.073098161,-0.033088758,-0.003540436,-0.003413153,0.000961002,-0.010626319
0.400000000,-1.995696973,-1.995888404,0.076476314,-0.029632019,-1.999922795,-1.999968838,0.080994691,-0.042106408,-0.004225822,-0.004080435,0.004518376,-0.012474389
0.430000000,-1.995112662,-1.995354528,0.088405931,-0.038518727,-1.999902560,-1.999962763,0.087502109,-0.049179463,-0.004789898,-0.004608236,-0.000903822,-0.010660735
0.460000000,-1.994483855,-1.994794527,0.096088737,-0.046003727,-1.999880592,-1.999957660,0.094552377,-0.056501307,-0.005396737,-0.005163132,-0.001536360,-0.010497580
0.500000000,-1.696959866,-2.210157116,0.099027422,-0.055154499,-1.999847144,-1.999952710,0.104625146,-0.066530546,-0.302887278,0.210204406,0.005597724,-0.011376047
0.530000000,-1.690403656,-2.213761929,0.104664256,-0.062551778,-1.999818594,-1.999950955,0.112653504,-0.074218726,-0.309414938,0.213810974,0.007989248,-0.011666948
0.560000000,-1.683800005,-2.217333333,0.113301156,-0.070556778,-1.999788512,-1.999951067,0.121133582,-0.082037137,-0.315988507,0.217382266,0.007832426,-0.011480359
0.600000000,-1.674938241,-2.222034754,0.128857316,-0.085375472,-1.999760223,-1.999936629,0.133001753,-0.092589439,-0.324821982,0.222098125,0.004144438,-0.007213967
0.630000000,-1.668244117,-2.225515613,0.134421953,-0.091653816,-1.999765506,-1.999885014,0.142298023,-0.100584218,-0.331521388,0.225630599,0.007876071,-0.008930402
0.660000000,-1.661513010,-2.228975745,0.144385358,-0.099916316,-1.999813100,-1.999741960,0.151973915,-0.108662429,-0.338300090,0.229233785,0.007588557,-0.008746113
0.700000000,-1.652499860,-2.233560917,0.160133215,-0.110362121,-1.999923837,-1.999369042,0.165350355,-0.119528634,-0.347423977,0.234191874,0.005217140,-0.009166513
0.730000000,-1.645698520,-2.236972399,0.171886514,-0.119762314,-2.000026749,-1.998933090,0.175715498,-0.127709776,-0.354328229,0.238039309,0.003828984,-0.007947462
0.760000000,-1.638850763,-2.240353338,0.183285516,-0.127979814,-2.000148331,-1.998338730,0.186385401,-0.135897962,-0.361297568,0.242014608,0.003099885,-0.007918148
0.800000000,-1.629637158,-2.244810327,0.192153041,-0.138858935,-2.000360469,-1.997351030,0.200996400,-0.146873337,-0.370723311,0.247459297,0.008843358,-0.008014401
0.830000000,-1.622668160,-2.248122882,0.203061650,-0.147265207,-2.000565809,-1.996480382,0.212221999,-0.155156170,-0.377897648,0.251642499,0.009160349,-0.007890963
0.860000000,-1.615658513,-2.251413598,0.214954402,-0.155512707,-2.000808432,-1.995501897,0.223702215,-0.163454822,-0.385149919,0.255911701,0.008747813,-0.007942115
0.900000000,-1.606238454,-2.255755248,0.239063946,-0.165900955,-2.001175312,-1.994078292,0.239321510,-0.174521720,-0.394936857,0.261676955,0.000257563,-0.008620764
0.930000000,-1.599112294,-2.258970299,0.251898040,-0.175389583,-2.001496022,-1.992931673,0.251259638,-0.182837156,-0.402383728,0.266038626,-0.000638401,-0.007447573
0.960000000,-1.591930882,-2.262158186,0.265210312,-0.183637083,-2.001878843,-1.991714764,0.263406066,-0.191177675,-0.409947961,0.270443421,-0.001804246,-0.007540592
