time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999978343,-1.999975347,0.09690713,0.013079521,-2.0,-2.0,0.050029904,-0.0,-2.1657e-05,-2.4653e-05,-0.046877226,-0.013079521
0.03,-1.999912167,-1.999909888,0.065174912,0.011572989,-2.0,-2.0,0.050069776,-0.0,-8.7833e-05,-9.0112e-05,-0.015105137,-0.011572989
0.06,-1.999801404,-1.99980914,0.065769689,0.011682989,-2.0,-2.0,0.050099738,-0.0,-0.000198596,-0.00019086,-0.015669951,-0.011682989
0.1,-1.999585587,-1.999597697,0.052188276,0.010463353,-2.0,-2.0,0.050139732,-0.0,-0.000414413,-0.000402303,-0.002048544,-0.010463353
0.13,-1.999371843,-1.999379328,0.044646029,0.007800363,-2.0,-2.0,0.050169731,-0.000153768,-0.000628157,-0.000620672,0.005523703,-0.007954131
0.16,-1.999101493,-1.999113237,0.044930169,0.006920363,-1.99999987,-1.999999965,0.050686455,-0.001591795,-0.000898377,-0.000886728,0.005756286,-0.008512159
0.2,-1.998683597,-1.998703153,0.05177542,-0.00062342,-1.999997464,-1.999999313,0.052571902,-0.005211881,-0.001313867,-0.00129616,0.000796482,-0.004588461
0.23,-1.998331477,-1.998361322,0.057431844,-0.005297191,-1.999992404,-1.99999783,0.054860377,-0.008996514,-0.001660927,-0.001636507,-0.002571468,-0.003699323
0.26,-1.99794747,-1.997986893,0.060742943,-0.009719691,-1.999984611,-1.999995069,0.057980372,-0.0136457,-0.002037141,-0.002008176,-0.002762571,-0.003926009
0.3,-1.997377904,-1.997461769,0.058174708,-0.014784418,-1.999972508,-1.999989592,0.063175684,-0.020774218,-0.002594605,-0.002527823,0.005000975,-0.0059898
0.33,-1.996906074,-1.997036536,0.066555318,-0.016202439,-1.99996158,-1.999984118,0.067799994,-0.026699162,-0.003055506,-0.002947582,0.001244676,-0.010496723
0.36,-1.996406544,-1.996564496,0.072137159,-0.022462439,-1.99994698,-1.999977649,0.073098161,-0.033088758,-0.003540436,-0.003413153,0.000961002,-0.010626319
0.4,-1.995696973,-1.995888404,0.076476314,-0.029632019,-1.999922795,-1.999968838,0.080994691,-0.042106408,-0.004225822,-0.004080435,0.004518376,-0.012474389
0.43,-1.995112662,-1.995354528,0.088405931,-0.038518727,-1.99990256,-1.999962763,0.087502109,-0.049179463,-0.004789898,-0.004608236,-0.000903822,-0.010660735
0.46,-1.994483855,-1.994794527,0.096088737,-0.046003727,-1.999880592,-1.99995766,0.094552377,-0.056501307,-0.005396737,-0.005163132,-0.00153636,-0.01049758
0.5,-1.696959866,-2.210157116,0.099027422,-0.055154499,-1.999847144,-1.99995271,0.104625146,-0.066530546,-0.302887278,0.210204406,0.005597724,-0.011376047
0.53,-1.690403656,-2.213761929,0.104664256,-0.062551778,-1.999818594,-1.999950955,0.112653504,-0.074218726,-0.309414938,0.213810974,0.007989248,-0.011666948
0.56,-1.683800005,-2.217333333,0.113301156,-0.070556778,-1.999788512,-1.999951067,0.121133582,-0.082037137,-0.315988507,0.217382266,0.007832426,-0.011480359
0.6,-1.674938241,-2.222034754,0.128857316,-0.085375472,-1.999760223,-1.999936629,0.133001753,-0.092589439,-0.324821982,0.222098125,0.004144438,-0.007213967
0.63,-1.668244117,-2.225515613,0.134421953,-0.091653816,-1.999765506,-1.999885014,0.142298023,-0.100584218,-0.331521388,0.225630599,0.007876071,-0.008930402
0.66,-1.66151301,-2.228975745,0.144385358,-0.099916316,-1.9998131,-1.99974196,0.151973915,-0.108662429,-0.33830009,0.229233785,0.007588557,-0.008746113
0.7,-1.65249986,-2.233560917,0.160133215,-0.110362121,-1.999923837,-1.999369042,0.165350355,-0.119528634,-0.347423977,0.234191874,0.00521714,-0.009166513
0.73,-1.64569852,-2.236972399,0.171886514,-0.119762314,-2.000026749,-1.99893309,0.175715498,-0.127709776,-0.354328229,0.238039309,0.003828984,-0.007947462
0.76,-1.638850763,-2.240353338,0.183285516,-0.127979814,-2.000148331,-1.99833873,0.186385401,-0.135897962,-0.361297568,0.242014608,0.003099885,-0.007918148
0.8,-1.629637158,-2.244810327,0.192153041,-0.138858935,-2.000360469,-1.99735103,0.2009964,-0.146873337,-0.370723311,0.247459297,0.008843358,-0.008014401
0.83,-1.62266816,-2.248122882,0.20306165,-0.147265207,-2.000565809,-1.996480382,0.212221999,-0.15515617,-0.377897648,0.251642499,0.009160349,-0.007890963
0.86,-1.615658513,-2.251413598,0.214954402,-0.155512707,-2.000808432,-1.995501897,0.223702215,-0.163454822,-0.385149919,0.255911701,0.008747813,-0.007942115
0.9,-1.606238454,-2.255755248,0.239063946,-0.165900955,-2.001175312,-1.994078292,0.23932151,-0.17452172,-0.394936857,0.261676955,0.000257563,-0.008620764
0.93,-1.599112294,-2.258970299,0.25189804,-0.175389583,-2.001496022,-1.992931673,0.251259638,-0.182837156,-0.402383728,0.266038626,-0.000638401,-0.007447573
0.96,-1.591930882,-2.262158186,0.265210312,-0.183637083,-2.001878843,-1.991714764,0.263406066,-0.191177675,-0.409947961,0.270443421,-0.001804246,-0.007540592
1.0,-1.585021865,-2.106425556,0.280225532,-0.197904178,-2.002465629,-1.99001194,0.279860978,-0.202313149,-0.417443764,0.116413616,-0.000364554,-0.004408971
1.03,-1.577806145,-2.107181986,0.289574183,-0.208395604,-2.002952613,-1.988683597,0.292387903,-0.210666561,-0.425146468,0.11849839,0.00281372,-0.002270957
1.06,-1.570541205,-2.107919361,0.303152024,-0.216870604,-2.003492071,-1.987310987,0.305090556,-0.219034885,-0.432950866,0.120608374,0.001938531,-0.00216428
1.1,-1.560786944,-2.108855703,0.313452423,-0.227774744,-2.004304561,-1.985440682,0.322249171,-0.230206012,-0.443517617,0.123415021,0.008796748,-0.002431269
1.13,-1.55340442,-2.109521448,0.326785521,-0.23700967,-2.004986413,-1.984037814,0.335271124,-0.238588123,-0.451581994,0.125483634,0.008485603,-0.001578452
1.16,-1.545984326,-2.110157089,0.340499487,-0.24535217,-2.005733072,-1.982685293,0.348445996,-0.24698511,-0.459748746,0.127471797,0.007946509,-0.001632939
1.2,-1.53601161,-2.110966305,0.351452226,-0.256836568,-2.006828778,-1.981005592,0.366199382,-0.258209392,-0.470817168,0.129960713,0.014747156,-0.001372824
1.23,-1.528473821,-2.11155591,0.360786826,-0.264970248,-2.00774927,-1.979855292,0.379648808,-0.266620841,-0.479275449,0.131700618,0.018861982,-0.001650593
1.26,-1.520878081,-2.112128489,0.374317631,-0.273487748,-2.008780431,-1.978817776,0.393216172,-0.274993595,-0.487902351,0.133310713,0.018898541,-0.001505847
1.3,-1.510693979,-2.112857258,0.40515648,-0.285690424,-2.01028024,-1.97757974,0.411459726,-0.286161618,-0.499586262,0.135277518,0.006303246,-0.000471194
1.33,-1.503008686,-2.113385554,0.422290915,-0.293281637,-2.011486706,-1.976751267,0.425246757,-0.294566367,-0.508478021,0.136634287,0.002955842,-0.001284731
1.36,-1.495260457,-2.113905121,0.437400734,-0.301839137,-2.01278509,-1.976004798,0.439134739,-0.30297172,-0.517524633,0.137900323,0.001734005,-0.001132584
1.4,-1.484837656,-2.11457547,0.449803581,-0.312780597,-2.014655569,-1.9750964,0.457775479,-0.314147812,-0.529817913,0.13947907,0.007971898,-0.001367216
1.43,-1.476967916,-2.115063813,0.468621674,-0.321431351,-2.016153338,-1.974474246,0.471843423,-0.322524105,-0.539185422,0.140589567,0.003221749,-0.001092754
1.46,-1.469037659,-2.115533215,0.483915037,-0.329918851,-2.017727532,-1.973908868,0.485994741,-0.330919343,-0.548689873,0.141624347,0.002079703,-0.001000491
1.5,-1.65736896,-2.094840371,0.499555223,-0.341735983,-2.019935148,-1.973219283,0.504962295,-0.342123588,-0.362566187,0.121621088,0.005407072,-0.000387605
1.53,-1.651769067,-2.095026314,0.508519398,-0.349962652,-2.021688299,-1.972739535,0.519262537,-0.350514462,-0.369919232,0.122286779,0.010743138,-0.00055181
1.56,-1.64611649,-2.09519687,0.52340892,-0.358210152,-2.023538685,-1.972291229,0.533624827,-0.35889588,-0.377422195,0.122905641,0.010215906,-0.000685728
1.6,-1.638489088,-2.095402574,0.541895463,-0.368726454,-2.02610292,-1.971734598,0.552862138,-0.370079955,-0.387613831,0.123667976,0.010966675,-0.0013535
1.63,-1.632701671,-2.095522294,0.557416272,-0.377018247,-2.028082758,-1.971339942,0.56734713,-0.378480374,-0.395381087,0.124182352,0.009930858,-0.001462127
1.66,-1.626849999,-2.095626251,0.574908514,-0.385588247,-2.030121623,-1.970945744,0.581888285,-0.386884058,-0.403271624,0.124680508,0.006979771,-0.001295811
1.7,-1.618955932,-2.095728641,0.59867048,-0.396812948,-2.0329232,-1.970392259,0.601340713,-0.398086362,-0.413967268,0.125336382,0.002670234,-0.001273414
1.73,-1.612984162,-2.09579643,0.621554421,-0.405422792,-2.035075227,-1.96994998,0.615975707,-0.406489485,-0.422091065,0.12584645,-0.005578714,-0.001066693
1.76,-1.606964797,-2.095845168,0.637966722,-0.413800292,-2.037262593,-1.96948228,0.630654091,-0.414890284,-0.430297796,0.126362888,-0.007312631,-0.001089992
