time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999975068,-2.000018072,0.0500075,-0.005357637,-2.0,-2.0,0.050029904,-0.0,-2.4932e-05,1.8072e-05,2.2404e-05,0.005357637
0.03,-1.999898852,-2.00008161,0.071748696,-0.019675566,-2.0,-2.0,0.050069776,-0.0,-0.000101148,8.161e-05,-0.02167892,0.019675566
0.06,-1.99975327,-2.00019149,0.072279528,-0.019968066,-2.0,-2.0,0.050099738,-0.0,-0.00024673,0.00019149,-0.022179791,0.019968066
0.1,-1.999481489,-2.000398385,0.072158579,-0.013750319,-2.0,-2.0,0.050139732,-0.0,-0.000518511,0.000398385,-0.022018848,0.013750319
0.13,-1.999213148,-2.000603689,0.074001072,-0.011388315,-2.0,-2.0,0.050169731,-0.000153768,-0.000786852,0.000603689,-0.023831341,0.011234547
0.16,-1.998887847,-2.000855671,0.074564765,-0.012525815,-1.999999871,-1.999999963,0.050686455,-0.001591795,-0.001112024,0.000855708,-0.02387831,0.010934019
0.2,-1.998381309,-2.001254642,0.079984457,-0.007833862,-1.99999749,-1.99999925,0.052571904,-0.005211882,-0.001616181,0.001255392,-0.027412554,0.002621981
0.23,-1.997947493,-2.001594075,0.078425281,-0.008128002,-1.99999249,-1.999997577,0.054860379,-0.008996512,-0.002044996,0.001596498,-0.023564902,-0.00086851
0.26,-1.997461813,-2.00198094,0.081393596,-0.012578002,-1.999984815,-1.999994276,0.057980375,-0.013645691,-0.002523002,0.001986664,-0.023413222,-0.001067689
0.3,-1.996731998,-2.002569496,0.075290194,-0.018373948,-1.999972965,-1.999987196,0.063175687,-0.020774214,-0.003240967,0.0025823,-0.012114507,-0.002400266
0.33,-1.996134423,-2.003052441,0.079503531,-0.028719451,-1.99996233,-1.999979518,0.067799998,-0.026699178,-0.003827908,0.003072924,-0.011703533,0.002020274
0.36,-1.995499457,-2.003576903,0.084118514,-0.035326951,-1.999948173,-1.999969365,0.073098164,-0.033088773,-0.004448716,0.003607537,-0.01102035,0.002238178
0.4,-1.994580343,-2.004348391,0.081986617,-0.049286969,-1.999924823,-1.999952953,0.080994694,-0.042106383,-0.00534448,0.004395438,-0.000991923,0.007180586
0.43,-1.99383976,-2.004980334,0.089200623,-0.052351266,-1.999905407,-1.999938684,0.087502111,-0.04917943,-0.006065647,0.00504165,-0.001698512,0.003171837
0.46,-1.9930573,-2.005663525,0.095114017,-0.059486266,-1.999884463,-1.999922321,0.094552378,-0.056501316,-0.006827162,0.005741204,-0.000561639,0.002984951
0.5,-1.9565033,-1.992177217,0.1064468,-0.069379025,-1.999852695,-1.999897487,0.104625145,-0.066530571,-0.043349396,-0.00772027,-0.001821655,0.002848454
0.53,-1.954914883,-1.992684161,0.114270729,-0.07996024,-1.999825668,-1.999876663,0.112653498,-0.074218245,-0.044910785,-0.007192502,-0.001617232,0.005741995
0.56,-1.953272255,-1.993231679,0.121735888,-0.08796774,-1.999796913,-1.999853753,0.121122853,-0.082039052,-0.046524658,-0.006622073,-0.000613036,0.005928688
0.6,-1.951010262,-1.994045088,0.139495247,-0.095534991,-1.999758927,-1.999821805,0.132962544,-0.09260981,-0.048748665,-0.005776717,-0.006532703,0.002925181
0.63,-1.949237435,-1.994715902,0.135125645,-0.102144043,-1.999731822,-1.999799407,0.142228465,-0.10062659,-0.050494387,-0.005083505,0.00710282,0.001517453
0.66,-1.947415899,-1.995436872,0.143216289,-0.110234043,-1.999706754,-1.999783342,0.151855125,-0.108713689,-0.052290856,-0.00434647,0.008638837,0.001520354
0.7,-1.944897613,-1.996448116,0.150358865,-0.120964567,-1.999676928,-1.999776669,0.16513972,-0.119572433,-0.054779314,-0.003328554,0.014780855,0.001392134
0.73,-1.942957146,-1.997254862,0.166257053,-0.129376988,-1.999658021,-1.999785155,0.175420249,-0.12776372,-0.056700875,-0.002530293,0.009163196,0.001613268
0.76,-1.940972595,-1.998110633,0.175431554,-0.137696988,-1.999643593,-1.999807633,0.18599671,-0.135992702,-0.058670998,-0.001697,0.010565156,0.001704286
0.8,-1.938249473,-1.999339459,0.190822441,-0.151400632,-1.999631172,-1.999854289,0.200467225,-0.147004843,-0.0613817,-0.00051483,0.009644784,0.004395789
0.83,-1.936168517,-2.000320151,0.191528923,-0.159315287,-1.999627041,-1.999899761,0.211580874,-0.155288866,-0.063458524,0.00042039,0.020051951,0.004026421
0.86,-1.934058952,-2.001354789,0.200868911,-0.167700287,-1.999628074,-1.999953145,0.222938131,-0.163592854,-0.065569122,0.001401644,0.02206922,0.004107433
0.9,-1.931192253,-2.002816878,0.223021359,-0.17832999,-1.999636875,-2.000031766,0.238384628,-0.174686153,-0.068444623,0.002785112,0.015363269,0.003643837
0.93,-1.929000196,-2.003966026,0.237554461,-0.186505505,-1.999649629,-2.000094701,0.250184236,-0.183019339,-0.070649432,0.003871325,0.012629775,0.003486166
0.96,-1.926756874,-2.005164729,0.248368856,-0.194673005,-1.999669036,-2.000160221,0.262184456,-0.191363125,-0.072912162,0.005004508,0.013815601,0.00330988
1.0,-1.964230014,-2.117129078,0.274041466,-0.204174172,-1.999703951,-2.000249802,0.278434673,-0.20249956,-0.035473937,0.116879276,0.004393207,0.001674612
1.03,-1.962486589,-2.120086057,0.280554463,-0.213823358,-1.999737031,-2.000318074,0.29079917,-0.210859067,-0.037250443,0.119767983,0.010244707,0.002964291
1.06,-1.960707725,-2.12311589,0.292120274,-0.222313358,-1.999777532,-2.00038631,0.303337383,-0.219224228,-0.039069807,0.12272958,0.011217109,0.00308913
1.1,-1.958273428,-2.127257123,0.302388095,-0.233925757,-1.999841573,-2.000465343,0.320271186,-0.230383345,-0.041568145,0.12679178,0.017883091,0.003542411
1.13,-1.956396376,-2.130451512,0.31530119,-0.24323781,-1.999895474,-2.000496514,0.333122316,-0.238756384,-0.043499098,0.129954998,0.017821126,0.004481426
1.16,-1.954504481,-2.133729882,0.326959937,-0.25147281,-1.999949917,-2.000467487,0.346123124,-0.247133076,-0.045445435,0.133262395,0.019163187,0.004339734
1.2,-1.951925482,-2.138206209,0.345880035,-0.26181788,-2.000012983,-2.000309485,0.36364096,-0.258305933,-0.048087501,0.137896724,0.017760925,0.003511946
1.23,-1.949937049,-2.141626109,0.358889788,-0.270654891,-2.000048114,-2.000087708,0.376901825,-0.266686684,-0.050111065,0.141538401,0.018012037,0.003968207
1.26,-1.94790259,-2.145111329,0.371082995,-0.279219891,-2.000070159,-1.99975991,0.390276276,-0.275066104,-0.052167569,0.145351419,0.019193281,0.004153788
1.3,-1.945124047,-2.149844719,0.389330897,-0.291229889,-2.000086774,-1.999191336,0.40825069,-0.286241457,-0.054962727,0.150653383,0.018919793,0.004988432
1.33,-1.942985204,-2.153467484,0.40307222,-0.29906871,-2.000092773,-1.998676467,0.421830656,-0.294626785,-0.057107569,0.154791016,0.018758436,0.004441926
1.36,-1.940814958,-2.157150616,0.415650241,-0.30756371,-2.000094591,-1.998085716,0.435501372,-0.303013332,-0.059279633,0.1590649,0.01985113,0.004550378
1.4,-1.93784586,-2.162164928,0.430587861,-0.320989633,-2.000094839,-1.9972107,0.453840124,-0.314195378,-0.062248978,0.164954228,0.023252264,0.006794255
1.43,-1.935592285,-2.165989197,0.447868213,-0.330194474,-2.000096603,-1.996495426,0.467672913,-0.322583132,-0.064504318,0.16949377,0.019804699,0.007611342
1.46,-1.933283486,-2.169872433,0.460746251,-0.338846974,-2.000103266,-1.995726725,0.481579358,-0.330972496,-0.066819779,0.174145708,0.020833108,0.007874479
1.5,-2.001352263,-2.118971435,0.478452296,-0.349725592,-2.000120092,-1.994636834,0.500213216,-0.342158895,0.001232172,0.124334601,0.02176092,0.007566697
1.53,-1.999869858,-2.122291241,0.498691773,-0.358636294,-2.000138789,-1.993774374,0.514253914,-0.350548833,-0.000268932,0.128516868,0.015562141,0.008087462
1.56,-1.998359706,-2.12565476,0.512212221,-0.366893794,-2.000165048,-1.992870328,0.528357319,-0.358941292,-0.001805342,0.132784432,0.016145098,0.007952503
