time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000020277,-2.000026226,0.074720916,-0.002960143,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000020277,0.000026226,-0.024691012,0.002960143
0.030000000,-2.000078471,-2.000095262,0.045751448,-0.019943266,-2.000000000,-2.000000000,0.050069776,-0.000000000,0.000078471,0.000095262,0.004318328,0.019943266
0.060000000,-2.000195036,-2.000213303,0.045737057,-0.019840766,-2.000000000,-2.000000000,0.050099738,-0.000000000,0.000195036,0.000213303,0.004362680,0.019840766
0.100000000,-2.000423755,-2.000456780,0.044953228,-0.010324652,-2.000000000,-2.000000000,0.050139732,-0.000000000,0.000423755,0.000456780,0.005186503,0.010324652
0.130000000,-2.000650819,-2.000700713,0.042226061,-0.000021627,-2.000000000,-2.000000000,0.050169731,-0.000153768,0.000650819,0.000700713,0.007943670,-0.000132141
0.160000000,-2.000924182,-2.000990628,0.042394929,-0.000684127,-1.999999870,-1.999999962,0.050686455,-0.001591795,0.000924311,0.000990666,0.008291526,-0.000907668
0.200000000,-2.001357306,-2.001465373,0.037550195,-0.013999399,-1.999997468,-1.999999232,0.052571904,-0.005211882,0.001359839,0.001466141,0.015021709,0.008787518
0.230000000,-2.001747871,-2.001876953,0.041318791,-0.017459052,-1.999992403,-1.999997506,0.054860380,-0.008996513,0.001755469,0.001879447,0.013541588,0.008462539
0.260000000,-2.002198696,-2.002332761,0.044042463,-0.021781552,-1.999984558,-1.999994056,0.057980376,-0.013645691,0.002214138,0.002338705,0.013937912,0.008135861
0.300000000,-2.002873952,-2.003017482,0.044981166,-0.027012929,-1.999972268,-1.999986564,0.063175689,-0.020774217,0.002901684,0.003030918,0.018194522,0.006238711
0.330000000,-2.003436820,-2.003584265,0.049897756,-0.026855125,-1.999961083,-1.999978357,0.067799999,-0.026699189,0.003475737,0.003605907,0.017902244,0.000155936
0.360000000,-2.004058723,-2.004199744,0.054866446,-0.032947625,-1.999946052,-1.999967383,0.073098165,-0.033088788,0.004112671,0.004232361,0.018231719,-0.000141164
0.400000000,-2.004990522,-2.005076266,0.057678913,-0.041836095,-1.999920944,-1.999949381,0.080994694,-0.042106395,0.005069578,0.005126885,0.023315781,-0.000270300
0.430000000,-2.005753483,-2.005773753,0.058468010,-0.046105643,-1.999899665,-1.999933479,0.087502109,-0.049179444,0.005853819,0.005840274,0.029034100,-0.003073802
0.460000000,-2.006579388,-2.006539455,0.064811622,-0.053180643,-1.999876176,-1.999914939,0.094552374,-0.056501345,0.006703212,0.006624515,0.029740753,-0.003320702
