time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000015170,-1.999968717,0.050056500,0.019304709,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000015170,-0.000031283,-0.000026596,-0.019304709
0.030000000,-2.000088266,-1.999881694,0.042854449,0.030752689,-2.000000000,-2.000000000,0.050069776,-0.000000000,0.000088266,-0.000118306,0.007215326,-0.030752689
0.060000000,-2.000222514,-1.999732234,0.042817164,0.030870189,-2.000000000,-2.000000000,0.050099738,-0.000000000,0.000222514,-0.000267766,0.007282574,-0.030870189
0.100000000,-2.000498623,-1.999444579,0.043872476,0.031312835,-2.000000000,-2.000000000,0.050139732,-0.000000000,0.000498623,-0.000555421,0.006267256,-0.031312835
0.130000000,-2.000787016,-1.999162286,0.044551722,0.027725288,-2.000000000,-2.000000000,0.050169731,-0.000153768,0.000787016,-0.000837714,0.005618009,-0.027879056
0.160000000,-2.001137195,-1.998816436,0.044909447,0.027025288,-1.999999868,-1.999999966,0.050686455,-0.001591795,0.001137327,-0.001183529,0.005777008,-0.028617083
0.200000000,-2.001685245,-1.998280628,0.039506473,0.017333100,-1.999997424,-1.999999328,0.052571902,-0.005211880,0.001687821,-0.001718700,0.013065429,-0.022544981
0.230000000,-2.002175864,-1.997831258,0.043108838,0.011478510,-1.999992258,-1.999997885,0.054860377,-0.008996514,0.002183606,-0.002166627,0.011751539,-0.020475024
0.260000000,-2.002730085,-1.997332931,0.046051302,0.007091010,-1.999984215,-1.999995233,0.057980372,-0.013645702,0.002745870,-0.002662302,0.011929070,-0.020736712
0.300000000,-2.003542035,-1.996583254,0.053358659,-0.005687519,-1.999971509,-1.999990055,0.063175684,-0.020774220,0.003570526,-0.003406801,0.009817024,-0.015086700
0.330000000,-2.004209989,-1.995970104,0.060301903,-0.013399072,-1.999959866,-1.999984954,0.067799994,-0.026699162,0.004250123,-0.004014850,0.007498091,-0.013300091
0.360000000,-2.004947518,-1.995303830,0.065836667,-0.019521572,-1.999944176,-1.999979047,0.073098160,-0.033088758,0.005003341,-0.004675217,0.007261492,-0.013567186
0.400000000,-2.006040282,-1.994322052,0.073615756,-0.028142874,-1.999917871,-1.999971295,0.080994689,-0.042106410,0.006122411,-0.005649243,0.007378933,-0.013963537
0.430000000,-2.006929593,-1.993513609,0.085304228,-0.036841664,-1.999895447,-1.999966290,0.087502106,-0.049179463,0.007034146,-0.006452681,0.002197877,-0.012337799
0.460000000,-2.007865762,-1.992643957,0.093019046,-0.044129164,-1.999870558,-1.999962591,0.094552372,-0.056501300,0.007995203,-0.007318634,0.001533326,-0.012372136
0.500000000,-1.804631014,-2.073309178,0.102269759,-0.057020672,-1.999832003,-1.999960046,0.104625138,-0.066530531,-0.195200990,0.073349133,0.002355379,-0.009509859
0.530000000,-1.801691901,-2.073904175,0.111015679,-0.065073023,-1.999798559,-1.999960551,0.112653494,-0.074218541,-0.198106657,0.073943624,0.001637814,-0.009145518
0.560000000,-1.798813106,-2.074427471,0.120273665,-0.072360523,-1.999762123,-1.999963972,0.121124164,-0.082038957,-0.200949017,0.074463499,0.000850498,-0.009678434
0.600000000,-1.795049049,-2.075041914,0.132623443,-0.085394305,-1.999718151,-1.999967543,0.132967790,-0.092604364,-0.204669103,0.075074371,0.000344348,-0.007210059
0.630000000,-1.792294978,-2.075434741,0.140774957,-0.093370579,-1.999699188,-1.999960075,0.142239155,-0.100614713,-0.207404210,0.075474665,0.001464198,-0.007244134
0.660000000,-1.789599627,-2.075778423,0.151260594,-0.101303079,-1.999704820,-1.999926048,0.151875675,-0.108698514,-0.210105193,0.075852375,0.000615081,-0.007395435
0.700000000,-1.786093112,-2.076166653,0.160555530,-0.109550778,-1.999742926,-1.999825722,0.165182119,-0.119553886,-0.213649813,0.076340931,0.004626589,-0.010003108
0.730000000,-1.783524121,-2.076403226,0.170741566,-0.115098674,-1.999786383,-1.999703241,0.175487362,-0.127740175,-0.216262262,0.076699985,0.004745795,-0.012641501
0.760000000,-1.781004275,-2.076583351,0.182060335,-0.123136174,-1.999843321,-1.999533380,0.186093969,-0.135957238,-0.218839046,0.077049971,0.004033634,-0.012821065
