time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.99997312,-1.999988359,0.043832974,-0.051207509,-2.0,-2.0,0.050029904,-0.0,-2.688e-05,-1.1641e-05,0.00619693,0.051207509
0.03,-1.999887499,-1.999943856,0.040113716,-0.028096512,-2.0,-2.0,0.050069776,-0.0,-0.000112501,-5.6144e-05,0.00995606,0.028096512
0.06,-1.999742839,-1.999879341,0.040014499,-0.027921512,-2.0,-2.0,0.050099738,-0.0,-0.000257161,-0.000120659,0.010085239,0.027921512
0.1,-1.999458772,-1.999744355,0.038106066,-0.02558913,-2.0,-2.0,0.050139732,-0.0,-0.000541228,-0.000255645,0.012033666,0.02558913
0.13,-1.999173555,-1.999612496,0.050499995,-0.016908774,-2.0,-2.0,0.050169731,-0.000153768,-0.000826445,-0.000387504,-0.000330264,0.016755006
0.16,-1.998838567,-1.999449542,0.051099472,-0.017598774,-1.99999987,-1.999999965,0.050686455,-0.001591795,-0.001161304,-0.000550422,-0.000413017,0.016006979
0.2,-1.998316019,-1.999151115,0.046905091,-0.01231532,-1.999997473,-1.999999302,0.052571902,-0.005211881,-0.001681454,-0.000848187,0.005666811,0.007103438
0.23,-1.997875034,-1.9988804,0.052540711,-0.019699817,-1.999992436,-1.999997785,0.054860377,-0.008996513,-0.002117402,-0.001117384,0.002319666,0.010703304
0.26,-1.997384579,-1.998569586,0.05580431,-0.023584817,-1.999984694,-1.999994927,0.057980372,-0.013645698,-0.002600115,-0.001425341,0.002176063,0.009939119
0.3,-1.996653081,-1.998112141,0.062701543,-0.026888153,-1.999972705,-1.999989165,0.063175684,-0.020774217,-0.003319624,-0.001877024,0.000474141,0.006113936
0.33,-1.996035859,-1.997721069,0.073599169,-0.026840852,-1.999961906,-1.999983305,0.067799995,-0.026699164,-0.003926048,-0.002262236,-0.005799174,0.000141688
0.36,-1.995378846,-1.997283325,0.079743545,-0.033090852,-1.999947495,-1.999976212,0.073098161,-0.03308876,-0.004568649,-0.002692887,-0.006645384,2.092e-06
0.4,-1.994395418,-1.996646537,0.075717107,-0.040347516,-1.999923667,-1.999966171,0.080994692,-0.042106405,-0.005528249,-0.003319634,0.005277585,-0.001758889
0.43,-1.99360244,-1.996127199,0.07156674,-0.045154459,-1.999903786,-1.999958841,0.08750211,-0.049179459,-0.006301346,-0.003831641,0.015935369,-0.004025
0.46,-1.992766757,-1.995570724,0.078077056,-0.052521959,-1.999882271,-1.999952131,0.094552378,-0.056501308,-0.007115513,-0.004381407,0.016475322,-0.003979349
0.5,-2.208802406,-1.961165962,0.092556121,-0.061682325,-1.99984958,-1.999944575,0.104625147,-0.066530549,0.208952826,-0.038778613,0.012069027,-0.004848224
0.53,-2.212131818,-1.959860352,0.09259628,-0.06826686,-1.999821736,-1.999940531,0.112653506,-0.074217772,0.212310081,-0.040080179,0.020057226,-0.005950911
0.56,-2.215426506,-1.958500431,0.100503424,-0.07597936,-1.999791655,-1.999938821,0.121124991,-0.082035022,0.215634851,-0.04143839,0.020621567,-0.006055662
0.6,-2.219754233,-1.956601248,0.110787097,-0.086605947,-1.999741881,-1.999941137,0.132971458,-0.092596641,0.220012352,-0.043339889,0.022184362,-0.005990694
0.63,-2.222943246,-1.955123439,0.120211819,-0.09255654,-1.999684724,-1.999948519,0.142247796,-0.100603622,0.223258522,-0.04482508,0.022035977,-0.008047082
0.66,-2.226084152,-1.95361944,0.129522457,-0.10010154,-1.99959472,-1.999965323,0.151890095,-0.108682068,0.226489432,-0.046345884,0.022367637,-0.008580527
0.7,-2.230169152,-1.951576202,0.140737416,-0.11069105,-1.99943413,-2.000004047,0.165204274,-0.119528616,0.230735022,-0.048427844,0.024466857,-0.008837565
0.73,-2.233160592,-1.949999277,0.145662309,-0.116673901,-1.999292447,-2.000046037,0.175517095,-0.127709852,0.233868145,-0.050046759,0.029854786,-0.011035951
0.76,-2.236096948,-1.948366067,0.155679805,-0.124736401,-1.999129443,-2.000101509,0.186132691,-0.135927396,0.236967504,-0.051735442,0.030452885,-0.011190996
0.8,-2.239941961,-1.946138826,0.166758755,-0.135413629,-1.99886698,-2.00019511,0.20066917,-0.14692598,0.241074982,-0.054056283,0.033910415,-0.011512351
0.83,-2.242766591,-1.94444426,0.188281723,-0.143851937,-1.998631758,-2.000280274,0.211838783,-0.15520178,0.244134833,-0.055836015,0.023557059,-0.011349844
0.86,-2.245527691,-1.942701221,0.200011255,-0.152034437,-1.998366684,-2.000378761,0.223261676,-0.163497843,0.247161007,-0.05767754,0.023250422,-0.011463406
0.9,-2.249126067,-1.94032809,0.227504193,-0.164612849,-1.997980466,-2.000526079,0.238804332,-0.174580343,0.251145601,-0.060197989,0.011300139,-0.009967495
0.93,-2.251776025,-1.93850536,0.248896596,-0.17213599,-1.997658298,-2.000649424,0.25068399,-0.182906119,0.254117728,-0.062144063,0.001787393,-0.010770129
0.96,-2.254368121,-1.936617819,0.263046892,-0.18017599,-1.997293141,-2.000787143,0.262771146,-0.191244294,0.25707498,-0.064169324,-0.000275747,-0.011068304
1.0,-2.228309087,-1.957262146,0.283673953,-0.190692675,-1.996755189,-2.000988598,0.279145808,-0.202374298,0.231553899,-0.043726452,-0.004528145,-0.011681622
1.03,-2.230309965,-1.955645149,0.296131125,-0.201647013,-1.996321997,-2.001151215,0.291611117,-0.210729233,0.233987968,-0.045506066,-0.004520007,-0.00908222
1.06,-2.232263117,-1.9539863,0.310977004,-0.209939513,-1.995856571,-2.001325556,0.304247148,-0.219091461,0.236406545,-0.047339256,-0.006729856,-0.009151948
1.1,-2.234803165,-1.951704816,0.31450657,-0.222278759,-1.995178226,-2.0015751,0.321311751,-0.230248716,0.239624938,-0.049870284,0.006805181,-0.007969956
1.13,-2.236639834,-1.949955147,0.328778948,-0.230880637,-1.994626309,-2.001772454,0.334260376,-0.238621351,0.242013525,-0.051817306,0.005481428,-0.007740714
1.16,-2.238410749,-1.948177916,0.343078813,-0.239078137,-1.994042286,-2.001973141,0.34735411,-0.246998583,0.244368463,-0.053795225,0.004275296,-0.007920446
1.2,-2.24067108,-1.945763148,0.36552316,-0.249947159,-1.993222429,-2.002239513,0.364988264,-0.258173114,0.247448651,-0.056476366,-0.000534896,-0.008225955
1.23,-2.242312626,-1.943918938,0.370960122,-0.259076842,-1.992565614,-2.002439339,0.378342419,-0.266555964,0.249747011,-0.058520401,0.007382297,-0.007479122
1.26,-2.243915587,-1.942052873,0.385338435,-0.267229342,-1.991859604,-2.002641033,0.391813058,-0.274938064,0.252055984,-0.06058816,0.006474622,-0.007708722
1.3,-2.245945736,-1.939535466,0.404397436,-0.27847179,-1.990865962,-2.002910737,0.409923307,-0.286115662,0.255079774,-0.063375271,0.005525872,-0.007643872
1.33,-2.247385158,-1.937623605,0.420913403,-0.287039263,-1.990089465,-2.003113044,0.423609712,-0.294501558,0.257295693,-0.065489439,0.002696309,-0.007462295
1.36,-2.248765823,-1.935690947,0.435915291,-0.295604263,-1.989275109,-2.003319407,0.437394155,-0.30288874,0.259490714,-0.06762846,0.001478864,-0.007284477
1.4,-2.250526241,-1.933062922,0.44891385,-0.307397164,-1.988125262,-2.00360668,0.455895658,-0.314071503,0.262400979,-0.070543758,0.006981807,-0.006674339
1.43,-2.25176282,-1.93105307,0.463529314,-0.317364819,-1.987219052,-2.003831366,0.469857177,-0.322458998,0.264543768,-0.072778296,0.006327863,-0.005094179
1.46,-2.252936305,-1.929015948,0.478506329,-0.325579819,-1.986281113,-2.004062843,0.483901039,-0.330847684,0.266655191,-0.075046895,0.00539471,-0.005267865
1.5,-2.192466431,-1.851854659,0.494478844,-0.337974874,-1.984985916,-2.004383081,0.502724653,-0.342033523,0.207480515,-0.152528422,0.008245809,-0.004058649
1.53,-2.19273164,-1.848799095,0.503466971,-0.345794821,-1.983970554,-2.00463665,0.516915605,-0.350423695,0.208761086,-0.155837555,0.013448635,-0.004628873
1.56,-2.192961362,-1.845709753,0.518096518,-0.354347321,-1.982909376,-2.004905948,0.531174048,-0.358819804,0.210051986,-0.159196195,0.01307753,-0.004472483
1.6,-2.193200232,-1.841535743,0.541690402,-0.366310643,-1.981451806,-2.005290141,0.550272863,-0.370014103,0.211748426,-0.163754399,0.008582461,-0.00370346
1.63,-2.193307597,-1.838364605,0.549106382,-0.37613881,-1.980335798,-2.005610441,0.564654493,-0.378409125,0.2129718,-0.167245836,0.015548112,-0.002270315
1.66,-2.19334968,-1.835160027,0.563827374,-0.38453881,-1.979196361,-2.005991281,0.579093772,-0.386812102,0.214153319,-0.170831255,0.015266398,-0.002273292
1.7,-2.193312268,-1.830829119,0.60096105,-0.395855537,-1.977650059,-2.006613191,0.598413282,-0.398030419,0.215662209,-0.175784071,-0.002547768,-0.002174883
1.73,-2.193225457,-1.827550325,0.618123632,-0.403375461,-1.97648295,-2.007172867,0.612952234,-0.406446415,0.216742506,-0.179622542,-0.005171398,-0.003070954
1.76,-2.193081104,-1.8242512,0.634548669,-0.411655461,-1.975319755,-2.007824074,0.627535481,-0.414845347,0.217761348,-0.183572874,-0.007013188,-0.003189886
