time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999969816,-1.999980187,0.05005625,-0.018337053,-2.0,-2.0,0.050029904,-0.0,-3.0184e-05,-1.9813e-05,-2.6346e-05,0.018337053
0.03,-1.999897697,-1.999918812,0.023721101,-0.002015241,-2.0,-2.0,0.050059808,-0.0,-0.000102303,-8.1188e-05,0.026338707,0.002015241
0.06,-1.999805962,-1.99981864,0.023163569,-0.001982741,-2.0,-2.0,0.050089742,-0.0,-0.000194038,-0.00018136,0.026926172,0.001982741
0.1,-1.999632954,-1.999609514,0.03995101,-0.012488118,-2.0,-2.0,0.050129732,-0.0,-0.000367046,-0.000390486,0.010178722,0.012488118
0.13,-1.99945866,-1.999388211,0.043238089,-0.004857621,-2.0,-2.0,0.050159731,-7.6884e-05,-0.00054134,-0.000611789,0.006921643,0.004780737
0.16,-1.999240804,-1.99912023,0.043616083,-0.005642621,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.000759195,-0.00087977,0.006778065,0.004715162
0.2,-1.998898716,-1.99871791,0.041150065,-0.000979826,-1.999998666,-1.999999647,0.05192365,-0.004080179,-0.00109995,-0.001281737,0.010773585,-0.003100353
0.23,-1.998600954,-1.998367085,0.042884714,-0.007057617,-1.999994325,-1.999998405,0.054040266,-0.007670049,-0.001393371,-0.00163132,0.011155551,-0.000612432
0.26,-1.998272398,-1.997968957,0.045840926,-0.011495117,-1.9999874,-1.999996165,0.056833562,-0.011994324,-0.001715002,-0.002027208,0.010992636,-0.000499207
0.3,-1.997765611,-1.997372732,0.057233717,-0.017372488,-1.999975733,-1.999991243,0.061728103,-0.018869218,-0.002210122,-0.002618511,0.004494387,-0.00149673
0.33,-1.997331712,-1.996881828,0.068656086,-0.029637131,-1.999965288,-1.999986031,0.066211629,-0.02468919,-0.002633576,-0.003104204,-0.002444457,0.00494794
0.36,-1.996846246,-1.996327353,0.074631176,-0.035719631,-1.999952215,-1.999979867,0.071246152,-0.030904387,-0.003105969,-0.003652514,-0.003385024,0.004815243
0.4,-1.99613401,-1.99553396,0.082535576,-0.043246986,-1.99992902,-1.999970922,0.078901046,-0.039786192,-0.00379501,-0.004436963,-0.00363453,0.003460794
0.43,-1.995552297,-1.99489141,0.087168028,-0.055572359,-1.999908923,-1.999964661,0.085295222,-0.046803044,-0.004356626,-0.005073252,-0.001872806,0.008769315
0.46,-1.994925656,-1.994228015,0.094943837,-0.062767359,-1.999887584,-1.999959121,0.09213293,-0.054031506,-0.004961928,-0.005731106,-0.002810907,0.008735853
0.5,-2.055326357,-2.40991166,0.106751781,-0.069518546,-1.99985525,-1.999953597,0.102010242,-0.063987994,0.055471107,0.409958064,-0.004741539,0.005530552
0.53,-2.055900314,-2.417823966,0.117785217,-0.074896863,-1.999827012,-1.999951598,0.109946776,-0.071645542,0.056073302,0.417872368,-0.00783844,0.003251322
0.56,-2.056444253,-2.425686625,0.127409164,-0.082871863,-1.999796635,-1.999951752,0.118257336,-0.079414016,0.056647618,0.425734873,-0.009151828,0.003457847
0.6,-2.057106877,-2.436110907,0.135200029,-0.091047581,-1.999755402,-1.999935776,0.13000549,-0.08993226,0.057351475,0.436175131,-0.005194539,0.001115321
0.63,-2.057552364,-2.443919782,0.143500335,-0.100529927,-1.999727139,-1.999840328,0.139265774,-0.09791076,0.057825225,0.444079453,-0.004234561,0.002619167
0.66,-2.057943011,-2.451735638,0.154103384,-0.108449927,-1.999700578,-1.999605264,0.148848987,-0.105950928,0.058242432,0.452130373,-0.005254397,0.002498999
0.7,-2.058404693,-2.462156329,0.168829685,-0.118864967,-1.999655809,-1.998880108,0.162197845,-0.116797674,0.058748884,0.463276221,-0.00663184,0.002067293
0.73,-2.058709598,-2.469930705,0.171023124,-0.128677275,-1.99959715,-1.997943931,0.172570115,-0.12499129,0.059112448,0.471986774,0.00154699,0.003685985
0.76,-2.058983274,-2.477649827,0.182207543,-0.136699775,-1.999512805,-1.996708196,0.183180954,-0.133189174,0.059470469,0.480941631,0.000973411,0.003510601
0.8,-2.059283949,-2.487871096,0.206652432,-0.149725688,-1.999359048,-1.994540291,0.197742059,-0.144149176,0.059924901,0.493330805,-0.008910373,0.005576513
0.83,-2.05946383,-2.49549885,0.220577658,-0.158923185,-1.999222599,-1.992571917,0.208948598,-0.152425776,0.060241231,0.502926933,-0.01162906,0.006497409
0.86,-2.059591552,-2.503088056,0.23347996,-0.167168185,-1.999072232,-1.990389159,0.220346779,-0.160727928,0.06051932,0.512698897,-0.01313318,0.006440257
0.9,-2.059689559,-2.513174518,0.253304006,-0.177597305,-1.99884391,-1.987142406,0.235871282,-0.171801224,0.060845649,0.526032112,-0.017432724,0.005796081
0.93,-2.059708142,-2.520709251,0.260313965,-0.186247168,-1.998657032,-1.984492776,0.247741992,-0.180113711,0.061051111,0.536216474,-0.012571973,0.006133457
0.96,-2.059681427,-2.528219388,0.273691045,-0.194202168,-1.99846581,-1.981704606,0.259770745,-0.188445798,0.061215616,0.546514783,-0.013920301,0.00575637
1.0,-2.102333378,-2.129074216,0.284580229,-0.206015459,-1.998207615,-1.977758485,0.276080125,-0.199585096,0.104125763,0.151315731,-0.008500104,0.006430363
1.03,-2.103176339,-2.128906096,0.298368817,-0.214124371,-1.998007047,-1.974647148,0.28850461,-0.207942122,0.105169292,0.154258948,-0.009864207,0.00618225
1.06,-2.103976198,-2.128707643,0.312017034,-0.222436871,-1.997800292,-1.971436148,0.301073313,-0.21630216,0.106175907,0.157271495,-0.01094372,0.006134711
1.1,-2.104974109,-2.128397686,0.327508116,-0.230952218,-1.997520183,-1.967008153,0.318104233,-0.227467159,0.107453925,0.161389533,-0.009403883,0.003485059
1.13,-2.105678028,-2.128111109,0.333674905,-0.238937576,-1.997308856,-1.963659962,0.331055686,-0.23583214,0.108369171,0.164451147,-0.002619219,0.003105436
1.16,-2.106343953,-2.127782272,0.347267615,-0.247530076,-1.997098045,-1.960374998,0.344145518,-0.244194876,0.109245907,0.167407274,-0.003122096,0.0033352
1.2,-2.107152972,-2.12730826,0.365370011,-0.257449024,-1.996845728,-1.956265186,0.361854971,-0.255400183,0.110307244,0.171043074,-0.00351504,0.002048842
1.23,-2.107680467,-2.126934511,0.380903311,-0.264645085,-1.996717448,-1.953465653,0.375294542,-0.263804602,0.110963019,0.173468858,-0.005608768,0.000840482
1.26,-2.108141833,-2.126546954,0.395267544,-0.272905085,-1.996646583,-1.950887333,0.388833756,-0.272151354,0.11149525,0.175659621,-0.006433788,0.000753731
1.3,-2.108698464,-2.126008179,0.409222985,-0.282875155,-1.996634519,-1.947840931,0.407059119,-0.283261171,0.112063945,0.178167248,-0.002163866,-0.000386016
1.33,-2.109071954,-2.125591002,0.417416771,-0.291327596,-1.99666246,-1.945816789,0.420844093,-0.291655578,0.112409494,0.179774213,0.003427322,-0.000327982
1.36,-2.109391074,-2.125163961,0.431485705,-0.299677596,-1.996716645,-1.943953402,0.434708646,-0.300061048,0.112674429,0.181210559,0.003222941,-0.000383451
1.4,-2.109714774,-2.124575869,0.453398672,-0.310452203,-1.996845779,-1.941713228,0.453332494,-0.31122082,0.112868995,0.182862641,-6.6179e-05,-0.000768617
1.43,-2.109907981,-2.124127049,0.463574002,-0.317662863,-1.996970185,-1.940187612,0.467394061,-0.319582997,0.112937796,0.183939436,0.003820059,-0.001920134
1.46,-2.110071645,-2.123659493,0.477973447,-0.325917863,-1.997096955,-1.938763302,0.481523396,-0.327967253,0.112974691,0.184896192,0.003549949,-0.00204939
1.5,-2.061071564,-2.029344023,0.488553055,-0.337145037,-1.99726434,-1.937026969,0.500470995,-0.339169562,0.063807224,0.092317055,0.011917941,-0.002024524
1.53,-2.060177951,-2.027210564,0.508758948,-0.346372808,-1.997401865,-1.935823761,0.514764036,-0.347555416,0.062776087,0.091386803,0.006005088,-0.001182608
1.56,-2.059236385,-2.025069371,0.523444805,-0.354967808,-1.997547558,-1.934681907,0.529108408,-0.35592457,0.061688827,0.090387463,0.005663604,-0.000956762
1.6,-2.057908328,-2.022174778,0.539439969,-0.36647777,-1.997729869,-1.933268944,0.548332507,-0.367089097,0.06017846,0.088905833,0.008892538,-0.000611327
1.63,-2.056851178,-2.01998037,0.565364445,-0.374364056,-1.997848865,-1.93229922,0.562812507,-0.375476614,0.059002313,0.08768115,-0.002551937,-0.001112558
1.66,-2.055737161,-2.017763418,0.580969499,-0.382364056,-1.997968113,-1.931402554,0.577338587,-0.383857996,0.057769049,0.086360865,-0.003630912,-0.001493941
1.7,-2.054172588,-2.014776866,0.607644941,-0.393668986,-1.998152056,-1.930359379,0.596781982,-0.395006152,0.056020532,0.084417488,-0.010862959,-0.001337165
1.73,-2.052952908,-2.012497533,0.621544082,-0.401808558,-1.998303271,-1.929706533,0.61141757,-0.403365794,0.054649637,0.082791001,-0.010126511,-0.001557236
1.76,-2.051679072,-2.010176234,0.637752016,-0.410126058,-1.998454292,-1.929150594,0.626088234,-0.411746678,0.05322478,0.08102564,-0.011663782,-0.00162062
1.8,-2.049917525,-2.007027144,0.650455616,-0.420487463,-1.998659015,-1.928569046,0.645707774,-0.42294233,0.05125851,0.078458098,-0.004747842,-0.002454867
1.83,-2.048546349,-2.004629535,0.66851943,-0.429066833,-1.998824531,-1.928229403,0.660465988,-0.431324196,0.049721817,0.076400132,-0.008053442,-0.002257363
1.86,-2.047141601,-2.002210733,0.684612184,-0.437629333,-1.998992666,-1.927950112,0.675250788,-0.439700354,0.048148935,0.074260621,-0.009361396,-0.002071021
1.9,-2.045194476,-1.998950237,0.703011979,-0.448589362,-1.999194348,-1.927681197,0.695017421,-0.450883832,0.046000128,0.07126904,-0.007994559,-0.002294469
1.93,-2.043652749,-1.996487473,0.723822036,-0.457830725,-1.999322695,-1.927546232,0.709874053,-0.459278879,0.044330054,0.068941241,-0.013947983,-0.001448153
1.96,-2.042039481,-1.994022486,0.740345301,-0.466000725,-1.999442847,-1.927448915,0.724757768,-0.46766965,0.042596634,0.066573571,-0.015587533,-0.001668925
2.0,-2.004955568,-1.918837564,0.75616608,-0.477482091,-1.999590958,-1.927376908,0.744640298,-0.478850045,0.005364611,-0.008539344,-0.011525782,-0.001367955
2.03,-2.002541343,-1.914940859,0.771007946,-0.48562564,-1.99967631,-1.927367867,0.7595841,-0.487239347,0.002865033,-0.012427008,-0.011423846,-0.001613707
2.06,-2.000077566,-1.91102615,0.787277382,-0.49407814,-1.999735767,-1.927391694,0.77454675,-0.49563699,0.000341799,-0.016365544,-0.012730631,-0.001558849
2.1,-1.996708414,-1.905775743,0.799526667,-0.506118528,-1.99978226,-1.927475093,0.794535619,-0.506835892,-0.003073846,-0.02169935,-0.004991048,-0.000717364
2.13,-1.994115567,-1.901780326,0.815157879,-0.513294239,-1.999807195,-1.927579933,0.809549743,-0.515230096,-0.005691628,-0.025799607,-0.005608136,-0.001935857
2.16,-1.991478743,-1.897750014,0.83101591,-0.521539239,-1.999824094,-1.927731014,0.82458106,-0.523627404,-0.008345351,-0.029981,-0.00643485,-0.002088165
2.2,-1.98787776,-1.892345713,0.854195858,-0.533627027,-1.999829221,-1.928050221,0.844652239,-0.534843598,-0.01195146,-0.035704508,-0.009543619,-0.001216572
2.23,-1.985106461,-1.888265197,0.869501216,-0.542295026,-1.999835871,-1.928386512,0.859725546,-0.54326205,-0.01472941,-0.040121315,-0.00977567,-0.000967024
2.26,-1.982289977,-1.884159916,0.88566746,-0.550712526,-1.999857176,-1.928789159,0.874814085,-0.551666347,-0.017567199,-0.044629244,-0.010853376,-0.000953821
2.3,-1.978472791,-1.878670247,0.90974165,-0.561196311,-1.999906724,-1.929445811,0.894952781,-0.562850239,-0.021433933,-0.050775564,-0.01478887,-0.001653928
2.33,-1.975564974,-1.874521179,0.921652168,-0.570135089,-1.999940842,-1.930030962,0.910075635,-0.571249032,-0.024375868,-0.055509784,-0.011576533,-0.001113943
2.36,-1.972614579,-1.870354241,0.937882248,-0.578505089,-1.999970085,-1.93067903,0.925206538,-0.579656072,-0.027355507,-0.060324789,-0.01267571,-0.001150984
2.4,-1.968585521,-1.86479559,0.956171595,-0.589259553,-2.000016519,-1.931638638,0.945404672,-0.590853675,-0.031430998,-0.066843047,-0.010766923,-0.001594122
2.43,-1.965490213,-1.860616011,0.969899104,-0.59769213,-2.000059423,-1.93242212,0.960563567,-0.599240374,-0.03456921,-0.071806109,-0.009335537,-0.001548245
2.46,-1.962329967,-1.856413726,0.985946798,-0.60566463,-2.000097871,-1.933256207,0.975734724,-0.607630643,-0.037767903,-0.076842481,-0.010212073,-0.001966013
2.5,-2.013787912,-1.807768609,0.993819286,-0.616412951,-2.000131053,-1.934464628,0.995975218,-0.618832581,0.013656859,-0.126696019,0.002155932,-0.002419629
2.53,-2.012164105,-1.8027752,1.00699018,-0.625866712,-2.000154499,-1.935432745,1.011168765,-0.62723188,0.012009607,-0.132657544,0.004178585,-0.001365168
2.56,-2.010483057,-1.797770002,1.02219377,-0.634351712,-2.000184423,-1.936439452,1.026368217,-0.635622121,0.010298634,-0.138669449,0.004174447,-0.001270409
2.6,-2.008162695,-1.79105467,1.049325651,-0.64424721,-2.000223829,-1.93786029,1.046646253,-0.646804032,0.007938866,-0.14680562,-0.002679397,-0.002556822
2.62,-2.006375959,-1.785989879,1.057745798,-0.654011352,-2.000234989,-1.93860859,1.056791809,-0.652400363,0.006140971,-0.152618711,-0.000953989,0.00161099
2.66,-2.00453631,-1.780920862,1.073064906,-0.662418852,-2.00024109,-1.940179497,1.077087823,-0.663600951,0.00429522,-0.159258635,0.004022916,-0.001182098
2.7,-2.002022765,-1.774153228,1.098397242,-0.673647926,-2.000245386,-1.941833491,1.097397849,-0.674791937,0.001777379,-0.167680263,-0.000999393,-0.00114401
2.72,-2.000077338,-1.769047491,1.114810012,-0.6808948,-2.000248443,-1.942690097,1.107553797,-0.68038251,-0.000171105,-0.173642607,-0.007256215,0.00051229
2.76,-1.998074857,-1.763930012,1.130723029,-0.6892798,-2.000242185,-1.944473718,1.127876643,-0.691568917,-0.002167328,-0.180543706,-0.002846387,-0.002289117
2.8,-1.995324523,-1.757064466,1.148531757,-0.700916301,-2.000213773,-1.946356312,1.148203365,-0.702768512,-0.00488925,-0.189291846,-0.000328393,-0.001852212
2.82,-1.993199544,-1.751903956,1.163327096,-0.709960603,-2.000197598,-1.94732979,1.158371548,-0.708367394,-0.006998054,-0.195425834,-0.004955549,0.00159321
2.86,-1.991032085,-1.746742283,1.179135333,-0.718163103,-2.000171121,-1.949334006,1.178710898,-0.7195542,-0.009139035,-0.202591723,-0.000424434,-0.001391097
2.9,-1.988072129,-1.739826623,1.203950684,-0.729474991,-2.00014008,-1.951428377,1.199059136,-0.730741009,-0.012067951,-0.211601753,-0.004891549,-0.001266018
2.93,-1.985781516,-1.73461236,1.220534654,-0.738565746,-2.000105676,-1.953070478,1.214322632,-0.739141177,-0.01432416,-0.218458118,-0.006212023,-0.000575431
2.96,-1.983433569,-1.729394075,1.237332214,-0.746928246,-2.00006981,-1.954759681,1.229589625,-0.747542207,-0.016636241,-0.225365606,-0.007742589,-0.000613961
2.97,-1.970984214,-1.84253757,1.252540207,-0.757605852,-2.000059906,-1.955336374,1.234680186,-0.750340174,-0.029075693,-0.112798804,-0.017860021,0.007265678
3.03,-1.968281995,-1.840860816,1.267345995,-0.7665778,-2.000011476,-1.958892734,1.265223969,-0.767117106,-0.031729481,-0.118031918,-0.002122027,-0.000539306
3.06,-1.965522145,-1.839166334,1.283498156,-0.7747128,-1.99998449,-1.960751412,1.280502627,-0.775513648,-0.034462345,-0.121585078,-0.002995529,-0.000800848
3.1,-1.961730985,-1.836891862,1.299069992,-0.786056119,-1.999944798,-1.96331791,1.300879442,-0.786717206,-0.038213814,-0.126426047,0.00180945,-0.000661087
3.13,-1.958800865,-1.835177925,1.314236172,-0.794504377,-1.999922636,-1.965282078,1.316172015,-0.79511233,-0.041121771,-0.130104153,0.001935844,-0.000607952
3.16,-1.955811207,-1.83344743,1.328336521,-0.802676877,-1.999901111,-1.967260552,1.331465617,-0.803498456,-0.044089904,-0.133813122,0.003129096,-0.000821578
3.2,-1.951757048,-1.83110943,1.353149831,-0.813507587,-1.999840515,-1.96991984,1.351867839,-0.814678561,-0.048083467,-0.13881041,-0.001281992,-0.001170974
3.23,-1.948655079,-1.829347807,1.368975423,-0.821630636,-1.999753847,-1.971926164,1.367171044,-0.823059926,-0.051098768,-0.142578357,-0.001804379,-0.00142929
3.26,-1.945492434,-1.827580895,1.385433514,-0.829975636,-1.999642315,-1.973931056,1.382478946,-0.831439758,-0.054149881,-0.146350161,-0.002954568,-0.001464121
3.3,-1.941198762,-1.825223414,1.398736452,-0.841004011,-1.999464088,-1.976590159,1.402894042,-0.842620703,-0.058265325,-0.151366745,0.00415759,-0.001616692
3.33,-1.937918081,-1.82344741,1.414363177,-0.850216401,-1.999307427,-1.978586082,1.418209784,-0.851009227,-0.061389347,-0.155138672,0.003846606,-0.000792826
3.36,-1.93458132,-1.821649974,1.434632344,-0.858603901,-1.999131192,-1.980594886,1.433528361,-0.859397903,-0.064549872,-0.158944912,-0.001103983,-0.000794002
3.4,-1.930028216,-1.819236188,1.453628319,-0.86877989,-1.998874811,-1.983295277,1.453954625,-0.87058576,-0.068846595,-0.164059089,0.000326306,-0.00180587
3.43,-1.926536125,-1.817421814,1.470127626,-0.877063666,-1.998684983,-1.98532641,1.469278845,-0.878976309,-0.072148858,-0.167904596,-0.000848781,-0.001912643
3.46,-1.922981852,-1.815591395,1.485745026,-0.885308666,-1.998499582,-1.987364515,1.484602154,-0.887364864,-0.075517731,-0.17177312,-0.001142872,-0.002056199
3.5,-2.079496006,-1.830016661,1.500923068,-0.896863232,-1.998251241,-1.990115626,1.505040474,-0.898553195,0.081244764,-0.160098965,0.004117406,-0.001689963
3.53,-2.080366835,-1.828484374,1.516707676,-0.904375499,-1.998067401,-1.992207815,1.520367978,-0.906948716,0.082299434,-0.163723441,0.003660301,-0.002573217
3.56,-2.081180926,-1.826944889,1.534027675,-0.912527999,-1.997896081,-1.994312155,1.535702225,-0.915337089,0.083284845,-0.167367266,0.00167455,-0.00280909
3.6,-2.082198183,-1.824879444,1.553452266,-0.92400075,-1.997694965,-1.997131764,1.556154901,-0.926515702,0.084503218,-0.17225232,0.002702636,-0.002514952
3.63,-2.082904776,-1.823321227,1.569751839,-0.932243557,-1.997538558,-1.999258232,1.5715016,-0.934899413,0.085366218,-0.175937005,0.001749761,-0.002655856
