time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999982885,-1.999987744,0.105746938,-0.013452847,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000017115,-0.000012256,-0.055717035,0.013452847
0.040000000,-1.999908400,-1.999921420,0.083173069,-0.005456194,-2.000000000,-2.000000000,0.050059808,-0.000000000,-0.000091600,-0.000078580,-0.033113262,0.005456194
0.070000000,-1.999802676,-1.999815282,0.084245127,-0.005551194,-2.000000000,-2.000000000,0.050089742,-0.000000000,-0.000197324,-0.000184718,-0.034155385,0.005551194
0.110000000,-1.999599991,-1.999622429,0.075239931,-0.000660005,-2.000000000,-2.000000000,0.050129732,-0.000000000,-0.000400009,-0.000377571,-0.025110200,0.000660005
0.140000000,-1.999384400,-1.999433675,0.062731910,0.001811399,-2.000000000,-2.000000000,0.050159731,-0.000076884,-0.000615600,-0.000566325,-0.012572178,-0.001888283
0.170000000,-1.999123114,-1.999211847,0.063416164,0.000681399,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.000876885,-0.000788153,-0.013022016,-0.001608858
0.210000000,-1.998702043,-1.998867327,0.059835213,-0.001558593,-1.999998667,-1.999999646,0.051923650,-0.004080179,-0.001296624,-0.001132320,-0.007911563,-0.002521585
0.240000000,-1.998329312,-1.998578415,0.061363792,-0.000639258,-1.999994331,-1.999998401,0.054040266,-0.007670048,-0.001665019,-0.001419986,-0.007323526,-0.007030790
0.270000000,-1.997907072,-1.998257018,0.064561721,-0.004996758,-1.999987419,-1.999996150,0.056833562,-0.011994324,-0.002080347,-0.001739131,-0.007728159,-0.006997566
0.310000000,-1.997249679,-1.997770498,0.070836384,-0.013105868,-1.999975787,-1.999991184,0.061728103,-0.018869217,-0.002726108,-0.002220686,-0.009108280,-0.005763349
0.340000000,-1.996706850,-1.997353756,0.074539200,-0.018274492,-1.999965389,-1.999985892,0.066211629,-0.024689191,-0.003258539,-0.002632136,-0.008327570,-0.006414699
0.370000000,-1.996117375,-1.996899836,0.080121403,-0.024781992,-1.999952387,-1.999979591,0.071246152,-0.030904388,-0.003835011,-0.003079755,-0.008875250,-0.006122397
0.410000000,-1.995254731,-1.996231995,0.090326244,-0.034424596,-1.999929347,-1.999970300,0.078901046,-0.039786191,-0.004674616,-0.003738304,-0.011425198,-0.005361595
0.440000000,-1.994547247,-1.995684663,0.093780318,-0.042880060,-1.999909430,-1.999963599,0.085295222,-0.046803042,-0.005362183,-0.004278935,-0.008485096,-0.003922982
0.470000000,-1.993802703,-1.995094337,0.101226111,-0.050175060,-1.999888326,-1.999957445,0.092132930,-0.054031506,-0.006085624,-0.004863109,-0.009093181,-0.003856446
0.510000000,-2.052550875,-1.659916020,0.113879734,-0.056154619,-1.999856433,-1.999950707,0.102010243,-0.063987998,0.052694442,-0.340034687,-0.011869492,-0.007833378
0.540000000,-2.052969689,-1.652321468,0.113740089,-0.066109740,-1.999828636,-1.999947432,0.109946777,-0.071645836,0.053141053,-0.347625965,-0.003793312,-0.005536097
0.570000000,-2.053352298,-1.644686884,0.122328417,-0.074042240,-1.999798843,-1.999945968,0.118253763,-0.079416652,0.053553455,-0.355259084,-0.004074654,-0.005374413
0.610000000,-2.053811774,-1.634424781,0.131881162,-0.085436036,-1.999754414,-1.999964352,0.129984078,-0.089938066,0.054057360,-0.365539571,-0.001897084,-0.004502030
0.640000000,-2.054123450,-1.626658134,0.137553993,-0.096453713,-1.999707998,-2.000049925,0.139225761,-0.097919550,0.054415453,-0.373391791,0.001671768,-0.001465837
0.670000000,-2.054381770,-1.618837340,0.147100298,-0.104238713,-1.999645791,-2.000249636,0.148783240,-0.105967021,0.054735979,-0.381412296,0.001682942,-0.001728308
0.710000000,-2.054612086,-1.608338625,0.161351115,-0.116164243,-1.999542700,-2.000846463,0.162084556,-0.116828521,0.055069386,-0.392507838,0.000733441,-0.000664278
0.740000000,-2.054697187,-1.600402023,0.173009799,-0.125536194,-1.999471581,-2.001606896,0.172426537,-0.125020173,0.055225606,-0.401204874,-0.000583262,0.000516021
0.770000000,-2.054734271,-1.592423497,0.183914697,-0.133891194,-1.999412339,-2.002606165,0.183010708,-0.133203808,0.055321931,-0.410182669,-0.000903989,0.000687386
0.810000000,-2.054706467,-1.581749202,0.198883318,-0.145034309,-1.999341841,-2.004356167,0.197541671,-0.144152037,0.055364626,-0.422606965,-0.001341647,0.000882272
0.840000000,-2.054616460,-1.573698016,0.217938822,-0.152397726,-1.999282988,-2.005946987,0.208729868,-0.152433682,0.055333472,-0.432248971,-0.009208954,-0.000035956
0.870000000,-2.054466887,-1.565613931,0.230369902,-0.160612726,-1.999222034,-2.007714443,0.220115901,-0.160737857,0.055244853,-0.442100512,-0.010254001,-0.000125131
0.910000000,-2.054180288,-1.554814185,0.234492080,-0.171074844,-1.999145840,-2.010353451,0.235637084,-0.171799859,0.055034448,-0.455539267,0.001145004,-0.000725014
0.940000000,-2.053889592,-1.546661500,0.245670845,-0.180501321,-1.999085031,-2.012518150,0.247514723,-0.180104787,0.054804561,-0.465856650,0.001843878,0.000396535
0.970000000,-2.053552997,-1.538479538,0.257981536,-0.189143821,-1.999011615,-2.014805772,0.259556754,-0.188436320,0.054541382,-0.476326235,0.001575218,0.000707502
1.010000000,-2.209434366,-2.018048143,0.271013556,-0.201190328,-1.998889249,-2.018061651,0.275892124,-0.199579927,0.210545117,-0.000013507,0.004878568,0.001610401
