time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.000028565,-2.000024452,0.054045931,0.05470649,-2.0,-2.0,0.050029904,-0.0,2.8565e-05,2.4452e-05,-0.004016027,-0.05470649
0.04,-2.00012327,-2.000100852,0.060206552,0.015009932,-2.0,-2.0,0.050059808,-0.0,0.00012327,0.000100852,-0.010146744,-0.015009932
0.07,-2.000282951,-2.000221795,0.060606357,0.014842432,-2.0,-2.0,0.050089742,-0.0,0.000282951,0.000221795,-0.010516615,-0.014842432
0.11,-2.000598364,-2.000434694,0.059278154,0.012148404,-2.0,-2.0,0.050129732,-0.0,0.000598364,0.000434694,-0.009148422,-0.012148404
0.14,-2.000906956,-2.000638641,0.045782372,0.019465935,-2.0,-2.0,0.050159731,-7.6884e-05,0.000906956,0.000638641,0.004377359,-0.019542819
0.17,-2.001288861,-2.000879235,0.046008873,0.018720935,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.001288862,0.000879236,0.004385275,-0.019648393
0.21,-2.001888881,-2.001263276,0.038617494,0.01630482,-1.999998666,-1.999999612,0.051923652,-0.004080179,0.001890215,0.001263665,0.013306158,-0.020384999
0.24,-2.002408503,-2.001590096,0.038821446,0.012320576,-1.999994314,-1.99999819,0.054040268,-0.007670049,0.002414189,0.001591906,0.015218822,-0.019990625
0.27,-2.002995219,-2.001968314,0.041436215,0.007560576,-1.999987339,-1.999995498,0.056833566,-0.011994319,0.00300788,0.001972815,0.01539735,-0.019554894
0.31,-2.003841936,-2.002514463,0.047987246,-0.002769601,-1.999975467,-1.999989045,0.061728108,-0.018869211,0.00386647,0.002525418,0.013740862,-0.01609961
0.34,-2.004545227,-2.00295885,0.060877348,-0.007331166,-1.999964715,-1.999981532,0.066211634,-0.024689207,0.004580512,0.002977318,0.005334286,-0.017358041
0.37,-2.00531526,-2.003446583,0.066415947,-0.013646166,-1.999951179,-1.999971885,0.071246157,-0.030904422,0.005364081,0.003474699,0.00483021,-0.017258256
0.41,-2.006429091,-2.004164718,0.074652606,-0.0264061,-1.999926946,-1.999955412,0.07890105,-0.039786193,0.006502146,0.004209305,0.004248444,-0.013380093
0.44,-2.007321095,-2.004755568,0.076631325,-0.036652392,-1.999905627,-1.999940691,0.085295223,-0.046803028,0.007415468,0.004814877,0.008663898,-0.010150636
0.47,-2.008257127,-2.005382381,0.083859161,-0.043769892,-1.999882653,-1.999924196,0.092132929,-0.054031524,0.008374474,0.005458185,0.008273768,-0.010261633
0.51,-2.253770865,-1.991778889,0.098676927,-0.054155676,-1.999847178,-1.999898598,0.102010237,-0.06398807,0.253923687,-0.008119709,0.003333309,-0.009832394
0.54,-2.259631253,-1.992203822,0.113221862,-0.063456731,-1.999815674,-1.999876654,0.109946763,-0.071645317,0.25981558,-0.007672832,-0.003275099,-0.008188585
0.57,-2.265553555,-1.992669654,0.12278253,-0.071244231,-1.999781252,-1.999852752,0.118244657,-0.07941271,0.265772303,-0.007183098,-0.004537872,-0.008168479
0.61,-2.273542089,-1.993349806,0.13002229,-0.082462855,-1.999726874,-1.999816512,0.129932184,-0.089936155,0.273815215,-0.006466706,-9.0107e-05,-0.0074733
0.64,-2.279594214,-1.993898171,0.142996083,-0.089576878,-1.999664175,-1.999784333,0.139134262,-0.097927135,0.279930038,-0.005886162,-0.003861821,-0.008350257
0.67,-2.285706591,-1.994475606,0.153719953,-0.097979378,-1.999572959,-1.999746966,0.14863588,-0.105976771,0.286133632,-0.00527136,-0.005084073,-0.007997393
0.71,-2.293947518,-1.995302805,0.168726591,-0.109582109,-1.999393959,-1.999683595,0.161819307,-0.116797345,0.294553559,-0.00438079,-0.006907284,-0.007215236
0.74,-2.300208593,-1.995960058,0.175470805,-0.117100188,-1.999227615,-1.999622134,0.172072858,-0.124967818,0.300980978,-0.003662076,-0.003397947,-0.00786763
0.77,-2.306536638,-1.996647535,0.187007528,-0.125422688,-1.999040709,-1.999549321,0.182573727,-0.133173307,0.30749593,-0.002901786,-0.004433802,-0.00775062
