time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000022759,-2.000024592,0.042506599,0.022214729,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000022759,0.000024592,0.007523304,-0.022214729
0.040000000,-2.000076854,-2.000093282,0.043897383,-0.004274041,-2.000000000,-2.000000000,0.050059808,-0.000000000,0.000076854,0.000093282,0.006162424,0.004274041
0.070000000,-2.000187299,-2.000202026,0.043664309,-0.004379041,-2.000000000,-2.000000000,0.050089742,-0.000000000,0.000187299,0.000202026,0.006425432,0.004379041
0.110000000,-2.000421586,-2.000418075,0.037448679,0.007694311,-2.000000000,-2.000000000,0.050129732,-0.000000000,0.000421586,0.000418075,0.012681052,-0.007694311
0.140000000,-2.000659652,-2.000615985,0.036423679,-0.000128314,-2.000000000,-2.000000000,0.050159731,-0.000076884,0.000659652,0.000615985,0.013736052,0.000051430
0.170000000,-2.000931883,-2.000860442,0.036034282,-0.001220814,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000931884,0.000860443,0.014359866,0.000293356
0.210000000,-2.001376716,-2.001220419,0.038751388,0.001146463,-1.999998669,-1.999999612,0.051923651,-0.004080179,0.001378047,0.001220807,0.013172264,-0.005226642
0.240000000,-2.001764815,-2.001534513,0.046587344,0.002935559,-1.999994329,-1.999998194,0.054040268,-0.007670049,0.001770487,0.001536319,0.007452924,-0.010605608
0.270000000,-2.002191276,-2.001904950,0.048909613,-0.001361941,-1.999987382,-1.999995509,0.056833566,-0.011994318,0.002203894,0.001909441,0.007923953,-0.010632378
0.310000000,-2.002842239,-2.002464990,0.054736671,-0.002789401,-1.999975588,-1.999989077,0.061728108,-0.018869211,0.002866651,0.002475913,0.006991437,-0.016079810
0.340000000,-2.003400418,-2.002922111,0.058537911,-0.008305561,-1.999964938,-1.999981592,0.066211634,-0.024689206,0.003435480,0.002940519,0.007673723,-0.016383645
