time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.000019734,-1.999974485,0.05000925,-0.005609707,-2.0,-2.0,0.050029904,-0.0,1.9734e-05,-2.5515e-05,2.0654e-05,0.005609707
0.03,-2.000083545,-1.999894286,0.039135502,0.008128036,-2.0,-2.0,0.050059808,-0.0,8.3545e-05,-0.000105714,0.010924305,-0.008128036
0.06,-2.000198726,-1.999753332,0.038761724,0.008245536,-2.0,-2.0,0.050089742,-0.0,0.000198726,-0.000246668,0.011328017,-0.008245536
0.1,-2.000432705,-1.999503746,0.03412709,0.005974513,-2.0,-2.0,0.050129732,-0.0,0.000432705,-0.000496254,0.016002642,-0.005974513
0.13,-2.000670824,-1.999263118,0.039679527,0.005682989,-2.0,-2.0,0.050159731,-7.6884e-05,0.000670824,-0.000736882,0.010480204,-0.005759873
0.16,-2.000963522,-1.998964797,0.039363241,0.004927989,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000963523,-0.001035203,0.011030907,-0.005855447
0.2,-2.001429321,-1.998509369,0.038266077,-0.002076266,-1.999998651,-1.99999965,0.05192365,-0.004080178,0.00143067,-0.001490282,0.013657574,-0.002003912
0.23,-2.001829362,-1.998121437,0.038572075,0.000193711,-1.999994242,-1.999998425,0.054040266,-0.007670049,0.00183512,-0.001876988,0.015468191,-0.00786376
0.26,-2.002276383,-1.997664969,0.040571261,-0.004148789,-1.999987167,-1.999996221,0.056833562,-0.011994325,0.002289216,-0.002331252,0.016262302,-0.007845536
0.3,-2.002928337,-1.996966032,0.044150936,-0.007583316,-1.999975085,-1.999991408,0.061728103,-0.01886922,0.002953252,-0.003025376,0.017577167,-0.011285903
0.33,-2.00347358,-1.996384354,0.050035231,-0.016807936,-1.999964107,-1.999986333,0.066211629,-0.024689192,0.003509472,-0.003601979,0.016176398,-0.007881256
0.36,-2.004057327,-1.995753063,0.054280188,-0.023207936,-1.999950283,-1.999980348,0.071246152,-0.030904389,0.004107044,-0.004227285,0.016965964,-0.007696453
0.4,-2.004886603,-1.994815872,0.059356398,-0.037018939,-1.99992554,-1.999971716,0.078901045,-0.039786194,0.004961063,-0.005155843,0.019544647,-0.002767256
0.43,-2.00555687,-1.994064651,0.074676735,-0.041607342,-1.999903764,-1.999965748,0.08529522,-0.046803045,0.005653106,-0.005901097,0.010618485,-0.005195703
0.46,-2.006265803,-1.99326808,0.081170287,-0.048682342,-1.999880292,-1.999960548,0.092132927,-0.054031504,0.006385511,-0.006692468,0.01096264,-0.005349162
0.5,-2.38025225,-2.214954944,0.093336106,-0.062578693,-1.999844097,-1.999955569,0.102010237,-0.063987988,0.380408153,0.214999375,0.008674131,-0.001409295
0.53,-2.388699478,-2.218628484,0.105796691,-0.071102921,-1.999812023,-1.999954048,0.109946769,-0.071644865,0.388887455,0.218674436,0.004150078,-0.000541944
0.56,-2.397203865,-2.222252708,0.114101821,-0.078827921,-1.999777029,-1.999954719,0.118251712,-0.079408966,0.397426836,0.222297989,0.004149891,-0.000581045
0.6,-2.408612905,-2.22701323,0.123417034,-0.091063931,-1.999720238,-1.999947964,0.129972197,-0.089931722,0.408892667,0.227065266,0.006555163,0.001132208
0.63,-2.417230428,-2.230540762,0.136726215,-0.09834197,-1.999649798,-1.999894749,0.139206673,-0.097928014,0.41758063,0.230646012,0.002480458,0.000413956
0.66,-2.425903824,-2.234035765,0.146285563,-0.10632697,-1.999542659,-1.999758975,0.148753466,-0.105976818,0.426361165,0.23427679,0.002467904,0.000350152
0.7,-2.437543563,-2.238643599,0.160494905,-0.118742747,-1.999321032,-1.999329446,0.162031316,-0.116778461,0.438222531,0.239314153,0.001536411,0.001964285
0.73,-2.4463318,-2.242044431,0.172347076,-0.126331564,-1.999099729,-1.99876591,0.172355445,-0.124954596,0.447232071,0.243278521,8.369e-06,0.001376967
0.76,-2.455178322,-2.245387766,0.182974434,-0.134536564,-1.99883627,-1.998016857,0.182922958,-0.133196106,0.456342052,0.247370909,-5.1475e-05,0.001340458
0.8,-2.467060998,-2.249764111,0.196349344,-0.145689882,-1.998387778,-1.99669777,0.197434613,-0.144225031,0.468673221,0.253066341,0.001085269,0.001464851
0.83,-2.47602034,-2.252986327,0.213656216,-0.155673191,-1.997971248,-1.995498889,0.208610386,-0.15248755,0.478049092,0.257487438,-0.00504583,0.003185641
0.86,-2.485012122,-2.256169617,0.225331276,-0.163623191,-1.997504085,-1.994167649,0.219987995,-0.160767722,0.487508038,0.262001968,-0.005343282,0.002855469
0.9,-2.497057853,-2.260340008,0.234441221,-0.172944607,-1.996800719,-1.99218212,0.235502103,-0.171865838,0.500257134,0.268157888,0.001060882,0.00107877
0.93,-2.506159706,-2.263404706,0.244177628,-0.181793734,-1.996204681,-1.990559496,0.247379599,-0.180204608,0.509955025,0.27284521,0.003201971,0.001589126
0.96,-2.515323945,-2.26642251,0.255778573,-0.189866234,-1.995550188,-1.988852598,0.259422842,-0.188536867,0.519773758,0.277569912,0.003644269,0.001329368
1.0,-2.251237437,-1.981545362,0.276193224,-0.202349407,-1.994574811,-1.986437539,0.275764366,-0.199648996,0.256662626,-0.004892177,-0.000428858,0.002700411
1.03,-2.255658145,-1.97927835,0.28664759,-0.210534037,-1.993778032,-1.984531038,0.288222317,-0.208005828,0.261880113,-0.005252687,0.001574727,0.002528208
1.06,-2.260116135,-1.976949752,0.298827155,-0.218656537,-1.99293242,-1.982561814,0.300825521,-0.216367231,0.267183715,-0.005612062,0.001998366,0.002289306
