time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.000021054,-2.000034638,0.025783277,0.038403048,-2.0,-2.0,0.050029904,-0.0,2.1054e-05,3.4638e-05,0.024246627,-0.038403048
0.04,-2.000088834,-2.000140001,0.036120699,0.029351319,-2.0,-2.0,0.050059808,-0.0,8.8834e-05,0.000140001,0.013939108,-0.029351319
0.07,-2.000206443,-2.000298218,0.035920691,0.029521319,-2.0,-2.0,0.050089742,-0.0,0.000206443,0.000298218,0.01416905,-0.029521319
0.11,-2.000419229,-2.000596295,0.03885109,0.027116256,-2.0,-2.0,0.050129732,-0.0,0.000419229,0.000596295,0.011278642,-0.027116256
0.14,-2.000615553,-2.000892737,0.037583553,0.023425394,-2.0,-2.0,0.050159731,-7.6884e-05,0.000615553,0.000892737,0.012576178,-0.023502278
0.17,-2.00085821,-2.001248063,0.037781753,0.022607894,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000858211,0.001248063,0.012612396,-0.023535352
0.21,-2.001229755,-2.001813431,0.048317714,0.010035967,-1.999998672,-1.999999605,0.051923652,-0.004080179,0.001231083,0.001813826,0.003605937,-0.014116146
0.24,-2.001559315,-2.00229596,0.056464754,-0.000305156,-1.999994344,-1.999998152,0.054040268,-0.007670049,0.001564971,0.002297808,-0.002424485,-0.007364893
0.27,-2.001937353,-2.002848509,0.059897719,-0.004937656,-1.999987422,-1.999995379,0.056833566,-0.011994317,0.001949931,0.00285313,-0.003064153,-0.007056661
0.31,-2.002524212,-2.003664297,0.065124454,-0.016172402,-1.999975688,-1.999988646,0.061728109,-0.018869209,0.002548524,0.003675651,-0.003396346,-0.002696806
0.34,-2.0030087,-2.004346554,0.0725012,-0.021539193,-1.999965113,-1.999980701,0.066211635,-0.024689208,0.003043587,0.004365853,-0.006289565,-0.003150014
0.37,-2.003531605,-2.005096047,0.078475478,-0.027919193,-1.99995183,-1.999970386,0.071246157,-0.030904425,0.003579775,0.005125662,-0.00722932,-0.002985232
0.41,-2.004273458,-2.006192002,0.088875943,-0.037822878,-1.99992812,-1.999952432,0.07890105,-0.039786188,0.004345338,0.00623957,-0.009974893,-0.00196331
0.44,-2.004874845,-2.007095233,0.092254337,-0.044346652,-1.999907362,-1.99993601,0.085295224,-0.046803019,0.004967483,0.007159223,-0.006959113,-0.002456367
