time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999972885,-2.000027633,0.055019532,-0.013935613,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000027115,0.000027633,-0.004989629,0.013935613
0.040000000,-1.999909033,-2.000093995,0.057569115,-0.011414527,-2.000000000,-2.000000000,0.050059808,-0.000000000,-0.000090967,0.000093995,-0.007509307,0.011414527
0.070000000,-1.999794503,-2.000210686,0.057706628,-0.011594527,-2.000000000,-2.000000000,0.050089742,-0.000000000,-0.000205497,0.000210686,-0.007616886,0.011594527
0.110000000,-1.999568116,-2.000439496,0.054997445,-0.023671046,-2.000000000,-2.000000000,0.050129732,-0.000000000,-0.000431884,0.000439496,-0.004867713,0.023671046
0.140000000,-1.999351340,-2.000665292,0.051918224,-0.015809084,-2.000000000,-2.000000000,0.050159731,-0.000076884,-0.000648660,0.000665292,-0.001758493,0.015732200
0.170000000,-1.999094753,-2.000933246,0.051848889,-0.016721584,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.000905246,0.000933246,-0.001454740,0.015794125
0.210000000,-1.998707287,-2.001356421,0.053141286,-0.021660642,-1.999998683,-1.999999612,0.051923651,-0.004080179,-0.001291397,0.001356809,-0.001217635,0.017580463
0.240000000,-1.998364855,-2.001720890,0.050763299,-0.029057850,-1.999994412,-1.999998196,0.054040268,-0.007670048,-0.001629557,0.001722694,0.003276969,0.021387802
0.270000000,-1.997977966,-2.002123363,0.052916118,-0.033467850,-1.999987621,-1.999995516,0.056833565,-0.011994317,-0.002009655,0.002127847,0.003917447,0.021473534
0.310000000,-1.997412819,-2.002749851,0.054538945,-0.037059519,-1.999976259,-1.999989112,0.061728107,-0.018869208,-0.002563441,0.002760740,0.007189163,0.018190311
0.340000000,-1.996929499,-2.003277175,0.055246314,-0.038692411,-1.999966149,-1.999981700,0.066211634,-0.024689199,-0.003036649,0.003295475,0.010965320,0.014003212
0.370000000,-1.996403112,-2.003836429,0.059221976,-0.045009911,-1.999953502,-1.999972244,0.071246156,-0.030904409,-0.003550390,0.003864186,0.012024180,0.014105501
0.410000000,-1.995632859,-2.004637599,0.069119843,-0.052340018,-1.999931079,-1.999956280,0.078901050,-0.039786179,-0.004298221,0.004681319,0.009781207,0.012553840
