time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999969443,-1.999963566,0.009996552,-0.029447631,-2.0,-2.0,0.050029904,-0.0,-3.0557e-05,-3.6434e-05,0.040033352,0.029447631
0.04,-1.99988314,-1.999896898,0.036238734,-0.003176379,-2.0,-2.0,0.050059808,-0.0,-0.00011686,-0.000103102,0.013821073,0.003176379
0.07,-1.999752976,-1.999801976,0.035759551,-0.003106379,-2.0,-2.0,0.050089742,-0.0,-0.000247024,-0.000198024,0.01433019,0.003106379
0.11,-1.999523994,-1.999608891,0.047939827,-0.013594389,-2.0,-2.0,0.050129732,-0.0,-0.000476006,-0.000391109,0.002189905,0.013594389
0.14,-1.999287067,-1.999416968,0.047775635,-0.014953422,-2.0,-2.0,0.050159731,-7.6884e-05,-0.000712933,-0.000583032,0.002384096,0.014876538
0.17,-1.999014151,-1.999192059,0.04761149,-0.015823422,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.000985848,-0.00080794,0.002782658,0.014895964
0.21,-1.998577365,-1.998823712,0.048966346,-0.017559672,-1.999998668,-1.999999646,0.05192365,-0.004080179,-0.001421303,-0.001175934,0.002957304,0.013479493
0.24,-1.998202711,-1.998508429,0.043874844,-0.025393335,-1.999994337,-1.999998402,0.054040266,-0.007670048,-0.001791627,-0.001489972,0.010165421,0.017723286
0.27,-1.997794244,-1.99814846,0.045863294,-0.029578335,-1.999987435,-1.999996153,0.056833562,-0.011994324,-0.002193192,-0.001847694,0.010970268,0.017584011
0.31,-1.997196782,-1.997597996,0.0420771,-0.034941992,-1.99997583,-1.999991199,0.061728103,-0.018869218,-0.002779048,-0.002393203,0.019651003,0.016072775
0.34,-1.996706159,-1.997122778,0.045668843,-0.035379751,-1.999965462,-1.999985934,0.066211629,-0.02468919,-0.003259303,-0.002863157,0.020542786,0.010690561
0.37,-1.996188722,-1.9966105,0.04946917,-0.041602251,-1.999952494,-1.999979686,0.071246152,-0.030904388,-0.003763772,-0.003369186,0.021776982,0.010697864
0.41,-1.995461911,-1.99588857,0.054609838,-0.046002799,-1.999929506,-1.999970545,0.078901046,-0.039786191,-0.004467596,-0.004081975,0.024291208,0.006216608
0.44,-1.994864065,-1.995308906,0.061717419,-0.05375416,-1.999909624,-1.999964047,0.085295222,-0.046803043,-0.005045559,-0.004655142,0.023577803,0.006951117
0.47,-1.994220436,-1.994696371,0.067261538,-0.06082666,-1.999888548,-1.999958188,0.09213293,-0.054031506,-0.005668111,-0.005261817,0.024871392,0.006795154
0.51,-1.708269529,-2.115863857,0.077173624,-0.074967724,-1.999856665,-1.99995206,0.102010243,-0.063987995,-0.291587136,0.115911797,0.024836619,0.010979729
0.54,-1.701763211,-2.11761639,0.075786166,-0.079845342,-1.999828846,-1.99994945,0.109946777,-0.071645934,-0.298065635,0.117666941,0.034160611,0.008199408
0.57,-1.695199971,-2.119337584,0.082228266,-0.087397842,-1.999798966,-1.999948836,0.118244979,-0.079417391,-0.304598995,0.119388748,0.036016713,0.007980452
0.61,-1.686370236,-2.121567208,0.092070983,-0.102285437,-1.999763277,-1.99994811,0.129933268,-0.089942401,-0.313393041,0.121619098,0.037862285,0.012343037
0.64,-1.679698505,-2.123180302,0.110126022,-0.111954948,-1.999757861,-1.999932939,0.139135713,-0.09793148,-0.320059356,0.123247362,0.029009691,0.014023468
0.67,-1.672977264,-2.124777,0.118485899,-0.119994948,-1.999781172,-1.999890632,0.148638764,-0.105983713,-0.326803909,0.124886368,0.030152865,0.014011235
0.71,-1.663959377,-2.126900393,0.140445164,-0.132106249,-1.999869128,-1.99975281,0.161831166,-0.11681875,-0.335909751,0.127147583,0.021386002,0.015287498
0.74,-1.657139669,-2.128453583,0.154755057,-0.138641465,-1.999963867,-1.999572691,0.172094198,-0.124996373,-0.342824198,0.128880892,0.017339141,0.013645092
0.77,-1.650270827,-2.129969158,0.165042613,-0.146816465,-2.000075073,-1.999334837,0.182605551,-0.133195049,-0.349804246,0.130634321,0.017562939,0.013621415
