time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.00001852,-1.999986902,0.044957368,-0.058521636,-2.0,-2.0,0.050029904,-0.0,1.852e-05,-1.3098e-05,0.005072536,0.058521636
0.04,-2.000069071,-1.999934589,0.058641979,-0.0228424,-2.0,-2.0,0.050059808,-0.0,6.9071e-05,-6.5411e-05,-0.008582171,0.0228424
0.07,-2.000149873,-1.999842804,0.058752874,-0.0224849,-2.0,-2.0,0.050089742,-0.0,0.000149873,-0.000157196,-0.008663132,0.0224849
0.11,-2.000336376,-1.999641276,0.050368943,-0.013404024,-2.0,-2.0,0.050129732,-0.0,0.000336376,-0.000358724,-0.000239212,0.013404024
0.14,-2.00053222,-1.999431306,0.058240193,-0.006655585,-2.0,-2.0,0.050159731,-7.6884e-05,0.00053222,-0.000568694,-0.008080462,0.006578701
0.17,-2.000761713,-1.999172328,0.058344792,-0.007888085,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000761714,-0.000827672,-0.007950644,0.006960627
0.21,-2.001134345,-1.998769248,0.065849365,-0.011125029,-1.999998655,-1.999999645,0.05192365,-0.004080178,0.00113569,-0.001230397,-0.013925715,0.007044851
0.24,-2.001454055,-1.99842322,0.060103316,-0.009293982,-1.999994264,-1.999998392,0.054040266,-0.007670049,0.001459792,-0.001575172,-0.00606305,0.001623933
0.27,-2.001818058,-1.998030258,0.062503329,-0.013776482,-1.999987224,-1.999996122,0.056833563,-0.011994324,0.001830834,-0.001965864,-0.005669766,0.001782158
0.31,-2.002372328,-1.997437151,0.070922769,-0.026749263,-1.999975229,-1.999991097,0.061728104,-0.018869219,0.002397099,-0.002553946,-0.009194665,0.007880044
0.34,-2.002831941,-1.996939478,0.07475236,-0.028853666,-1.999964354,-1.999985732,0.06621163,-0.024689193,0.002867586,-0.003046254,-0.00854073,0.004164473
0.37,-2.003324704,-1.996393339,0.079415547,-0.035241166,-1.999950667,-1.999979338,0.071246153,-0.030904392,0.003374037,-0.003585999,-0.008169394,0.004336774
0.41,-2.004021396,-1.99559859,0.082316037,-0.045143424,-1.999926184,-1.999969909,0.078901046,-0.039786194,0.004095212,-0.004371319,-0.00341499,0.00535723
0.44,-2.004579262,-1.994947527,0.086378905,-0.057316103,-1.999904667,-1.999963114,0.085295221,-0.046803044,0.004674594,-0.005015587,-0.001083684,0.010513059
0.47,-2.005159722,-1.994252639,0.092340374,-0.064748603,-1.99988151,-1.999956885,0.092132928,-0.054031506,0.005278212,-0.005704246,-0.000207446,0.010717096
0.51,-1.856923625,-1.737503694,0.098737049,-0.07480136,-1.999845855,-1.999950097,0.102010239,-0.063987996,-0.14292223,-0.262446403,0.003273189,0.010813365
0.54,-1.854672168,-1.731688578,0.108483178,-0.080376421,-1.999814294,-1.999946826,0.109946771,-0.071645534,-0.145142125,-0.268258248,0.001463593,0.008730887
0.57,-1.852465372,-1.72584232,0.115831143,-0.088441421,-1.999779925,-1.99994539,0.118251894,-0.079414878,-0.147314554,-0.27410307,0.002420751,0.009026543
0.61,-1.849593986,-1.717947708,0.124096273,-0.098044873,-1.999732292,-1.99996087,0.129972853,-0.089942997,-0.150138306,-0.282013161,0.00587658,0.008101877
0.64,-1.847479705,-1.711960506,0.132772227,-0.104641069,-1.999699466,-2.0000319,0.139204872,-0.097937811,-0.152219761,-0.288071394,0.006432645,0.006703258
0.67,-1.845395249,-1.705897551,0.141080643,-0.112941069,-1.999672261,-2.000197297,0.148748869,-0.105992103,-0.154277011,-0.294299746,0.007668226,0.006948966
0.71,-1.842669814,-1.697702815,0.15584574,-0.121434729,-1.999655567,-2.000692692,0.162022896,-0.116829455,-0.156985752,-0.302989877,0.006177155,0.004605274
0.74,-1.840658443,-1.691483272,0.171276048,-0.127542649,-1.999667298,-2.001326216,0.172336946,-0.125017147,-0.159008855,-0.309842944,0.001060898,0.002525502
0.77,-1.838668252,-1.685210102,0.18115268,-0.136082649,-1.999701472,-2.00216037,0.182891325,-0.133232753,-0.161033221,-0.316950269,0.001738645,0.002849896
0.81,-1.836067337,-1.676769262,0.200919805,-0.148686027,-1.999789533,-2.003622004,0.197380502,-0.144223946,-0.163722195,-0.326852741,-0.003539303,0.004462081
0.84,-1.834163154,-1.670368105,0.215778012,-0.157786535,-1.999884063,-2.004949466,0.208536643,-0.152497511,-0.165720908,-0.334581361,-0.00724137,0.005289024
0.87,-1.832294766,-1.663917822,0.227001392,-0.166326535,-1.999997457,-2.006422984,0.219887081,-0.160791491,-0.167702691,-0.342505162,-0.007114312,0.005535044
0.91,-1.829842293,-1.655240678,0.232380975,-0.177912368,-2.000182999,-2.008619318,0.235351887,-0.171874418,-0.170340705,-0.35337864,0.002970912,0.006037951
0.94,-1.828045004,-1.648671921,0.246019852,-0.188375057,-2.000347348,-2.010415777,0.247180902,-0.180198953,-0.172302344,-0.361743856,0.001161051,0.008176104
0.97,-1.826292515,-1.642044081,0.257262554,-0.196845057,-2.00052821,-2.012309362,0.259167893,-0.188533608,-0.174235695,-0.370265281,0.001905339,0.008311449
1.01,-1.89959468,-1.644150253,0.272123106,-0.207863444,-2.000796425,-2.014997089,0.275423592,-0.199665317,-0.101201745,-0.370846835,0.003300486,0.008198126
1.04,-1.899125009,-1.637547926,0.283429434,-0.21569734,-2.001018305,-2.01712418,0.287806369,-0.20802314,-0.101893295,-0.379576254,0.004376935,0.007674199
1.07,-1.898703733,-1.630877468,0.294986965,-0.22413734,-2.001256733,-2.019326002,0.300320934,-0.216382251,-0.102553,-0.388448534,0.005333969,0.007755089
1.11,-1.898193722,-1.621896625,0.310832424,-0.235226056,-2.001603427,-2.022387812,0.317235522,-0.227529343,-0.103409705,-0.400491187,0.006403098,0.007696714
1.14,-1.897854011,-1.615097638,0.324268091,-0.243953848,-2.00187784,-2.024767195,0.330082323,-0.235894689,-0.10402383,-0.409669557,0.005814232,0.008059159
1.17,-1.897540557,-1.608237309,0.33623604,-0.252803848,-2.002158003,-2.027197696,0.343039449,-0.244266761,-0.104617445,-0.418960387,0.006803408,0.008537087
1.21,-1.897167703,-1.598975692,0.352981721,-0.266073942,-2.002540694,-2.03051346,0.360507439,-0.255438104,-0.105372992,-0.431537768,0.007525718,0.010635838
1.24,-1.896929597,-1.59194826,0.365306473,-0.274220469,-2.002836475,-2.033043945,0.373742521,-0.263817337,-0.105906878,-0.441095685,0.008436048,0.010403132
1.27,-1.896709078,-1.584875154,0.377509246,-0.282832969,-2.003137663,-2.035602193,0.3870684,-0.272198094,-0.106428585,-0.450727038,0.009559154,0.010634875
1.31,-1.896471746,-1.575358587,0.404394706,-0.294034452,-2.003543498,-2.039063475,0.404995041,-0.283378368,-0.107071752,-0.463704888,0.000600335,0.010656083
1.34,-1.896319782,-1.56814203,0.419486876,-0.302491005,-2.003850526,-2.041697859,0.418549795,-0.291766422,-0.107530744,-0.473555828,-0.000937081,0.010724583
1.37,-1.896181401,-1.560855267,0.432669981,-0.311063505,-2.004162722,-2.044360317,0.432180779,-0.300154072,-0.107981321,-0.48350505,-0.000489201,0.010909432
1.41,-1.896036425,-1.551067549,0.456203564,-0.320030382,-2.004592038,-2.047962924,0.450484829,-0.311335005,-0.108555613,-0.496895375,-0.005718735,0.008695377
1.44,-1.895963367,-1.543645469,0.470017846,-0.328438929,-2.004921094,-2.05070687,0.464304285,-0.319721305,-0.108957726,-0.507061401,-0.005713562,0.008717624
1.47,-1.895916101,-1.536156072,0.483698768,-0.337128929,-2.005253487,-2.053482892,0.478185661,-0.328110223,-0.109337387,-0.51732682,-0.005513107,0.009018706
1.51,-1.842035886,-1.685597199,0.497962814,-0.347473905,-2.005706622,-2.057243687,0.496801228,-0.339297567,-0.163670736,-0.371646489,-0.001161586,0.008176338
1.54,-1.841235325,-1.680346846,0.504386122,-0.354301906,-2.006058434,-2.060108862,0.510838053,-0.347686721,-0.164823109,-0.379762015,0.006451931,0.006615186
1.57,-1.840452961,-1.675043982,0.517328934,-0.362849406,-2.006418502,-2.063007708,0.524929497,-0.356080321,-0.165965541,-0.387963726,0.007600563,0.006769085
1.61,-1.839443228,-1.667870258,0.538096469,-0.373249947,-2.006910411,-2.066931472,0.543819186,-0.367282184,-0.167467184,-0.399061215,0.005722717,0.005967763
1.64,-1.838712585,-1.662407744,0.555140489,-0.382035081,-2.007291481,-2.069896036,0.558055037,-0.375685794,-0.168578896,-0.407488293,0.002914548,0.006349287
1.67,-1.837998081,-1.656909436,0.568616757,-0.390712581,-2.007683278,-2.072851784,0.572343236,-0.384088309,-0.169685197,-0.415942348,0.003726478,0.006624273
1.71,-1.837091482,-1.649473042,0.584557376,-0.401424329,-2.00821112,-2.076734727,0.591489685,-0.395290047,-0.171119639,-0.427261686,0.006932309,0.006134282
1.74,-1.836449842,-1.643815452,0.602419179,-0.410502419,-2.008590739,-2.07958601,0.605914846,-0.403688797,-0.172140897,-0.435770559,0.003495668,0.006813621
1.77,-1.835830112,-1.638100945,0.616095432,-0.419209919,-2.008954244,-2.08239118,0.620380522,-0.412077736,-0.173124132,-0.444290235,0.00428509,0.007132182
1.81,-1.83503722,-1.630380979,0.635958909,-0.429211258,-2.009426579,-2.086051291,0.639742315,-0.423258409,-0.174389359,-0.455670312,0.003783406,0.005952849
1.84,-1.83445834,-1.624513581,0.653935225,-0.436618615,-2.009784884,-2.088747759,0.654311949,-0.43164988,-0.175326544,-0.464234179,0.000376724,0.004968735
1.87,-1.833894703,-1.618577594,0.667991158,-0.445263615,-2.010145038,-2.091421514,0.668916568,-0.440041689,-0.176250335,-0.47284392,0.00092541,0.005221925
1.91,-1.833156711,-1.610563883,0.687631525,-0.457207021,-2.010625243,-2.094966451,0.688447437,-0.451231062,-0.177468532,-0.484402568,0.000815912,0.005975959
1.94,-1.832600901,-1.604489896,0.703570928,-0.464830453,-2.010996903,-2.097618218,0.70313626,-0.459625574,-0.178396002,-0.493128322,-0.000434668,0.005204879
1.97,-1.832061152,-1.598349146,0.717797942,-0.473162953,-2.01138681,-2.100266739,0.71785325,-0.468018664,-0.179325657,-0.501917593,5.5308e-05,0.005144289
