time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000027000,-1.999977500,0.038053775,0.013375041,-2.000000000,-2.000000000,0.050049840,-0.000000000,0.000027000,-0.000022500,0.011996065,-0.013375041
0.040000000,-2.000107869,-1.999895278,0.051654942,0.004679104,-2.000000000,-2.000000000,0.050049840,-0.000000000,0.000107869,-0.000104722,-0.001605102,-0.004679104
0.070000000,-2.000235540,-1.999757557,0.051815212,0.004901604,-2.000000000,-2.000000000,0.050089742,-0.000000000,0.000235540,-0.000242443,-0.001725470,-0.004901604
0.110000000,-2.000471867,-1.999506440,0.057420093,0.013659005,-2.000000000,-2.000000000,0.050129732,-0.000000000,0.000471867,-0.000493560,-0.007290361,-0.013659005
0.140000000,-2.000704349,-1.999277459,0.053766214,0.009241998,-2.000000000,-2.000000000,0.050159731,-0.000076884,0.000704349,-0.000722541,-0.003606483,-0.009318882
0.170000000,-2.000988117,-1.998996488,0.054246113,0.008441998,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000988118,-0.001003511,-0.003851965,-0.009369456
0.210000000,-2.001444056,-1.998551257,0.057524153,0.008601226,-1.999998650,-1.999999651,0.051923650,-0.004080178,0.001445405,-0.001448394,-0.005600503,-0.012681404
0.240000000,-2.001847009,-1.998158354,0.063208746,-0.001374632,-1.999994240,-1.999998425,0.054040266,-0.007670049,0.001852769,-0.001840071,-0.009168480,-0.006295416
0.270000000,-2.002297221,-1.997719181,0.066553313,-0.005779632,-1.999987161,-1.999996222,0.056833562,-0.011994325,0.002310060,-0.002277042,-0.009719751,-0.006214693
0.310000000,-2.003002049,-1.997064190,0.070315259,-0.020434506,-1.999975070,-1.999991407,0.061728103,-0.018869220,0.003026978,-0.002927217,-0.008587155,0.001565286
0.340000000,-2.003616804,-1.996523440,0.074387973,-0.029757784,-1.999964087,-1.999986327,0.066211629,-0.024689192,0.003652718,-0.003462887,-0.008176344,0.005068592
0.370000000,-2.004287601,-1.995932081,0.079992947,-0.036077784,-1.999950256,-1.999980330,0.071246152,-0.030904389,0.004337345,-0.004048249,-0.008746795,0.005173395
0.410000000,-2.005246375,-1.995072691,0.081763637,-0.042592232,-1.999925501,-1.999971664,0.078901045,-0.039786194,0.005320875,-0.004898973,-0.002862591,0.002806038
0.440000000,-2.006015733,-1.994380780,0.082211408,-0.051901389,-1.999903705,-1.999965640,0.085295220,-0.046803044,0.006112028,-0.005584859,0.003083812,0.005098344
0.470000000,-2.006830896,-1.993644040,0.088989745,-0.058958889,-1.999880205,-1.999960341,0.092132927,-0.054031504,0.006950691,-0.006316301,0.003143182,0.004927384
0.510000000,-1.447337637,-1.726057865,0.097949232,-0.064660291,-1.999843948,-1.999955103,0.102010237,-0.063987990,-0.552506310,-0.273897238,0.004061005,0.000672301
0.540000000,-1.436776931,-1.719758002,0.104661496,-0.073752525,-1.999811797,-1.999953239,0.109946769,-0.071644732,-0.563034866,-0.280195236,0.005285273,0.002107793
0.570000000,-1.426282258,-1.713401213,0.112909778,-0.081240025,-1.999776715,-1.999953390,0.118254050,-0.079408456,-0.573494458,-0.286552176,0.005344271,0.001831569
0.610000000,-1.412366265,-1.704841854,0.127152579,-0.092768050,-1.999736138,-1.999973675,0.129986134,-0.089935848,-0.587369872,-0.295131821,0.002833555,0.002832202
0.640000000,-1.401979704,-1.698348584,0.136126228,-0.100804000,-1.999739803,-2.000058310,0.139233084,-0.097941531,-0.597760099,-0.301709726,0.003106856,0.002862469
0.670000000,-1.391640066,-1.691786589,0.145943301,-0.108636500,-1.999790819,-2.000253788,0.148797182,-0.105995815,-0.608150753,-0.308467199,0.002853881,0.002640686
0.710000000,-1.377906061,-1.682904215,0.156953922,-0.118297732,-1.999962651,-2.000840823,0.162109286,-0.116783647,-0.622056591,-0.317936608,0.005155364,0.001514086
