time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.000020966,-2.00001805,0.049996,0.016896912,-2.0,-2.0,0.05004984,-0.0,2.0966e-05,1.805e-05,5.384e-05,-0.016896912
0.03,-2.000081128,-2.000061473,0.071816815,-0.008865071,-2.0,-2.0,0.05004984,-0.0,8.1128e-05,6.1473e-05,-0.021766975,0.008865071
0.06,-2.000168934,-2.000125452,0.072328093,-0.009057571,-2.0,-2.0,0.050089742,-0.0,0.000168934,0.000125452,-0.022238352,0.009057571
0.09,-2.000278615,-2.000213756,0.066948008,0.005009288,-2.0,-2.0,0.050119733,-0.0,0.000278615,0.000213756,-0.016828275,-0.005009288
0.17,-2.000572048,-2.000506282,0.067507229,0.015521291,-2.0,-2.0,0.050199731,-0.0,0.000572048,0.000506282,-0.017307498,-0.015521291
0.17,-2.000835062,-2.000847138,0.061271339,0.015521291,-2.0,-2.0,0.050199731,-0.0,0.000835062,0.000847138,-0.011071608,-0.015521291
0.27,-2.001238898,-2.001371548,0.055307517,0.015904054,-2.0,-2.0,0.050299731,-0.0,0.001238898,0.001371548,-0.005007786,-0.015904054
0.37,-2.002083524,-2.002463293,0.049650765,0.019253529,-2.0,-2.0,0.050399731,-0.0,0.002083524,0.002463293,0.000748966,-0.019253529
0.43,-2.002683895,-2.003304463,0.052453649,0.010232009,-2.000000003,-2.000000001,0.050489862,-0.000246869,0.002683892,0.003304462,-0.001963786,-0.010478878
0.46,-2.003009196,-2.003761925,0.052186098,0.008657009,-1.999999934,-1.999999979,0.050932148,-0.001577771,0.003009262,0.003761946,-0.00125395,-0.01023478
0.5,-2.131005092,-1.797488313,0.056950468,0.001587181,-1.999997668,-1.999999216,0.052822104,-0.005252728,0.131007423,-0.202510903,-0.004128364,-0.006839909
0.53,-2.134460586,-1.792960494,0.06212118,-0.00669534,-1.999992304,-1.999997015,0.055197146,-0.009156398,0.134468283,-0.207036521,-0.006924034,-0.002461058
0.56,-2.137948233,-1.788458254,0.065109421,-0.01150534,-1.999984706,-1.999993008,0.058237793,-0.013745432,0.137963527,-0.211534755,-0.006871628,-0.002240093
0.6,-2.142649153,-1.782490824,0.063687065,-0.018853136,-1.999970928,-1.999992685,0.063438597,-0.020895266,0.142678225,-0.21750186,-0.000248468,-0.002042129
0.63,-2.146207555,-1.778054369,0.065276291,-0.025666215,-1.999948455,-2.000028224,0.06813381,-0.026867355,0.1462591,-0.221973855,0.00285752,-0.00120114
0.66,-2.149803944,-1.773638959,0.069461894,-0.032501215,-1.999905357,-2.000126305,0.073371609,-0.033206197,0.149898588,-0.226487346,0.003909715,-0.000704982
0.7,-2.154648391,-1.767780709,0.079686322,-0.044337947,-1.999798563,-2.000446675,0.081290339,-0.04223657,0.154849828,-0.232665965,0.001604017,0.002101377
0.73,-2.158307111,-1.763407093,0.083984667,-0.050453456,-1.99969055,-2.000871268,0.087872085,-0.049347875,0.158616562,-0.237464175,0.003887419,0.001105581
0.76,-2.161991594,-1.759058251,0.09003802,-0.058093456,-1.99957041,-2.001437145,0.094886975,-0.056640055,0.162421183,-0.242378894,0.004848955,0.0014534
0.8,-2.166947942,-1.753307014,0.100881541,-0.067170245,-1.99938381,-2.002435725,0.104988511,-0.066638671,0.167564132,-0.249128711,0.00410697,0.000531574
0.83,-2.170707514,-1.749029836,0.109361847,-0.0781061,-1.999212688,-2.003344728,0.113087335,-0.074330264,0.171494826,-0.254314892,0.003725489,0.003775835
0.86,-2.174517056,-1.744792707,0.116953624,-0.0862686,-1.999018182,-2.004354325,0.121539238,-0.082135839,0.175498874,-0.259561618,0.004585614,0.004132761
0.9,-2.1796685,-1.739184345,0.126417414,-0.097037888,-1.998727526,-2.005858971,0.133418843,-0.092691776,0.180940974,-0.266674626,0.007001429,0.004346112
0.93,-2.183570697,-1.734995942,0.143149085,-0.103010335,-1.99848765,-2.007088319,0.142752513,-0.100694572,0.185083047,-0.272092377,-0.000396572,0.002315763
0.96,-2.187497949,-1.730833624,0.152308785,-0.111160335,-1.998224284,-2.008382846,0.152378578,-0.108757789,0.189273665,-0.277549221,6.9793e-05,0.002402546
1.0,-2.072945229,-1.992253589,0.169711522,-0.123099589,-1.997820507,-2.010217582,0.165714515,-0.119607748,0.075124722,-0.017963993,-0.003997007,0.003491841
1.03,-2.074379466,-1.993814829,0.175150703,-0.132125626,-1.997484573,-2.011666468,0.176068881,-0.12779575,0.076894893,-0.01785164,0.000918178,0.004329876
1.06,-2.07586096,-1.995395808,0.185111154,-0.140730626,-1.9971299,-2.013163063,0.186671978,-0.136013377,0.07873106,-0.017767255,0.001560823,0.004717249
1.1,-2.077883392,-1.997567557,0.201866393,-0.150423351,-1.99661917,-2.015225717,0.201247723,-0.147018365,0.081264223,-0.01765816,-0.000618671,0.003404986
