time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999982374,-2.000004295,0.066847701,-0.030706612,-2.0,-2.0,0.050029904,-0.0,-1.7626e-05,4.295e-06,-0.016817797,0.030706612
0.04,-1.999912128,-2.000046704,0.058348019,-0.025630272,-2.0,-2.0,0.050059808,-0.0,-8.7872e-05,4.6704e-05,-0.008288211,0.025630272
0.07,-1.999782738,-2.000140698,0.058498125,-0.025335272,-2.0,-2.0,0.050089742,-0.0,-0.000217262,0.000140698,-0.008408383,0.025335272
0.11,-1.999521574,-2.00032591,0.063091408,-0.007814342,-2.0,-2.0,0.050129732,-0.0,-0.000478426,0.00032591,-0.012961676,0.007814342
0.14,-1.999244254,-2.000498849,0.05888446,-0.004558956,-2.0,-2.0,0.050159731,-7.6884e-05,-0.000755746,0.000498849,-0.008724729,0.004482072
0.17,-1.998919912,-2.000715799,0.05902326,-0.005338956,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.001080087,0.0007158,-0.008629112,0.004411497
0.21,-1.998427335,-2.001059836,0.066384729,0.000622979,-1.999998683,-1.999999616,0.051923651,-0.004080179,-0.001571348,0.00106022,-0.014461078,-0.004703158
0.24,-1.997983274,-2.001361774,0.0567482,0.000589733,-1.99999441,-1.999998217,0.054040267,-0.007670048,-0.002011135,0.001363556,-0.002707933,-0.008259782
0.27,-1.997474201,-2.001696947,0.059013785,-0.003740267,-1.999987617,-1.999995584,0.056833565,-0.011994317,-0.002513416,0.001701362,-0.00218022,-0.008254051
0.31,-1.996696797,-2.002202532,0.064876582,-0.015199118,-1.999976261,-1.999989337,0.061728107,-0.018869209,-0.003279463,0.002213195,-0.003148476,-0.003670091
0.34,-1.996057967,-2.002620771,0.077773459,-0.017286818,-1.999966162,-1.999982155,0.066211633,-0.024689198,-0.003908195,0.002638616,-0.011561825,-0.00740238
0.37,-1.995378883,-2.003067466,0.082690886,-0.023336818,-1.999953536,-1.999973036,0.071246156,-0.030904407,-0.004574653,0.003094431,-0.01144473,-0.007567589
0.41,-1.99437636,-2.003727476,0.0947093,-0.036569671,-1.999931175,-1.999957766,0.07890105,-0.039786179,-0.005554815,0.00376971,-0.01580825,-0.003216507
0.44,-1.993552144,-2.004259792,0.095374198,-0.041698177,-1.99991193,-1.999944415,0.085295225,-0.046803013,-0.006359786,0.004315377,-0.010078973,-0.005104837
0.47,-1.992670377,-2.004833995,0.101866554,-0.049278177,-1.999891631,-1.999929679,0.092132932,-0.0540315,-0.007221254,0.004904316,-0.009733622,-0.004753323
0.51,-1.727470631,-1.927350021,0.107084863,-0.059331254,-1.999861075,-1.999907217,0.102010243,-0.063988029,-0.272390444,-0.072557196,-0.00507462,-0.004656774
0.54,-1.720987936,-1.926374691,0.109986188,-0.071079644,-1.999834504,-1.999888291,0.109946775,-0.071645029,-0.278846569,-0.0735136,-3.9414e-05,-0.000565385
0.57,-1.714448947,-1.925451858,0.117230007,-0.078684644,-1.999806085,-1.99986794,0.11824593,-0.079410784,-0.285357138,-0.074416082,0.001015923,-0.000726141
0.61,-1.705666154,-1.924270403,0.122955472,-0.087168786,-1.99977208,-1.99984291,0.129939055,-0.089933341,-0.294105926,-0.075572507,0.006983583,-0.002764555
0.64,-1.69901022,-1.923435478,0.134146856,-0.095166475,-1.999764765,-1.999842388,0.139145481,-0.09792574,-0.300754544,-0.07640691,0.004998625,-0.002759265
0.67,-1.692298101,-1.922630439,0.142398306,-0.103008975,-1.999781363,-1.999874066,0.148653379,-0.10597524,-0.307483262,-0.077243627,0.006255073,-0.002966265
0.71,-1.683264877,-1.921607298,0.14512081,-0.113182752,-1.999853615,-2.000015094,0.161853712,-0.116793927,-0.316588738,-0.078407797,0.016732902,-0.003611174
0.74,-1.676424651,-1.920883134,0.154315781,-0.12159785,-1.999941008,-2.000218589,0.172115846,-0.124967374,-0.323516357,-0.079335454,0.017800065,-0.003369524
0.77,-1.669537399,-1.920200904,0.162870687,-0.12975535,-2.000053108,-2.000497913,0.182621995,-0.133183753,-0.330515709,-0.08029701,0.019751308,-0.003428403
0.81,-1.660256203,-1.919394396,0.182330671,-0.137888918,-2.000262167,-2.001001384,0.197054102,-0.144188279,-0.340005964,-0.081606988,0.014723431,-0.006299361
0.84,-1.653248442,-1.918838498,0.19785478,-0.146260422,-2.000470851,-2.00146433,0.208172571,-0.152458933,-0.34722241,-0.082625832,0.010317791,-0.006198511
0.87,-1.64618881,-1.918322044,0.20806408,-0.154462922,-2.000713102,-2.001981154,0.219493858,-0.160745615,-0.354524293,-0.08365911,0.011429778,-0.006282693
0.91,-1.636696498,-1.917691675,0.216703281,-0.164782433,-2.001089196,-2.002756285,0.234937078,-0.171830109,-0.364392698,-0.08506461,0.018233797,-0.007047676
0.94,-1.629519225,-1.917281317,0.229550219,-0.171883748,-2.001417017,-2.003391818,0.246762836,-0.180159758,-0.371897792,-0.086110501,0.017212618,-0.00827601
0.97,-1.622300758,-1.916920394,0.24009932,-0.180051248,-2.001785388,-2.004060965,0.25875587,-0.188494115,-0.379484631,-0.087140571,0.01865655,-0.008442867
1.01,-1.56067242,-2.039027601,0.263936617,-0.192183906,-2.002350435,-2.005008352,0.275032247,-0.199616262,-0.441678015,0.034019249,0.01109563,-0.007432355
1.04,-1.551982335,-2.041113835,0.28267067,-0.199994614,-2.002821604,-2.005757233,0.28744226,-0.207970518,-0.450839268,0.035356602,0.00477159,-0.007975904
1.07,-1.543225366,-2.043245408,0.294763206,-0.208112114,-2.003327532,-2.006531447,0.299990425,-0.216329645,-0.460102166,0.03671396,0.005227219,-0.008217531
1.11,-1.531477593,-2.04615546,0.307962548,-0.217033435,-2.004081022,-2.00759759,0.316964713,-0.227476305,-0.472603429,0.03855787,0.009002165,-0.01044287
