time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.000029282,-1.999980147,0.071714966,-0.0373284,-2.0,-2.0,0.050029904,-0.0,2.9282e-05,-1.9853e-05,-0.021685063,0.0373284
0.04,-2.000089811,-1.999917398,0.044673762,-0.017264824,-2.0,-2.0,0.050059808,-0.0,8.9811e-05,-8.2602e-05,0.005386045,0.017264824
0.07,-2.000190248,-1.999801962,0.044411406,-0.017157324,-2.0,-2.0,0.050089742,-0.0,0.000190248,-0.000198038,0.005678336,0.017157324
0.11,-2.000399797,-1.999580092,0.038136933,-0.021838126,-2.0,-2.0,0.050129732,-0.0,0.000399797,-0.000419908,0.011992798,0.021838126
0.14,-2.000608966,-1.999362722,0.046093333,-0.00735117,-2.0,-2.0,0.050159731,-7.6884e-05,0.000608966,-0.000637278,0.004066399,0.007274286
0.17,-2.000853301,-1.999086181,0.045887084,-0.00838867,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000853302,-0.000913819,0.004507064,0.007461212
0.21,-2.00123723,-1.998644265,0.051120898,-0.002288139,-1.999998653,-1.999999647,0.05192365,-0.004080178,0.001238577,-0.001355382,0.000802752,-0.001792039
0.24,-2.001588589,-1.998249055,0.053126075,-0.010061756,-1.999994253,-1.999998405,0.054040266,-0.007670049,0.001594336,-0.00174935,0.000914191,0.002391708
0.27,-2.002002284,-1.997807284,0.05548197,-0.014599256,-1.999987196,-1.99999616,0.056833563,-0.011994325,0.002015087,-0.002188876,0.001351593,0.002604932
0.31,-2.002613104,-1.997147217,0.057430475,-0.023003085,-1.99997516,-1.999991219,0.061728104,-0.018869219,0.002637944,-0.002844002,0.004297629,0.004133865
0.34,-2.003122111,-1.996589142,0.064806683,-0.031468973,-1.99996424,-1.999985975,0.06621163,-0.024689192,0.003157871,-0.003396833,0.001404947,0.006779781
0.37,-2.003686213,-1.995976096,0.069347849,-0.037646473,-1.999950496,-1.99997976,0.071246152,-0.03090439,0.003735717,-0.004003664,0.001898303,0.006742083
0.41,-2.004505371,-1.995077748,0.077499248,-0.044131134,-1.999925904,-1.999970708,0.078901046,-0.039786194,0.004579466,-0.00489296,0.001401798,0.004344939
0.44,-2.005166797,-1.99434906,0.088639671,-0.045676885,-1.999904274,-1.999964333,0.085295221,-0.046803044,0.005262523,-0.005615273,-0.003344451,-0.001126159
0.47,-2.00587351,-1.99358776,0.095232081,-0.053129385,-1.999880974,-1.999958651,0.092132928,-0.054031505,0.005992535,-0.006370891,-0.003099153,-0.00090212
0.51,-1.948482132,-1.797491773,0.100225442,-0.063172548,-1.999845069,-1.999952866,0.102010238,-0.063987991,-0.051362937,-0.202461094,0.001784796,-0.000815443
0.54,-1.948125102,-1.792751238,0.09755967,-0.074432141,-1.999813261,-1.999950599,0.10994677,-0.071645623,-0.051688159,-0.207199361,0.0123871,0.002786519
0.57,-1.947820241,-1.787941717,0.1044949,-0.082084641,-1.999778592,-1.999950384,0.118249226,-0.079415541,-0.051958351,-0.212008667,0.013754326,0.0026691
0.61,-1.947489647,-1.781415798,0.118794362,-0.090053627,-1.999729154,-1.999964401,0.129957017,-0.089943723,-0.052239508,-0.218548603,0.011162656,0.000109904
0.64,-1.947285902,-1.776425939,0.133432271,-0.097098594,-1.999689819,-2.000019946,0.139175056,-0.097938459,-0.052403917,-0.223594006,0.005742786,-0.000839865
0.67,-1.947100821,-1.77135092,0.142204332,-0.105028594,-1.99964877,-2.000146066,0.148699426,-0.105993692,-0.052547949,-0.228795146,0.006495094,-0.000965098
0.71,-1.946892737,-1.764463537,0.151326257,-0.114601233,-1.99959625,-2.000518924,0.161935773,-0.116832541,-0.052703513,-0.236055387,0.010609517,-0.002231307
0.74,-1.946768535,-1.75921464,0.156258078,-0.125798788,-1.999567754,-2.000993435,0.172221772,-0.125018211,-0.052799219,-0.241778795,0.015963694,0.000780577
0.77,-1.946688643,-1.753906793,0.165334499,-0.133896288,-1.999551647,-2.001617217,0.182749152,-0.133228197,-0.052863004,-0.247710424,0.017414654,0.000668092
0.81,-1.946643423,-1.746752624,0.183420194,-0.145600578,-1.999551103,-2.002709572,0.197203164,-0.144212599,-0.05290768,-0.255956948,0.01378297,0.001387979
0.84,-1.946649791,-1.741342203,0.200108214,-0.153011286,-1.99956151,-2.003701994,0.208334054,-0.152485864,-0.052911719,-0.262359792,0.00822584,0.000525423
0.87,-1.9466837,-1.735878761,0.210703497,-0.161373786,-1.999579035,-2.004804001,0.219661359,-0.16077999,-0.052895335,-0.26892524,0.008957862,0.000593796
0.91,-1.946783107,-1.728518792,0.237369528,-0.172862614,-1.999617763,-2.006447402,0.235101545,-0.171860033,-0.052834657,-0.277928611,-0.002267982,0.001002581
0.94,-1.94691561,-1.722924115,0.242725486,-0.180265219,-1.999656978,-2.00779275,0.246916198,-0.180182763,-0.052741368,-0.284868635,0.004190712,8.2456e-05
0.97,-1.947100123,-1.717267245,0.254204179,-0.188532719,-1.999700172,-2.009212238,0.258892328,-0.188517647,-0.05260005,-0.291944993,0.004688149,1.5072e-05
1.01,-1.858003632,-1.815356919,0.283968155,-0.200665764,-1.999761757,-2.011229858,0.275138304,-0.199650746,-0.141758125,-0.195872939,-0.008829851,0.001015019
1.04,-1.856887659,-1.811147806,0.290780446,-0.210321798,-1.999813493,-2.012827758,0.287518104,-0.208008524,-0.142925834,-0.201679952,-0.003262341,0.002313274
1.07,-1.85580023,-1.806877954,0.303179785,-0.218834298,-1.999870964,-2.014481799,0.300033498,-0.216371773,-0.144070734,-0.207603846,-0.003146287,0.002462524
1.11,-1.854401956,-1.801087339,0.316315703,-0.230616867,-1.999956753,-2.016777723,0.316957498,-0.227534668,-0.145554797,-0.215690384,0.000641795,0.003082199
1.14,-1.853412166,-1.79667596,0.329367855,-0.237970239,-2.000029583,-2.018546847,0.329813495,-0.23591406,-0.146617417,-0.221870887,0.00044564,0.002056179
1.17,-1.852451346,-1.792206691,0.34187324,-0.246190239,-2.000111977,-2.020330978,0.342784246,-0.244297022,-0.14766063,-0.228124288,0.000911006,0.001893217
1.21,-1.851221279,-1.78613926,0.357018893,-0.257268823,-2.000238405,-2.022702798,0.360280256,-0.2554754,-0.149017126,-0.236563538,0.003261363,0.001793423
1.24,-1.850324799,-1.781495132,0.372425994,-0.266445684,-2.000334989,-2.024459318,0.373543794,-0.263862481,-0.15001019,-0.242964186,0.0011178,0.002583203
