time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.000009114,-2.000020092,0.065703053,0.050765085,-2.0,-2.0,0.050029904,-0.0,9.114e-06,2.0092e-05,-0.01567315,-0.050765085
0.04,-2.000037654,-2.000095116,0.05976111,0.025148231,-2.0,-2.0,0.050059808,-0.0,3.7654e-05,9.5116e-05,-0.009701303,-0.025148231
0.07,-2.000104563,-2.000219736,0.060186785,0.024713231,-2.0,-2.0,0.050089742,-0.0,0.000104563,0.000219736,-0.010097043,-0.024713231
0.11,-2.000244357,-2.000464549,0.047433868,0.006900644,-2.0,-2.0,0.050129732,-0.0,0.000244357,0.000464549,0.002695863,-0.006900644
0.14,-2.000394729,-2.000697958,0.050822929,-0.006439494,-2.0,-2.0,0.050159731,-7.6884e-05,0.000394729,0.000697958,-0.000663197,0.00636261
0.17,-2.00058106,-2.00098678,0.051287007,-0.007694494,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000581061,0.000986781,-0.000892859,0.006767036
0.21,-2.000866849,-2.001436121,0.042911213,-0.008023355,-1.999998673,-1.99999961,0.051923652,-0.004080179,0.000868176,0.001436511,0.009012439,0.003943176
0.24,-2.00111745,-2.001835239,0.048110984,-0.005220904,-1.99999435,-1.999998181,0.054040268,-0.007670049,0.0011231,0.001837059,0.005929284,-0.002449145
0.27,-2.001377853,-2.002283539,0.051050034,-0.010298404,-1.999987442,-1.999995469,0.056833566,-0.011994318,0.001390411,0.00228807,0.005783531,-0.001695914
0.31,-2.001752701,-2.002956481,0.051665862,-0.01324258,-1.999975752,-1.999988943,0.061728108,-0.01886921,0.001776949,0.002967538,0.010062246,-0.00562663
0.34,-2.00207708,-2.00351337,0.060660294,-0.016469132,-1.999965227,-1.999981305,0.066211634,-0.024689206,0.002111853,0.003532064,0.00555134,-0.008220074
0.37,-2.002442871,-2.004110852,0.066034051,-0.023034132,-1.99995201,-1.999971447,0.071246157,-0.030904421,0.002490861,0.004139405,0.005212106,-0.007870289
0.41,-2.00299466,-2.004965542,0.072948937,-0.033887018,-1.999928436,-1.999954465,0.07890105,-0.039786188,0.003066224,0.005011076,0.005952113,-0.00589917
0.44,-2.003452403,-2.005651085,0.069680383,-0.041876409,-1.999907842,-1.99993913,0.085295224,-0.04680302,0.003544561,0.005711956,0.015614841,-0.004926611
0.47,-2.003946179,-2.006397945,0.076329072,-0.049616409,-1.999885785,-1.999921814,0.09213293,-0.054031519,0.004060394,0.00647613,0.015803858,-0.004415109
0.51,-2.026591176,-2.024874934,0.09122361,-0.062010989,-1.999851956,-1.999894684,0.102010237,-0.063988066,0.026739221,0.02498025,0.010786628,-0.001977077
0.54,-2.027600564,-2.026059841,0.097652497,-0.06606004,-1.99982207,-1.999871214,0.109946765,-0.071645621,0.027778494,0.026188627,0.012294268,-0.005585581
0.57,-2.028642819,-2.027287437,0.106145964,-0.07407254,-1.999789589,-1.999845485,0.118243694,-0.079415586,0.028853231,0.027441952,0.01209773,-0.005343047
0.61,-2.030069364,-2.028996332,0.118637058,-0.089621531,-1.999742756,-1.999805816,0.129926193,-0.08994574,0.030326608,0.029190516,0.011289135,-0.000324209
0.64,-2.031184214,-2.030332765,0.129406788,-0.098016773,-1.9997031,-1.999768478,0.139119932,-0.097944355,0.031481113,0.030564287,0.009713144,7.2418e-05
0.67,-2.032336592,-2.031712007,0.139439504,-0.106444273,-1.999658239,-1.99972188,0.148608844,-0.106002693,0.032678353,0.031990127,0.00916934,0.00044158
0.71,-2.033953622,-2.033609928,0.155608322,-0.11685868,-1.999588661,-1.999635063,0.161768189,-0.116837201,0.034364961,0.033974864,0.006159867,2.1479e-05
0.74,-2.035217063,-2.035076834,0.166638455,-0.12648718,-1.999531109,-1.999546597,0.171991813,-0.125017415,0.035685953,0.035530237,0.005353358,0.001469765
0.77,-2.036513762,-2.036589952,0.177931342,-0.13538718,-1.999469801,-1.999439905,0.182457026,-0.133230437,0.037043961,0.037150047,0.004525684,0.002156743
0.81,-2.03829954,-2.038660838,0.190816864,-0.146705605,-1.999377813,-1.999265232,0.196826875,-0.144229251,0.038921727,0.039395606,0.006010011,0.002476353
0.84,-2.039696178,-2.0402512,0.204233571,-0.154690927,-1.99929928,-1.999112107,0.207894985,-0.152506294,0.040396899,0.041139094,0.003661414,0.002184632
0.87,-2.041143013,-2.041869986,0.216411753,-0.163150927,-1.999214936,-1.998944203,0.219162215,-0.160799869,0.041928077,0.042925783,0.002750462,0.002351058
0.91,-2.043130654,-2.044089484,0.231119068,-0.173271948,-1.999095011,-1.998694727,0.234528293,-0.171884425,0.044035643,0.045394757,0.003409226,0.001387522
0.94,-2.044671389,-2.045786252,0.246816177,-0.182368888,-1.998998931,-1.998489558,0.246292424,-0.180213263,0.045672458,0.047296694,-0.000523753,0.002155625
0.97,-2.046247516,-2.04752231,0.259873438,-0.191101388,-1.998896425,-1.998272014,0.25822071,-0.188550898,0.047351091,0.049250297,-0.001652728,0.00255049
1.01,-2.029215605,-1.927441385,0.271980167,-0.201550382,-1.998746953,-1.997960069,0.27440744,-0.199680849,0.030468653,-0.070518684,0.002427273,0.001869533
1.04,-2.030587532,-1.927417673,0.287044371,-0.209604882,-1.998627628,-1.997709716,0.286745509,-0.208036718,0.031959904,-0.070292043,-0.000298862,0.001568164
1.07,-2.031986599,-1.927415809,0.300526592,-0.218354882,-1.998504184,-1.997447395,0.299222977,-0.216398103,0.033482415,-0.070031586,-0.001303615,0.001956779
1.11,-2.033924243,-1.927474763,0.319941527,-0.229138166,-1.998329627,-1.997082557,0.316107341,-0.227553347,0.035594616,-0.069607794,-0.003834187,0.001584819
1.14,-2.035429635,-1.927557047,0.336493033,-0.23874016,-1.99818935,-1.996819604,0.328939545,-0.235924859,0.037240284,-0.069262558,-0.007553488,0.002815301
1.17,-2.036963673,-1.927666386,0.350838469,-0.24738766,-1.998045113,-1.99658742,0.34189165,-0.244298883,0.03891856,-0.068921034,-0.008946818,0.003088777
