time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000024741,-2.000020777,0.050052750,0.012415420,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000024741,0.000020777,-0.000022846,-0.012415420
0.030000000,-2.000095587,-2.000089981,0.038018728,0.001576223,-2.000000000,-2.000000000,0.050059808,-0.000000000,0.000095587,0.000089981,0.012041080,-0.001576223
0.060000000,-2.000214935,-2.000216414,0.037829903,0.001563723,-2.000000000,-2.000000000,0.050089742,-0.000000000,0.000214935,0.000216414,0.012259838,-0.001563723
0.100000000,-2.000453477,-2.000470427,0.048795118,-0.000027929,-2.000000000,-2.000000000,0.050129732,-0.000000000,0.000453477,0.000470427,0.001334613,0.000027929
0.130000000,-2.000684724,-2.000738707,0.059193359,0.001688164,-2.000000000,-2.000000000,0.050159731,-0.000076884,0.000684724,0.000738707,-0.009033627,-0.001765048
0.160000000,-2.000959375,-2.001068053,0.059901389,0.000930664,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000959376,0.001068053,-0.009507240,-0.001858123
0.200000000,-2.001396994,-2.001598117,0.058332480,-0.005789382,-1.999998670,-1.999999609,0.051923652,-0.004080179,0.001398324,0.001598507,-0.006408828,0.001709203
0.230000000,-2.001784448,-2.002057383,0.056303104,-0.008705835,-1.999994334,-1.999998175,0.054040268,-0.007670049,0.001790115,0.002059208,-0.002262836,0.001035786
0.260000000,-2.002210042,-2.002563101,0.059388007,-0.012903335,-1.999987394,-1.999995449,0.056833566,-0.011994318,0.002222648,0.002567652,-0.002554441,0.000909017
0.300000000,-2.002838283,-2.003292772,0.057576086,-0.020997511,-1.999975616,-1.999988867,0.061728108,-0.018869210,0.002862667,0.003303905,0.004152022,0.002128301
0.330000000,-2.003356092,-2.003886205,0.064036053,-0.027660529,-1.999964989,-1.999981132,0.066211634,-0.024689207,0.003391103,0.003905073,0.002175582,0.002971321
0.360000000,-2.003913963,-2.004528346,0.069348906,-0.033655529,-1.999951633,-1.999971115,0.071246157,-0.030904424,0.003962329,0.004557232,0.001897251,0.002751105
0.400000000,-2.004725921,-2.005462622,0.072234495,-0.038542311,-1.999927782,-1.999953749,0.078901050,-0.039786189,0.004798139,0.005508873,0.006666555,-0.001243878
0.430000000,-2.005378777,-2.006226632,0.080786420,-0.046713449,-1.999906882,-1.999937941,0.085295223,-0.046803021,0.005471895,0.006288690,0.004508803,-0.000089572
