time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000032198,-1.999970962,0.034911502,-0.017208834,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000032198,-0.000029038,0.015118401,0.017208834
0.040000000,-2.000116924,-1.999885555,0.032967730,-0.005849388,-2.000000000,-2.000000000,0.050059808,-0.000000000,0.000116924,-0.000114445,0.017092078,0.005849388
0.070000000,-2.000247727,-1.999752745,0.032320450,-0.005741888,-2.000000000,-2.000000000,0.050089742,-0.000000000,0.000247727,-0.000247255,0.017769292,0.005741888
0.110000000,-2.000520506,-1.999516957,0.029604866,-0.007662436,-2.000000000,-2.000000000,0.050129732,-0.000000000,0.000520506,-0.000483043,0.020524866,0.007662436
0.140000000,-2.000791675,-1.999294171,0.037146472,-0.009358318,-2.000000000,-2.000000000,0.050159731,-0.000076884,0.000791675,-0.000705829,0.013013259,0.009281434
0.170000000,-2.001101460,-1.999028541,0.036627888,-0.010140818,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.001101461,-0.000971458,0.013766260,0.009213360
0.210000000,-2.001589852,-1.998608360,0.050879051,-0.012355031,-1.999998650,-1.999999649,0.051923650,-0.004080178,0.001591202,-0.001391289,0.001044600,0.008274853
0.240000000,-2.002021261,-1.998238401,0.055068893,-0.015285630,-1.999994238,-1.999998416,0.054040266,-0.007670049,0.002027023,-0.001760015,-0.001028627,0.007615582
0.270000000,-2.002506042,-1.997826144,0.057477743,-0.019685630,-1.999987153,-1.999996194,0.056833562,-0.011994325,0.002518889,-0.002170050,-0.000644181,0.007691305
0.310000000,-2.003214467,-1.997187623,0.064034889,-0.029440970,-1.999975043,-1.999991317,0.061728104,-0.018869220,0.003239423,-0.002803694,-0.002306786,0.010571750
0.340000000,-2.003796692,-1.996655450,0.066176568,-0.037219939,-1.999964034,-1.999986144,0.066211629,-0.024689193,0.003832658,-0.003330694,0.000035061,0.012530746
0.370000000,-2.004420029,-1.996070042,0.070671886,-0.043569939,-1.999950168,-1.999980007,0.071246152,-0.030904391,0.004469861,-0.003909965,0.000574266,0.012665548
0.410000000,-2.005307847,-1.995227022,0.077268029,-0.053043023,-1.999925344,-1.999971040,0.078901045,-0.039786194,0.005382503,-0.004744018,0.001633017,0.013256828
0.440000000,-2.006022334,-1.994542654,0.084874496,-0.055314674,-1.999903478,-1.999964683,0.085295220,-0.046803044,0.006118856,-0.005422029,0.000420724,0.008511630
0.470000000,-2.006768453,-1.993800932,0.091037740,-0.062539674,-1.999879893,-1.999958965,0.092132927,-0.054031505,0.006888561,-0.006158033,0.001095187,0.008508168
0.510000000,-1.988702452,-2.251997107,0.096220657,-0.069970441,-1.999843498,-1.999952992,0.102010237,-0.063987993,-0.011141045,0.252044115,0.005789581,0.005982449
0.540000000,-1.989150382,-2.256232530,0.100467765,-0.079356677,-1.999811230,-1.999950442,0.109946769,-0.071645596,-0.010660848,0.256282088,0.009479004,0.007711081
0.570000000,-1.989631351,-2.260421951,0.107461750,-0.086981677,-1.999775996,-1.999949839,0.118251289,-0.079414710,-0.010144645,0.260472112,0.010789539,0.007566966
0.610000000,-1.990350810,-2.265928436,0.117122613,-0.096881438,-1.999726970,-1.999940739,0.129969565,-0.089937754,-0.009376161,0.265987696,0.012846951,0.006943684
0.640000000,-1.990936748,-2.270009749,0.127683724,-0.103031815,-1.999693347,-1.999884806,0.139198507,-0.097925139,-0.008756599,0.270124944,0.011514783,0.005106676
0.670000000,-1.991564641,-2.274058912,0.135893496,-0.110819315,-1.999664133,-1.999745556,0.148737874,-0.105973562,-0.008099492,0.274313356,0.012844377,0.004845753
0.710000000,-1.992440190,-2.279392275,0.153463359,-0.123273609,-1.999627720,-1.999312952,0.162003005,-0.116812617,-0.007187530,0.280079323,0.008539646,0.006460992
0.740000000,-1.993136133,-2.283334760,0.161194887,-0.130390923,-1.999589905,-1.998752587,0.172312946,-0.124999376,-0.006453772,0.284582172,0.011118059,0.005391546
