time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999976267,-2.000021927,0.070691783,0.033240075,-2.0,-2.0,0.050029904,-0.0,-2.3733e-05,2.1927e-05,-0.020661879,-0.033240075
0.03,-1.999904556,-2.000097434,0.052082795,0.015884858,-2.0,-2.0,0.050069776,-0.0,-9.5444e-05,9.7434e-05,-0.002013019,-0.015884858
0.06,-1.999785083,-2.000220762,0.052057702,0.016399858,-2.0,-2.0,0.050099738,-0.0,-0.000214917,0.000220762,-0.001957964,-0.016399858
0.1,-1.999546242,-2.00044713,0.056919017,0.01786215,-2.0,-2.0,0.050139732,-0.0,-0.000453758,0.00044713,-0.006779286,-0.01786215
0.13,-1.999315735,-2.000673071,0.052906858,0.015532301,-2.0,-2.0,0.050169731,-0.000153768,-0.000684265,0.000673071,-0.002737126,-0.015686069
0.16,-1.999043565,-2.000939609,0.052916865,0.014969801,-1.999999871,-1.999999962,0.050686455,-0.001591795,-0.000956307,0.000939646,-0.00223041,-0.016561596
0.2,-1.99858462,-2.001353222,0.052361623,0.012587346,-1.999997498,-1.999999235,0.052571904,-0.005211882,-0.001412879,0.001353987,0.000210281,-0.017799227
0.23,-1.998172693,-2.00172879,0.054519264,0.00782492,-1.999992518,-1.999997519,0.054860379,-0.008996512,-0.001819825,0.001731271,0.000341115,-0.016821432
0.26,-1.997711943,-2.00216844,0.056916804,0.00366242,-1.999984881,-1.999994101,0.057980375,-0.01364569,-0.002272937,0.002174338,0.001063571,-0.017308109
0.3,-1.997020869,-2.002832031,0.059613179,-0.005922044,-1.999973096,-1.999986717,0.063175688,-0.020774213,-0.002952227,0.002845314,0.003562509,-0.014852169
0.33,-1.996457183,-2.003384434,0.06137363,-0.014629821,-1.999962512,-1.999978677,0.067799999,-0.02669918,-0.003505329,0.003405757,0.006426369,-0.012069359
0.36,-1.995848108,-2.003983926,0.06575378,-0.020657321,-1.9999484,-1.999968016,0.073098165,-0.033088775,-0.004100292,0.004015911,0.007344385,-0.012431454
0.4,-1.994957561,-2.004885317,0.074214732,-0.034154199,-1.999925099,-1.999950711,0.080994694,-0.042106382,-0.004967538,0.004934606,0.006779962,-0.007952183
0.43,-1.994222918,-2.005604819,0.084106969,-0.047516783,-1.999905711,-1.999935594,0.087502111,-0.049179428,-0.005682793,0.005669225,0.003395142,-0.001662645
0.46,-1.993434205,-2.006372809,0.090534638,-0.054469283,-1.999884782,-1.999918164,0.094552378,-0.056501317,-0.006450577,0.006454645,0.00401774,-0.002032034
0.5,-2.098362693,-1.905455192,0.106387355,-0.068205808,-1.999853006,-1.999891552,0.104625145,-0.066530572,0.098509687,-0.09443636,-0.00176221,0.001675236
