time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999997076,-1.999977290,0.054775255,0.058659633,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000002924,-0.000022710,-0.004745351,-0.058659633
0.060000000,-1.999976749,-1.999900873,0.071489666,0.023470910,-2.000000000,-2.000000000,0.050099738,-0.000000000,-0.000023251,-0.000099127,-0.021389928,-0.023470910
0.250000000,-1.999595587,-1.999454505,0.073223776,0.024520910,-2.000000000,-2.000000000,0.050289731,-0.000000000,-0.000404413,-0.000545495,-0.022934045,-0.024520910
0.290000000,-1.997977017,-1.998427538,0.078250731,0.025598282,-2.000000000,-2.000000000,0.050329731,-0.000000000,-0.002022983,-0.001572462,-0.027921000,-0.025598282
0.350000000,-1.997185089,-1.997881717,0.079175243,0.025388282,-2.000000000,-2.000000000,0.050389731,-0.000000000,-0.002814911,-0.002118283,-0.028785512,-0.025388282
0.360000000,-1.997056675,-1.997768826,0.065288954,0.028489379,-2.000000000,-2.000000000,0.050399731,-0.000083650,-0.002943325,-0.002231174,-0.014889223,-0.028573029
0.400000000,-1.996475224,-1.997263878,0.063734557,0.026401423,-1.999999870,-1.999999971,0.050928012,-0.001642961,-0.003524646,-0.002736093,-0.012806545,-0.028044384
0.430000000,-1.995974670,-1.996842105,0.051250238,0.019927831,-1.999998676,-1.999999720,0.052166860,-0.004163368,-0.004024006,-0.003157616,0.000916622,-0.024091199
0.460000000,-1.995427154,-1.996380851,0.050430265,0.016820331,-1.999994408,-1.999998862,0.054284942,-0.007779338,-0.004567254,-0.003618010,0.003854677,-0.024599669
0.500000000,-2.019299653,-2.043122031,0.050904340,0.008768699,-1.999984895,-1.999996922,0.058226663,-0.013783389,0.019314758,0.043125109,0.007322324,-0.022552088
0.530000000,-2.019139235,-2.043467619,0.049062016,0.000252300,-1.999976283,-1.999995038,0.061975318,-0.019024180,0.019162952,0.043472581,0.012913301,-0.019276480
