time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999974431,-1.999985423,0.036679891,-0.009803862,-2.0,-2.0,0.05029904,-0.0,-2.5569e-05,-1.4577e-05,0.013619149,0.009803862
0.04,-1.996422861,-1.997388528,0.071685754,-0.013927668,-2.0,-2.0,0.050338945,-0.0,-0.003577139,-0.002611472,-0.02134681,0.013927668
0.07,-1.995765785,-1.996872869,0.053304762,-0.012837414,-2.0,-2.0,0.050368932,-0.0,-0.004234215,-0.003127131,-0.002935829,0.012837414
0.1,-1.995075406,-1.996315398,0.053540021,-0.012994914,-2.000044603,-1.999929071,0.050894945,-0.000189898,-0.004969197,-0.003613674,-0.002645076,0.012805016
0.14,-1.9941924,-1.995310785,0.053981117,-0.008707229,-2.000174026,-1.999557818,0.053021263,-0.000742501,-0.005981626,-0.004247033,-0.000959854,0.007964728
0.17,-1.993529036,-1.994353198,0.055316073,-0.009612105,-2.000303634,-1.999041679,0.05564773,-0.001298916,-0.006774597,-0.004688481,0.000331658,0.008313189
0.2,-1.9928306,-1.993334195,0.058190403,-0.010447105,-2.00044167,-1.998266558,0.059176272,-0.002847315,-0.00761107,-0.004932363,0.000985869,0.00759979
0.24,-2.164900621,-1.794191555,0.0692114,-0.017980664,-2.000615315,-1.996752186,0.064943962,-0.006600591,0.164285306,-0.202560631,-0.004267439,0.011380073
0.27,-2.167484083,-1.789257803,0.069180912,-0.015732777,-2.000733761,-1.995206322,0.069984735,-0.010463891,0.166750322,-0.205948519,0.000803824,0.005268887
0.3,-2.170002289,-1.784277846,0.07437064,-0.020022777,-2.000837117,-1.993272348,0.075681018,-0.015203849,0.169165172,-0.208994502,0.001310378,0.004818928
0.34,-2.17329553,-1.777538,0.097434087,-0.027458458,-2.000933496,-1.990299295,0.084085408,-0.022439606,0.172362035,-0.212761295,-0.013348679,0.005018852
0.37,-2.175716118,-1.772402235,0.108820721,-0.031360059,-2.000950908,-1.987887999,0.090962789,-0.02838453,0.17476521,-0.215485764,-0.017857931,0.002975529
0.4,-2.17809224,-1.767203297,0.117490911,-0.037660059,-2.00089611,-1.98544164,0.098383554,-0.034760134,0.17719613,-0.218238343,-0.019107357,0.002899925
0.44,-2.181166093,-1.760183778,0.107565762,-0.044021643,-2.000738235,-1.982300722,0.108952192,-0.043769901,0.180427858,-0.222116944,0.001386431,0.000251742
0.47,-2.183407796,-1.754860948,0.117565107,-0.049012951,-2.000570055,-1.98010881,0.117345234,-0.050821265,0.182837741,-0.225247861,-0.000219873,-0.001808314
0.5,-2.185594894,-1.749500475,0.125904249,-0.056535451,-2.000352531,-1.978127047,0.126171653,-0.058093057,0.185242362,-0.228626572,0.000267403,-0.001557606
0.54,-2.188437118,-1.74229692,0.135203214,-0.067040643,-1.999981789,-1.975787943,0.138479909,-0.068084007,0.188455329,-0.233491023,0.003276695,-0.001043363
0.57,-2.190509005,-1.736839013,0.146458266,-0.074215336,-1.999643263,-1.974264059,0.148086514,-0.075773692,0.190865742,-0.237425046,0.001628248,-0.001558357
0.6,-2.192527727,-1.731356442,0.155862934,-0.081775336,-1.999257013,-1.972968559,0.158043939,-0.083581333,0.193270714,-0.241612117,0.002181005,-0.001805997
0.64,-2.195132085,-1.723996613,0.167505334,-0.092104302,-1.998683535,-1.971541522,0.171751749,-0.094095662,0.19644855,-0.24754491,0.004246415,-0.00199136
0.67,-2.197034331,-1.718440349,0.177897436,-0.0937622,-1.998199616,-1.970695218,0.182340696,-0.102077601,0.198834716,-0.252254869,0.00444326,-0.008315402
0.7,-2.19888246,-1.712845486,0.188067887,-0.1020772,-1.997654091,-1.970072039,0.193214191,-0.110165811,0.201228369,-0.257226552,0.005146304,-0.008088611
0.74,-1.99103097,-1.947524636,0.205536627,-0.109860773,-1.996857812,-1.969534981,0.208069349,-0.12102795,-0.005826842,-0.022010344,0.002532722,-0.011167177
0.77,-1.989364492,-1.945764361,0.217146514,-0.117969488,-1.996218575,-1.969348301,0.219462454,-0.129194567,-0.006854083,-0.02358394,0.00231594,-0.011225079
0.8,-1.987650382,-1.943973448,0.228274314,-0.126126988,-1.995532674,-1.96937184,0.231099428,-0.137413176,-0.007882291,-0.025398391,0.002825113,-0.011286188
0.84,-1.985290531,-1.941557239,0.243423972,-0.136520254,-1.994550648,-1.969654884,0.246920606,-0.148464325,-0.009260117,-0.028097645,0.003496634,-0.011944071
0.87,-1.983463682,-1.939727095,0.250457875,-0.145516965,-1.993779473,-1.970013454,0.259004841,-0.156777204,-0.010315792,-0.030286359,0.008546965,-0.011260239
0.9,-1.981587469,-1.937872017,0.261858907,-0.153934465,-1.992994619,-1.970450191,0.271307852,-0.165080625,-0.01140715,-0.032578174,0.009448944,-0.011146161
0.94,-1.979022431,-1.93536862,0.282774481,-0.163750339,-1.991912455,-1.971057438,0.287986611,-0.17617222,-0.012890024,-0.035688818,0.00521213,-0.012421881
0.97,-1.977063105,-1.933434485,0.291633409,-0.169926562,-1.991046637,-1.971503529,0.300691614,-0.184508,-0.013983531,-0.038069044,0.009058204,-0.014581438
1.0,-1.97505685,-1.931457134,0.303682985,-0.178399062,-1.990122692,-1.97192828,0.313569559,-0.192837706,-0.015065843,-0.040471147,0.009886574,-0.014438644
1.04,-1.972290966,-1.928763089,0.326203469,-0.190918982,-1.988852078,-1.972467366,0.330967103,-0.203957382,-0.016561112,-0.043704277,0.004763634,-0.0130384
1.07,-1.970158894,-1.926699689,0.346007828,-0.200822548,-1.987882088,-1.97286058,0.344167882,-0.212311044,-0.017723194,-0.046160891,-0.001839946,-0.011488497
1.1,-1.967979953,-1.924592444,0.359344202,-0.209110048,-1.98687727,-1.973260708,0.357519396,-0.220669912,-0.018897317,-0.048668265,-0.001824806,-0.011559864
1.14,-1.965001293,-1.921736153,0.376359338,-0.218433982,-1.985478671,-1.973821435,0.375498923,-0.231828076,-0.020477378,-0.052085282,-0.000860414,-0.013394094
1.17,-1.962693551,-1.919575758,0.390969163,-0.230016908,-1.984406185,-1.974264736,0.389114255,-0.240203968,-0.021712633,-0.054688978,-0.001854908,-0.010187059
1.2,-1.960332238,-1.917383655,0.404616779,-0.238231908,-1.983334232,-1.974730521,0.40284901,-0.248576107,-0.023001994,-0.057346866,-0.001767769,-0.010344199
1.24,-2.041135099,-1.920302213,0.423538107,-0.250215251,-1.981889478,-1.975390068,0.421312608,-0.259738742,0.059245621,-0.055087855,-0.002225499,-0.009523491
