time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999979528,-1.999983965,0.041769568,0.002165402,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000020472,-0.000016035,0.008260335,-0.002165402
0.030000000,-1.999906136,-1.999928071,0.068828166,0.000074817,-2.000000000,-2.000000000,0.050069776,-0.000000000,-0.000093864,-0.000071929,-0.018758390,-0.000074817
0.060000000,-1.999769273,-1.999826140,0.069269430,0.000452317,-2.000000000,-2.000000000,0.050099738,-0.000000000,-0.000230727,-0.000173860,-0.019169693,-0.000452317
0.100000000,-1.999498219,-1.999621733,0.071935640,0.013811507,-2.000000000,-2.000000000,0.050139732,-0.000000000,-0.000501781,-0.000378267,-0.021795909,-0.013811507
0.130000000,-1.999236189,-1.999416745,0.060252660,-0.005449035,-2.000000000,-2.000000000,0.050169731,-0.000153768,-0.000763811,-0.000583255,-0.010082929,0.005295267
0.160000000,-1.998940828,-1.999170517,0.060307645,-0.006246535,-1.999999870,-1.999999965,0.050686455,-0.001591795,-0.001059042,-0.000829448,-0.009621190,0.004654739
0.200000000,-1.998495930,-1.998767632,0.061867924,-0.005049010,-1.999997468,-1.999999312,0.052571902,-0.005211881,-0.001501538,-0.001231681,-0.009296021,-0.000162871
0.230000000,-1.998121802,-1.998402551,0.066423813,-0.008889669,-1.999992419,-1.999997826,0.054860377,-0.008996514,-0.001870616,-0.001595275,-0.011563436,-0.000106845
0.260000000,-1.997680662,-1.998005280,0.068957612,-0.013224669,-1.999984652,-1.999995058,0.057980372,-0.013645700,-0.002303990,-0.001989778,-0.010977240,-0.000421031
0.300000000,-1.996994171,-1.997405873,0.076785890,-0.017538910,-1.999972604,-1.999989562,0.063175684,-0.020774218,-0.002978433,-0.002583689,-0.013610206,-0.003235308
0.330000000,-1.996411445,-1.996897559,0.078599135,-0.020108643,-1.999961734,-1.999984059,0.067799994,-0.026699162,-0.003550289,-0.003086501,-0.010799141,-0.006590519
0.360000000,-1.995777023,-1.996339973,0.083235710,-0.026463643,-1.999947212,-1.999977548,0.073098161,-0.033088758,-0.004170189,-0.003637575,-0.010137549,-0.006625115
0.400000000,-1.994852542,-1.995513595,0.087815235,-0.037309305,-1.999923173,-1.999968669,0.080994691,-0.042106408,-0.005070631,-0.004455073,-0.006820544,-0.004797103
0.430000000,-1.994103894,-1.994843727,0.082897729,-0.047090957,-1.999903086,-1.999962554,0.087502109,-0.049179463,-0.005799192,-0.005118827,0.004604380,-0.002088506
