time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000021619,-1.999969682,0.038386022,0.020162749,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000021619,-0.000030318,0.011643882,-0.020162749
0.030000000,-2.000075331,-1.999894249,0.031465901,-0.003474977,-2.000000000,-2.000000000,0.050069776,-0.000000000,0.000075331,-0.000105751,0.018603875,0.003474977
0.060000000,-2.000169063,-1.999772119,0.030828590,-0.003319977,-2.000000000,-2.000000000,0.050099738,-0.000000000,0.000169063,-0.000227881,0.019271147,0.003319977
0.100000000,-2.000381479,-1.999544667,0.035468630,-0.017817804,-2.000000000,-2.000000000,0.050139732,-0.000000000,0.000381479,-0.000455333,0.014671101,0.017817804
0.130000000,-2.000589462,-1.999325899,0.032347846,-0.023346239,-2.000000000,-2.000000000,0.050169731,-0.000153768,0.000589462,-0.000674101,0.017821885,0.023192471
0.160000000,-2.000852709,-1.999072367,0.031765340,-0.024228739,-1.999999869,-1.999999965,0.050686455,-0.001591795,0.000852840,-0.000927598,0.018921115,0.022636944
0.200000000,-2.001252924,-1.998683443,0.040461463,-0.018445344,-1.999997433,-1.999999316,0.052571902,-0.005211881,0.001255490,-0.001315873,0.012110440,0.013233464
0.230000000,-2.001599558,-1.998361488,0.043460246,-0.018668715,-1.999992289,-1.999997838,0.054860377,-0.008996514,0.001607268,-0.001636350,0.011400131,0.009672201
0.260000000,-2.002004261,-1.998001965,0.045619085,-0.022738715,-1.999984294,-1.999995086,0.057980372,-0.013645701,0.002019967,-0.001993121,0.012361288,0.009093014
0.300000000,-2.002637521,-1.997464969,0.051454687,-0.034012065,-1.999971699,-1.999989613,0.063175684,-0.020774220,0.002665822,-0.002524643,0.011720997,0.013237845
0.330000000,-2.003162218,-1.997030138,0.058878427,-0.040294138,-1.999960185,-1.999984110,0.067799994,-0.026699166,0.003202033,-0.002953972,0.008921567,0.013594972
0.360000000,-2.003721111,-1.996549167,0.063412889,-0.046279138,-1.999944691,-1.999977535,0.073098160,-0.033088763,0.003776420,-0.003428368,0.009685271,0.013190376
0.400000000,-2.004544348,-1.995860816,0.073681671,-0.054129098,-1.999918766,-1.999968409,0.080994690,-0.042106409,0.004625582,-0.004107592,0.007313019,0.012022688
0.430000000,-2.005215275,-1.995315768,0.079651189,-0.060684513,-1.999896728,-1.999961919,0.087502107,-0.049179462,0.005318546,-0.004646151,0.007850918,0.011505051
0.460000000,-2.005933400,-1.994734845,0.086043454,-0.067962013,-1.999872343,-1.999956167,0.094552373,-0.056501309,0.006061056,-0.005221322,0.008508919,0.011460705
0.500000000,-1.893549123,-2.133772992,0.092651058,-0.073259697,-1.999834651,-1.999949968,0.104625140,-0.066530547,-0.106285528,0.133823024,0.011974083,0.006729150
0.530000000,-1.892157690,-2.135849624,0.103881850,-0.078539647,-1.999802020,-1.999946940,0.112653496,-0.074218295,-0.107644330,0.135902684,0.008771646,0.004321352
0.560000000,-1.890809408,-2.137878253,0.111742924,-0.086287147,-1.999766467,-1.999945649,0.121129195,-0.082037222,-0.108957060,0.137932604,0.009386271,0.004249924
0.600000000,-1.889081908,-2.140526004,0.124552977,-0.092172831,-1.999721211,-1.999935176,0.132984292,-0.092601299,-0.110639303,0.140590828,0.008431315,-0.000428468
0.630000000,-1.887829977,-2.142484584,0.130635513,-0.095484686,-1.999695590,-1.999901093,0.142264220,-0.100610504,-0.111865613,0.142583492,0.011628707,-0.005125817
0.660000000,-1.886621358,-2.144415410,0.139503774,-0.103239686,-1.999684428,-1.999806710,0.151915427,-0.108693618,-0.113063070,0.144608700,0.012411653,-0.005453931
0.700000000,-1.885097814,-2.146938658,0.153892640,-0.112422246,-1.999684786,-1.999558663,0.165246607,-0.119552508,-0.114586972,0.147379996,0.011353967,-0.007130263
0.730000000,-1.884015643,-2.148787357,0.167465071,-0.122933796,-1.999688789,-1.999266711,0.175568064,-0.127741518,-0.115673146,0.149520646,0.008102993,-0.004807722
0.760000000,-1.882976129,-2.150597634,0.177620503,-0.130858796,-1.999693629,-1.998867036,0.186188563,-0.135956767,-0.116717499,0.151730598,0.008568060,-0.005097971
0.800000000,-1.881628776,-2.152943278,0.188528398,-0.143735112,-1.999710894,-1.998202189,0.200723468,-0.146949740,-0.118082117,0.154741089,0.012195070,-0.003214629
0.830000000,-1.880657139,-2.154652319,0.197240411,-0.152874390,-1.999737293,-1.997615992,0.211887451,-0.155227490,-0.119080154,0.157036327,0.014647039,-0.002353099
0.860000000,-1.879719651,-2.156326540,0.207722812,-0.160941890,-1.999775009,-1.996956771,0.223297434,-0.163526702,-0.120055357,0.159369769,0.015574622,-0.002584812
0.900000000,-1.878527150,-2.158501262,0.225425158,-0.173748224,-1.999835975,-1.995997314,0.238816723,-0.174608500,-0.121308825,0.162503948,0.013391565,-0.000860276
0.930000000,-1.877674133,-2.160086828,0.247785491,-0.179116086,-1.999893680,-1.995225060,0.250672534,-0.182932649,-0.122219547,0.164861768,0.002887043,-0.003816564
0.960000000,-1.876845566,-2.161645839,0.259835184,-0.187323586,-1.999971441,-1.994406294,0.262731836,-0.191272057,-0.123125876,0.167239545,0.002896653,-0.003948472
1.000000000,-1.912592799,-2.121628727,0.274075971,-0.198948316,-2.000102248,-1.993260312,0.279062655,-0.202405478,-0.087509449,0.128368416,0.004986684,-0.003457162
1.030000000,-1.912439713,-2.122492260,0.292321150,-0.206201516,-2.000215806,-1.992365389,0.291490974,-0.210761704,-0.087776093,0.130126871,-0.000830176,-0.004560189
1.060000000,-1.912323794,-2.123323558,0.305061518,-0.214539016,-2.000344180,-1.991439940,0.304087073,-0.219124669,-0.088020386,0.131883618,-0.000974445,-0.004585654
1.100000000,-1.912227583,-2.124368287,0.324295184,-0.228621810,-2.000543274,-1.990172160,0.321092946,-0.230283517,-0.088315691,0.134196127,-0.003202238,-0.001661707
1.130000000,-1.912201389,-2.125106950,0.338762109,-0.236183088,-2.000715127,-1.989203957,0.333994629,-0.238658832,-0.088513739,0.135902993,-0.004767480,-0.002475744
1.160000000,-1.912206558,-2.125800569,0.352052297,-0.244380588,-2.000904418,-1.988231674,0.347037100,-0.247039337,-0.088697860,0.137568895,-0.005015198,-0.002658748
1.200000000,-1.912265576,-2.126647492,0.382642251,-0.254615164,-2.001178765,-1.986944839,0.364600583,-0.258217116,-0.088913189,0.139702653,-0.018041668,-0.003601953
1.230000000,-1.912347746,-2.127229575,0.399583756,-0.261664655,-2.001408104,-1.985991084,0.377898153,-0.266602928,-0.089060358,0.141238491,-0.021685604,-0.004938274
1.260000000,-1.912448506,-2.127755205,0.414148164,-0.269809655,-2.001667501,-1.985049683,0.391311297,-0.274987849,-0.089218995,0.142705522,-0.022836867,-0.005178195
1.300000000,-1.912635647,-2.128368913,0.419945084,-0.280492213,-2.002046399,-1.983811972,0.409340622,-0.286167197,-0.089410752,0.144556940,-0.010604462,-0.005674984
1.330000000,-1.912827220,-2.128771081,0.430786283,-0.288783021,-2.002348784,-1.982896905,0.422965280,-0.294553793,-0.089521564,0.145874176,-0.007821003,-0.005770772
1.360000000,-1.913058522,-2.129125016,0.444386976,-0.297053021,-2.002671207,-1.981992138,0.436685201,-0.302941933,-0.089612685,0.147132878,-0.007701775,-0.005888912
1.400000000,-1.913423580,-2.129518622,0.464211868,-0.307835132,-2.003136893,-1.980793896,0.455099125,-0.314125760,-0.089713313,0.148724726,-0.009112743,-0.006290628
1.430000000,-1.913741811,-2.129773621,0.473045813,-0.315878979,-2.003511713,-1.979900195,0.468993129,-0.322513723,-0.089769902,0.149873425,-0.004052685,-0.006634744
1.460000000,-1.914087710,-2.129981245,0.486526511,-0.324161479,-2.003903806,-1.979012741,0.482967699,-0.330902896,-0.089816096,0.150968504,-0.003558812,-0.006741417
1.500000000,-1.852693113,-2.100762754,0.492127102,-0.335940858,-2.004447697,-1.977836802,0.501697046,-0.342089691,-0.151754585,0.122925952,0.009569944,-0.006148833
1.530000000,-1.852286462,-2.100503461,0.502524933,-0.343785756,-2.004877512,-1.976957230,0.515815184,-0.350479552,-0.152591050,0.123546231,0.013290251,-0.006693796
1.560000000,-1.851902822,-2.100202247,0.515064280,-0.352098256,-2.005332235,-1.976077892,0.529999713,-0.358866513,-0.153429413,0.124124355,0.014935433,-0.006768258
1.600000000,-1.851447467,-2.099721364,0.535203764,-0.362221601,-2.005964592,-1.974911657,0.548996632,-0.370050315,-0.154517125,0.124809706,0.013792868,-0.007828715
1.630000000,-1.851139546,-2.099307280,0.548584756,-0.369827969,-2.006457597,-1.974049506,0.563301198,-0.378438706,-0.155318051,0.125257773,0.014716442,-0.008610738
1.660000000,-1.850855995,-2.098850802,0.553273668,-0.377817969,-2.006979722,-1.973209470,0.577660545,-0.386822997,-0.156123727,0.125641332,0.024386876,-0.009005028
1.700000000,-1.850528206,-2.098172100,0.569365623,-0.389331713,-2.007728109,-1.972130481,0.596873181,-0.397997132,-0.157199904,0.126041619,0.027507558,-0.008665420
1.730000000,-1.850309845,-2.097618384,0.578911373,-0.397252096,-2.008326973,-1.971358404,0.611330256,-0.406376222,-0.158017129,0.126259981,0.032418883,-0.009124125
1.760000000,-1.850113712,-2.097021201,0.590986924,-0.405547096,-2.008956741,-1.970626443,0.625832339,-0.414761238,-0.158843028,0.126394758,0.034845415,-0.009214142
1.800000000,-1.849883869,-2.096149557,0.616585332,-0.417332207,-2.009839392,-1.969696823,0.645223406,-0.425947752,-0.159955523,0.126452734,0.028638075,-0.008615545
1.830000000,-1.849735157,-2.095437695,0.640159020,-0.425810262,-2.010538187,-1.969026579,0.659806863,-0.434336037,-0.160803030,0.126411116,0.019647843,-0.008525775
1.860000000,-1.849618045,-2.094682214,0.653627487,-0.433957762,-2.011271113,-1.968377721,0.674425504,-0.442722668,-0.161653068,0.126304492,0.020798017,-0.008764907
1.900000000,-1.849507096,-2.093617715,0.673973246,-0.444638971,-2.012281035,-1.967539312,0.693964442,-0.453908655,-0.162773940,0.126078404,0.019991196,-0.009269684
1.930000000,-1.849432509,-2.092756032,0.696886981,-0.453933818,-2.013060272,-1.966927818,0.708649763,-0.462300578,-0.163627763,0.125828213,0.011762782,-0.008366760
1.960000000,-1.849357342,-2.091847334,0.711120530,-0.462166318,-2.013866735,-1.966327211,0.723367008,-0.470691595,-0.164509393,0.125520123,0.012246478,-0.008525277
