time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999979501,-2.000009251,0.009996505,-0.000502777,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000020499,0.000009251,0.040033399,0.000502777
0.030000000,-1.999919315,-2.000054541,0.030534001,-0.011202616,-2.000000000,-2.000000000,0.050069776,-0.000000000,-0.000080685,0.000054541,0.019535774,0.011202616
0.060000000,-1.999817395,-2.000156200,0.029927063,-0.011067616,-2.000000000,-2.000000000,0.050099738,-0.000000000,-0.000182605,0.000156200,0.020172674,0.011067616
0.100000000,-1.999611622,-2.000324777,0.033887078,-0.018240183,-2.000000000,-2.000000000,0.050139732,-0.000000000,-0.000388378,0.000324777,0.016252653,0.018240183
0.130000000,-1.999385733,-2.000503274,0.033343907,-0.018855427,-2.000000000,-2.000000000,0.050169731,-0.000153768,-0.000614267,0.000503274,0.016825824,0.018701659
0.160000000,-1.999093977,-2.000729514,0.032837664,-0.019757927,-1.999999871,-1.999999963,0.050686455,-0.001591795,-0.000905894,0.000729551,0.017848791,0.018166132
0.200000000,-1.998624159,-2.001082672,0.041660784,-0.024006435,-1.999997492,-1.999999246,0.052571904,-0.005211882,-0.001373333,0.001083425,0.010911120,0.018794553
0.230000000,-1.998207947,-2.001382628,0.048771370,-0.024758032,-1.999992496,-1.999997563,0.054860379,-0.008996512,-0.001784549,0.001385064,0.006089009,0.015761519
0.260000000,-1.997755138,-2.001730025,0.051146765,-0.029515532,-1.999984827,-1.999994238,0.057980375,-0.013645691,-0.002229689,0.001735788,0.006833610,0.015869840
0.300000000,-1.997071877,-2.002267840,0.057781098,-0.041590512,-1.999972981,-1.999987113,0.063175688,-0.020774214,-0.002901105,0.002280727,0.005394589,0.020816298
0.330000000,-1.996512325,-2.002711965,0.056853976,-0.047107021,-1.999962340,-1.999979410,0.067799998,-0.026699178,-0.003450015,0.002732555,0.010946023,0.020407844
0.360000000,-1.995914939,-2.003203890,0.061163285,-0.053474521,-1.999948159,-1.999969277,0.073098164,-0.033088773,-0.004033220,0.003234613,0.011934879,0.020385748
0.400000000,-1.995050100,-2.003917304,0.078187715,-0.061427602,-1.999924747,-1.999953009,0.080994694,-0.042106385,-0.004874648,0.003964294,0.002806980,0.019321217
0.430000000,-1.994344716,-2.004501413,0.088876093,-0.069573665,-1.999905260,-1.999938978,0.087502111,-0.049179432,-0.005560545,0.004562435,-0.001373981,0.020394233
0.460000000,-1.993620831,-2.005119088,0.095713167,-0.077013665,-1.999884216,-1.999923023,0.094552378,-0.056501317,-0.006263385,0.005196065,-0.001160789,0.020512349
0.500000000,-1.998283420,-2.083181261,0.110998138,-0.088995787,-1.999852266,-1.999899012,0.104625146,-0.066530571,-0.001568847,0.083282249,-0.006372992,0.022465216
0.530000000,-1.997620359,-2.085403347,0.119859832,-0.098695643,-1.999825060,-1.999879042,0.112653499,-0.074217763,-0.002204702,0.085524305,-0.007206333,0.024477880
