time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000026251,-2.000020498,0.091154563,-0.000180000,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000026251,0.000020498,-0.041124660,0.000180000
0.040000000,-2.000101768,-2.000096240,0.062805808,-0.002233219,-2.000000000,-2.000000000,0.050059808,-0.000000000,0.000101768,0.000096240,-0.012746001,0.002233219
0.070000000,-2.000225887,-2.000227653,0.063103829,-0.001983219,-2.000000000,-2.000000000,0.050089742,-0.000000000,0.000225887,0.000227653,-0.013014087,0.001983219
0.110000000,-2.000456816,-2.000476261,0.065805768,0.003176647,-2.000000000,-2.000000000,0.050129732,-0.000000000,0.000456816,0.000476261,-0.015676037,-0.003176647
0.140000000,-2.000666505,-2.000724767,0.051090021,0.003525649,-2.000000000,-2.000000000,0.050159731,-0.000076884,0.000666505,0.000724767,-0.000930290,-0.003602533
0.170000000,-2.000908786,-2.001019385,0.051004107,0.002598149,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000908787,0.001019386,-0.000609959,-0.003525607
0.210000000,-2.001308630,-2.001498420,0.055707283,-0.005150554,-1.999998670,-1.999999609,0.051923652,-0.004080179,0.001309960,0.001498810,-0.003783631,0.001070375
0.240000000,-2.001657091,-2.001912878,0.054136390,-0.011737739,-1.999994334,-1.999998175,0.054040268,-0.007670049,0.001662758,0.001914702,-0.000096122,0.004067690
0.270000000,-2.002066098,-2.002376426,0.056440426,-0.015885239,-1.999987395,-1.999995451,0.056833566,-0.011994318,0.002078704,0.002380974,0.000393140,0.003890921
0.310000000,-2.002670024,-2.003050465,0.060792512,-0.015983190,-1.999975623,-1.999988884,0.061728108,-0.018869210,0.002694401,0.003061580,0.000935596,-0.002886020
0.340000000,-2.003177993,-2.003598338,0.063546373,-0.028847304,-1.999965005,-1.999981187,0.066211634,-0.024689207,0.003212988,0.003617151,0.002665262,0.004158097
0.370000000,-2.003735209,-2.004184437,0.067933822,-0.034752304,-1.999951664,-1.999971244,0.071246157,-0.030904423,0.003783546,0.004213193,0.003312335,0.003847881
0.410000000,-2.004546094,-2.005016154,0.073452456,-0.041435923,-1.999927842,-1.999954089,0.078901050,-0.039786189,0.004618252,0.005062065,0.005448594,0.001649734
0.440000000,-2.005206805,-2.005718302,0.077615954,-0.049367270,-1.999906973,-1.999938561,0.085295224,-0.046803022,0.005299832,0.005779741,0.007679270,0.002564248
0.470000000,-2.005898801,-2.006447492,0.083541129,-0.056577270,-1.999884563,-1.999920997,0.092132929,-0.054031521,0.006014237,0.006526495,0.008591800,0.002545749
0.510000000,-2.170709041,-1.694149135,0.088836326,-0.064083082,-1.999850097,-1.999893412,0.102010236,-0.063988071,0.170858944,-0.305744276,0.013173910,0.000095011
0.540000000,-2.174694527,-1.688831179,0.099111776,-0.073204292,-1.999819581,-1.999869495,0.109946763,-0.071645963,0.174874946,-0.311038317,0.010834987,0.001558329
0.570000000,-2.178721382,-1.683558097,0.106442283,-0.080571792,-1.999786354,-1.999843223,0.118252476,-0.079417199,0.178935028,-0.316285126,0.011810193,0.001154593
0.610000000,-2.184171038,-1.676603750,0.117316125,-0.092526931,-1.999733771,-1.999818290,0.129976993,-0.089936844,0.184437267,-0.323214539,0.012660867,0.002590087
0.640000000,-2.188315123,-1.671418729,0.124543455,-0.098769624,-1.999672311,-1.999857470,0.139213714,-0.097915495,0.188642812,-0.328438741,0.014670258,0.000854129
0.670000000,-2.192500922,-1.666244199,0.132935462,-0.106787124,-1.999583747,-1.999994009,0.148763924,-0.105960979,0.192917175,-0.333749810,0.015828462,0.000826145
0.710000000,-2.198141794,-1.659375952,0.149383349,-0.114948599,-1.999421788,-2.000461979,0.162051791,-0.116823484,0.198720006,-0.341086027,0.012668442,-0.001874885
0.740000000,-2.202424939,-1.654264915,0.160291488,-0.122472958,-1.999290996,-2.001083829,0.172389003,-0.125011441,0.203133943,-0.346818914,0.012097514,-0.002538483
0.770000000,-2.206761493,-1.649199234,0.170001090,-0.130427958,-1.999160762,-2.001911694,0.182972034,-0.133186026,0.207600731,-0.352712460,0.012970944,-0.002758068
0.810000000,-2.212630673,-1.642520359,0.185078387,-0.140920124,-1.998968261,-2.003374290,0.197508804,-0.144125776,0.213662413,-0.360853932,0.012430417,-0.003205652
0.840000000,-2.217104978,-1.637564970,0.211352537,-0.148823576,-1.998793538,-2.004708567,0.208705001,-0.152407484,0.218311441,-0.367143596,-0.002647536,-0.003583908
0.870000000,-2.221621342,-1.632666539,0.223023335,-0.156826076,-1.998600602,-2.006191187,0.220103512,-0.160711790,0.223020739,-0.373524648,-0.002919823,-0.003885714
0.910000000,-2.227686032,-1.626202324,0.234978190,-0.166725126,-1.998322647,-2.008399408,0.235650461,-0.171770139,0.229363385,-0.382197084,0.000672271,-0.005045013
0.940000000,-2.232263879,-1.621403876,0.244304934,-0.173955069,-1.998087950,-2.010203830,0.247553696,-0.180073413,0.234175929,-0.388799954,0.003248762,-0.006118344
0.970000000,-2.236896022,-1.616644910,0.256064729,-0.181977569,-1.997820423,-2.012105026,0.259626104,-0.188404963,0.239075599,-0.395460115,0.003561375,-0.006427394
1.010000000,-2.152862981,-1.867163829,0.275593765,-0.193209928,-1.997402177,-2.014798202,0.276008641,-0.199547683,0.155460805,-0.147634373,0.000414876,-0.006337754
1.040000000,-2.156251801,-1.866357941,0.287050856,-0.199263389,-1.997056474,-2.016919884,0.288501391,-0.207900280,0.159195327,-0.150561943,0.001450536,-0.008636892
1.070000000,-2.159690756,-1.865579454,0.299377045,-0.207620889,-1.996687910,-2.019107375,0.301135801,-0.216258944,0.163002846,-0.153527922,0.001758756,-0.008638055
1.110000000,-2.164362797,-1.864600275,0.319432628,-0.219429357,-1.996133913,-2.022124019,0.318238848,-0.227431105,0.168228883,-0.157523744,-0.001193781,-0.008001748
1.140000000,-2.167942917,-1.863912759,0.329712970,-0.229294640,-1.995668526,-2.024411519,0.331237911,-0.235812743,0.172274391,-0.160498760,0.001524941,-0.006518103
1.170000000,-2.171581438,-1.863275930,0.342396715,-0.237429640,-1.995176009,-2.026665308,0.344366038,-0.244197070,0.176405429,-0.163389377,0.001969323,-0.006767431
1.210000000,-2.176523362,-1.862494856,0.360202921,-0.249943495,-1.994461442,-2.029514082,0.362098631,-0.255422202,0.182061920,-0.167019225,0.001895709,-0.005478707
1.240000000,-2.180300971,-1.861932703,0.373582890,-0.256390557,-1.993845190,-2.031487762,0.375557414,-0.263841327,0.186455781,-0.169555060,0.001974523,-0.007450770
1.270000000,-2.184128251,-1.861383705,0.386640251,-0.264763057,-1.993154960,-2.033335115,0.389117796,-0.272210547,0.190973291,-0.171951410,0.002477545,-0.007447490
1.310000000,-2.189288570,-1.860658404,0.410878400,-0.277674238,-1.992124593,-2.035570738,0.407378361,-0.283347784,0.197163977,-0.174912334,-0.003500039,-0.005673546
1.340000000,-2.193232053,-1.860128629,0.426938984,-0.286660092,-1.991296552,-2.037092054,0.421196981,-0.291751650,0.201935501,-0.176963425,-0.005742004,-0.005091558
1.370000000,-2.197245377,-1.859613042,0.440819418,-0.294920092,-1.990423937,-2.038518556,0.435099736,-0.300165809,0.206821439,-0.178905515,-0.005719682,-0.005245717
1.410000000,-2.202678115,-1.858940034,0.468727113,-0.308104488,-1.989154499,-2.040281956,0.453786312,-0.311339279,0.213523616,-0.181341922,-0.014940801,-0.003234791
1.440000000,-2.206822790,-1.858458582,0.475485345,-0.316451916,-1.988134683,-2.041516594,0.467901130,-0.319707386,0.218688107,-0.183058011,-0.007584216,-0.003255469
1.470000000,-2.211025699,-1.858008084,0.489569886,-0.324541916,-1.987086443,-2.042690428,0.482089937,-0.328094724,0.223939256,-0.184682343,-0.007479948,-0.003552807
1.510000000,-2.016784770,-1.857003122,0.506979338,-0.334694209,-1.985640627,-2.044157483,0.501123132,-0.339302511,0.031144143,-0.187154362,-0.005856206,-0.004608301
1.540000000,-2.018611645,-1.856629316,0.514736152,-0.343953749,-1.984496691,-2.045203111,0.515487285,-0.347694058,0.034114954,-0.188573795,0.000751134,-0.003740308
1.570000000,-2.020496242,-1.856272921,0.528306334,-0.352363749,-1.983306263,-2.046216542,0.529903063,-0.356077257,0.037189979,-0.189943621,0.001596730,-0.003713508
1.610000000,-2.023089542,-1.855828637,0.549123723,-0.364071798,-1.981671572,-2.047509758,0.549225747,-0.367263794,0.041417971,-0.191681121,0.000102025,-0.003191996
1.640000000,-2.025103310,-1.855510445,0.562861854,-0.372703971,-1.980438932,-2.048447796,0.563783092,-0.375665821,0.044664377,-0.192937351,0.000921239,-0.002961850
1.670000000,-2.027176744,-1.855205463,0.569092234,-0.381108971,-1.979200653,-2.049383363,0.578387745,-0.384070146,0.047976091,-0.194177901,0.009295511,-0.002961175
1.710000000,-2.030065571,-1.854846060,0.590058863,-0.392760577,-1.977532454,-2.050668110,0.597937605,-0.395282545,0.052533117,-0.195822050,0.007878742,-0.002521968
1.740000000,-2.032289992,-1.854593862,0.612328042,-0.400107351,-1.976287599,-2.051675448,0.612651719,-0.403697299,0.056002392,-0.197081586,0.000323677,-0.003589947
1.770000000,-2.034569397,-1.854348585,0.626441442,-0.408429851,-1.975064276,-2.052714220,0.627403012,-0.412102655,0.059505122,-0.198365635,0.000961569,-0.003672804
1.810000000,-2.037697085,-1.854040888,0.647857262,-0.418875578,-1.973468841,-2.054158435,0.647128743,-0.423291166,0.064228244,-0.200117547,-0.000728519,-0.004415588
1.840000000,-2.040104819,-1.853838630,0.659992583,-0.427526552,-1.972278106,-2.055290165,0.661968844,-0.431689738,0.067826713,-0.201451536,0.001976261,-0.004163186
1.870000000,-2.042566924,-1.853669050,0.674077470,-0.435609052,-1.971090229,-2.056453656,0.676834425,-0.440094152,0.071476695,-0.202784605,0.002756955,-0.004485100
1.910000000,-2.045939387,-1.853490193,0.687067625,-0.448047257,-1.969535821,-2.058044996,0.696710545,-0.451291339,0.076403566,-0.204554803,0.009642921,-0.003244082
1.940000000,-2.048541408,-1.853394462,0.696218441,-0.456658626,-1.968397379,-2.059261128,0.711648944,-0.459681128,0.080144029,-0.205866666,0.015430503,-0.003022503
1.970000000,-2.051211534,-1.853334406,0.709545460,-0.464683626,-1.967266135,-2.060497484,0.726615069,-0.468073110,0.083945400,-0.207163078,0.017069608,-0.003389485
2.010000000,-2.125122397,-1.753663651,0.732862913,-0.475440749,-1.965758331,-2.062185822,0.746607255,-0.479271469,0.159364065,-0.308522170,0.013744343,-0.003830720
2.040000000,-2.128727646,-1.752475644,0.754002796,-0.485128846,-1.964643524,-2.063471282,0.761632763,-0.487668444,0.164084123,-0.310995638,0.007629966,-0.002539598
2.070000000,-2.132377894,-1.751306082,0.768179776,-0.493678846,-1.963550075,-2.064763876,0.776677046,-0.496058431,0.168827819,-0.313457794,0.008497270,-0.002379585
2.110000000,-2.137337905,-1.749787752,0.793158258,-0.505908890,-1.962114459,-2.066508641,0.796770496,-0.507238405,0.175223446,-0.316720889,0.003612239,-0.001329515
2.140000000,-2.141135320,-1.748656618,0.812772991,-0.513932250,-1.961034040,-2.067851124,0.811867526,-0.515629514,0.180101280,-0.319194506,-0.000905466,-0.001697264
2.170000000,-2.144996019,-1.747536036,0.827642565,-0.522277250,-1.959955040,-2.069224794,0.826977970,-0.524022732,0.185040979,-0.321688758,-0.000664595,-0.001745481
2.210000000,-2.150248135,-1.746058506,0.841585562,-0.533685259,-1.958549500,-2.071113919,0.847156247,-0.535203469,0.191698635,-0.325055414,0.005570685,-0.001518210
2.240000000,-2.154259426,-1.744964646,0.852902548,-0.541392089,-1.957526690,-2.072578946,0.862304214,-0.543577785,0.196732736,-0.327614300,0.009401666,-0.002185696
2.270000000,-2.158353000,-1.743886463,0.867076519,-0.549979589,-1.956515079,-2.074086313,0.877467863,-0.551957158,0.201837920,-0.330199850,0.010391345,-0.001977569
2.310000000,-2.163917818,-1.742463196,0.881611584,-0.560628384,-1.955175506,-2.076173651,0.897702229,-0.563150486,0.208742312,-0.333710456,0.016090645,-0.002522102
2.340000000,-2.168162052,-1.741403025,0.903221302,-0.568270007,-1.954189229,-2.077781180,0.912895546,-0.571543215,0.213972823,-0.336378155,0.009674244,-0.003273209
2.370000000,-2.172459430,-1.740344862,0.917543282,-0.576640007,-1.953220784,-2.079410113,0.928096441,-0.579928699,0.219238646,-0.339065250,0.010553159,-0.003288692
2.410000000,-2.178298021,-1.738928928,0.944812324,-0.587393727,-1.951941059,-2.081624120,0.948383278,-0.591110685,0.226356963,-0.342695192,0.003570954,-0.003716958
2.440000000,-2.182764937,-1.737880073,0.956253056,-0.595667905,-1.950972641,-2.083319668,0.963608913,-0.599504638,0.231792296,-0.345439595,0.007355857,-0.003836733
2.470000000,-2.187293835,-1.736856928,0.970777659,-0.603970405,-1.950001975,-2.085033735,0.978842281,-0.607899113,0.237291860,-0.348176807,0.008064622,-0.003928707
2.510000000,-2.137996388,-1.791510344,0.998825522,-0.616131557,-1.948719390,-2.087335400,0.999169279,-0.619086470,0.189276998,-0.295825057,0.000343757,-0.002954913
2.540000000,-2.142047224,-1.791127752,1.014048345,-0.623298805,-1.947758041,-2.089074065,1.014422984,-0.627476617,0.194289184,-0.297946313,0.000374640,-0.004177812
2.570000000,-2.146167746,-1.790765973,1.029050563,-0.631591305,-1.946784010,-2.090827935,1.029686748,-0.635869214,0.199383736,-0.300061962,0.000636185,-0.004277909
2.610000000,-2.151755625,-1.790290340,1.047281317,-0.642238823,-1.945461807,-2.093188466,1.050047030,-0.647060130,0.206293819,-0.302898126,0.002765713,-0.004821307
2.640000000,-2.156025499,-1.789932634,1.068274714,-0.651111391,-1.944469839,-2.094956185,1.065331564,-0.655452396,0.211555660,-0.305023551,-0.002943150,-0.004341005
2.670000000,-2.160380637,-1.789594594,1.083457235,-0.659536391,-1.943480164,-2.096715154,1.080618829,-0.663845076,0.216900474,-0.307120560,-0.002838405,-0.004308686
2.710000000,-2.166302519,-1.789150897,1.100807029,-0.671694865,-1.942141057,-2.099053848,1.101017709,-0.675035542,0.224161462,-0.309902951,0.000210680,-0.003340677
2.740000000,-2.170806691,-1.788801279,1.115656796,-0.680757432,-1.941109448,-2.100806981,1.116322006,-0.683424825,0.229697242,-0.312005703,0.000665210,-0.002667393
2.770000000,-2.175370550,-1.788439181,1.130491197,-0.688957432,-1.940065440,-2.102551050,1.131633801,-0.691813535,0.235305110,-0.314111869,0.001142605,-0.002856103
2.810000000,-2.181558997,-1.787962836,1.151711347,-0.700271249,-1.938664973,-2.104845320,1.152058404,-0.703005351,0.242894025,-0.316882484,0.000347056,-0.002734103
2.840000000,-2.186294362,-1.787613782,1.167181300,-0.709416122,-1.937597833,-2.106549742,1.167384300,-0.711400920,0.248696529,-0.318935960,0.000203000,-0.001984798
2.870000000,-2.191103947,-1.787254546,1.182035523,-0.717841122,-1.936507780,-2.108250647,1.182715433,-0.719792690,0.254596167,-0.320996101,0.000679910,-0.001951568
2.910000000,-2.197628879,-1.786764297,1.213608839,-0.728594577,-1.935018882,-2.110505195,1.203161624,-0.730977582,0.262609997,-0.323740898,-0.010447215,-0.002383005
2.940000000,-2.202605894,-1.786378515,1.229827116,-0.736362199,-1.933890711,-2.112171631,1.218503658,-0.739371302,0.268715183,-0.325793116,-0.011323458,-0.003009103
2.970000000,-2.207664276,-1.785986563,1.244206956,-0.744382199,-1.932752569,-2.113820868,1.233846126,-0.747768352,0.274911707,-0.327834305,-0.010360830,-0.003386153
3.010000000,-2.072299367,-1.882197960,1.256068759,-0.755336866,-1.931195474,-2.116006335,1.254314105,-0.758959132,0.141103893,-0.233808375,-0.001754654,-0.003622266
3.030000000,-2.075838556,-1.882938765,1.273041218,-0.763597929,-1.930398096,-2.117095688,1.264547499,-0.764550831,0.145440459,-0.234156923,-0.008493719,-0.000952902
3.070000000,-2.079432302,-1.883688600,1.287960665,-0.771742929,-1.928781271,-2.119252648,1.285022689,-0.775739046,0.150651031,-0.235564048,-0.002937976,-0.003996117
3.110000000,-2.084323996,-1.884680591,1.309072992,-0.782951231,-1.927148050,-2.121370173,1.305494655,-0.786934960,0.157175946,-0.236689582,-0.003578337,-0.003983729
3.140000000,-2.088065854,-1.885415047,1.324297850,-0.790863570,-1.925908939,-2.122942309,1.320850039,-0.795330777,0.162156915,-0.237527262,-0.003447812,-0.004467207
3.170000000,-2.091856132,-1.886147174,1.341842100,-0.798953570,-1.924662201,-2.124508953,1.336202880,-0.803722606,0.167193931,-0.238361780,-0.005639220,-0.004769036
3.210000000,-2.097021465,-1.887101632,1.356300617,-0.810022996,-1.923009458,-2.126580903,1.356675911,-0.814911074,0.174012008,-0.239479271,0.000375294,-0.004888077
3.240000000,-2.100982076,-1.887799761,1.371887144,-0.818452296,-1.921789182,-2.128118821,1.372027243,-0.823301508,0.179192894,-0.240319060,0.000140099,-0.004849212
3.270000000,-2.105015336,-1.888473479,1.377737969,-0.826524796,-1.920577794,-2.129651844,1.387379740,-0.831690935,0.184437542,-0.241178364,0.009641771,-0.005166139
3.310000000,-2.110518375,-1.889367885,1.405215126,-0.836879680,-1.918966841,-2.131695929,1.407847931,-0.842877970,0.191551534,-0.242328044,0.002632806,-0.005998290
3.340000000,-2.114717858,-1.890045242,1.419676725,-0.846388904,-1.917766552,-2.133218109,1.423198890,-0.851268529,0.196951307,-0.243172868,0.003522165,-0.004879624
3.370000000,-2.118990970,-1.890722087,1.432254928,-0.854596404,-1.916577375,-2.134722164,1.438549604,-0.859659944,0.202413595,-0.244000077,0.006294676,-0.005063539
3.410000000,-2.124795567,-1.891636068,1.451118912,-0.866179025,-1.915003272,-2.136696611,1.459014224,-0.870850477,0.209792296,-0.245060544,0.007895312,-0.004671453
3.440000000,-2.129222262,-1.892326276,1.465283312,-0.874617020,-1.913817676,-2.138164124,1.474363562,-0.879241989,0.215404586,-0.245837848,0.009080249,-0.004624969
3.470000000,-2.133708006,-1.893016083,1.482724646,-0.882667020,-1.912627983,-2.139619249,1.489709718,-0.887631731,0.221080023,-0.246603166,0.006985071,-0.004964711
3.510000000,-2.074003895,-1.919383914,1.501816342,-0.893455037,-1.911045882,-2.141517212,1.510173876,-0.898821094,0.162958014,-0.222133298,0.008357535,-0.005366057
3.540000000,-2.077843385,-1.920357288,1.515863536,-0.900318213,-1.909861854,-2.142905523,1.525518336,-0.907216501,0.167981532,-0.222548236,0.009654800,-0.006898288
3.570000000,-2.081745628,-1.921326866,1.537941864,-0.908630713,-1.908671317,-2.144276216,1.540865903,-0.915607940,0.173074311,-0.222949350,0.002924040,-0.006977227
3.610000000,-2.087051554,-1.922598620,1.557023666,-0.920313139,-1.907067529,-2.146075912,1.561326209,-0.926789922,0.179984025,-0.223477292,0.004302543,-0.006476783
3.640000000,-2.091110257,-1.923528319,1.570969322,-0.928683169,-1.905867009,-2.147392849,1.576675158,-0.935177428,0.185243248,-0.223864530,0.005705836,-0.006494259
3.670000000,-2.095224961,-1.924442510,1.578779003,-0.937008169,-1.904678211,-2.148682241,1.592022879,-0.943569669,0.190546750,-0.224239731,0.013243876,-0.006561500
3.710000000,-2.100828011,-1.925622050,1.602642772,-0.948249883,-1.903115022,-2.150370577,1.612489384,-0.954761599,0.197712989,-0.224748527,0.009846612,-0.006511716
3.740000000,-2.105097777,-1.926481956,1.616293998,-0.956400569,-1.901955915,-2.151628888,1.627839050,-0.963157098,0.203141862,-0.225146932,0.011545052,-0.006756530
3.770000000,-2.109422718,-1.927330068,1.622883632,-0.964630569,-1.900810820,-2.152876437,1.643188471,-0.971553949,0.208611897,-0.225546369,0.020304839,-0.006923381
3.810000000,-2.115297233,-1.928449029,1.642610017,-0.976255581,-1.899319065,-2.154499654,1.663657010,-0.982749333,0.215978168,-0.226050625,0.021046994,-0.006493752
3.840000000,-2.119781336,-1.929284455,1.656127980,-0.985986715,-1.898219394,-2.155687598,1.679007632,-0.991145314,0.221561942,-0.226403143,0.022879652,-0.005158598
3.870000000,-2.124341996,-1.930108059,1.676570630,-0.994321715,-1.897123586,-2.156862207,1.694361171,-0.999540339,0.227218410,-0.226754148,0.017790540,-0.005218623
3.910000000,-2.130518451,-1.931181793,1.699324580,-1.005145244,-1.895664800,-2.158399213,1.714829056,-1.010730037,0.234853651,-0.227217421,0.015504476,-0.005584793
3.940000000,-2.135231870,-1.931974667,1.715192161,-1.013643664,-1.894578367,-2.159511694,1.730183291,-1.019123581,0.240653504,-0.227537027,0.014991129,-0.005479917
3.970000000,-2.140014710,-1.932748430,1.727928077,-1.022041164,-1.893496734,-2.160590893,1.745534492,-1.027520280,0.246517976,-0.227842463,0.017606415,-0.005479116
4.010000000,-2.061819607,-1.994160181,1.747563979,-1.032472647,-1.892047978,-2.161985010,1.766007086,-1.038714246,0.169771629,-0.167824829,0.018443108,-0.006241599
4.040000000,-2.065717946,-1.995669586,1.761884511,-1.041202673,-1.890949127,-2.163002285,1.781358187,-1.047104563,0.174768819,-0.167332699,0.019473676,-0.005901891
4.070000000,-2.069669761,-1.997178254,1.780444107,-1.049227673,-1.889844660,-2.163988995,1.796710731,-1.055498169,0.179825100,-0.166810741,0.016266623,-0.006270496
4.110000000,-2.075033103,-1.999151613,1.802482235,-1.059858609,-1.888368290,-2.165233761,1.817176263,-1.066698727,0.186664813,-0.166082148,0.014694029,-0.006840118
4.140000000,-2.079129449,-2.000611623,1.816441486,-1.068270286,-1.887258341,-2.166123546,1.832523979,-1.075099896,0.191871107,-0.165511923,0.016082494,-0.006829610
4.170000000,-2.083296425,-2.002048632,1.827890299,-1.076575286,-1.886148936,-2.166991113,1.847870568,-1.083496453,0.197147489,-0.164942481,0.019980270,-0.006921166
4.210000000,-2.088940760,-2.003942857,1.849842949,-1.087703261,-1.884688894,-2.168103498,1.868330638,-1.094688545,0.204251866,-0.164160641,0.018487688,-0.006985284
4.240000000,-2.093248444,-2.005345509,1.863835545,-1.096164730,-1.883621798,-2.168895086,1.883673329,-1.103081883,0.209626646,-0.163549577,0.019837784,-0.006917153
4.270000000,-2.097615643,-2.006725987,1.871368269,-1.104389730,-1.882574388,-2.169658579,1.899012780,-1.111473485,0.215041255,-0.162932592,0.027644511,-0.007083755
4.310000000,-2.103535175,-2.008515943,1.894303636,-1.115165689,-1.881201830,-2.170639080,1.919464365,-1.122661569,0.222333344,-0.162123137,0.025160729,-0.007495880
4.340000000,-2.108044416,-2.009837525,1.908562599,-1.123329325,-1.880185647,-2.171341809,1.934798148,-1.131052744,0.227858769,-0.161504285,0.026235549,-0.007723420
