time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-1.999977735,-1.99998352,0.044522722,-0.001109962,-2.0,-2.0,0.050029904,-0.0,-2.2265e-05,-1.648e-05,0.005507182,0.001109962
0.04,-1.999903571,-1.999925754,0.039227665,-0.016270237,-2.0,-2.0,0.050059808,-0.0,-9.6429e-05,-7.4246e-05,0.010832143,0.016270237
0.07,-1.999777228,-1.999823769,0.038850211,-0.016297737,-2.0,-2.0,0.050089742,-0.0,-0.000222772,-0.000176231,0.011239531,0.016297737
0.11,-1.999522886,-1.999618933,0.03788501,-0.024942751,-2.0,-2.0,0.050129732,-0.0,-0.000477114,-0.000381067,0.012244721,0.024942751
0.14,-1.999267712,-1.999406641,0.041146153,-0.025530128,-2.0,-2.0,0.050159731,-7.6884e-05,-0.000732288,-0.000593359,0.009013578,0.025453244
0.17,-1.998951683,-1.999132125,0.040887556,-0.026395128,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.001048316,-0.000867874,0.009506592,0.02546767
0.21,-1.998472747,-1.998700928,0.044918465,-0.01943513,-1.999998668,-1.999999647,0.05192365,-0.004080179,-0.001525921,-0.001298719,0.007005185,0.015354951
0.24,-1.998066215,-1.998316732,0.050323061,-0.019222439,-1.999994339,-1.99999841,0.054040266,-0.007670049,-0.001928124,-0.001681679,0.003717204,0.01155239
0.27,-1.997617856,-1.99787634,0.05277705,-0.023382439,-1.99998745,-1.999996199,0.056833562,-0.011994325,-0.002369594,-0.002119859,0.004056512,0.011388114
0.31,-1.99695453,-1.997223752,0.056323456,-0.033530519,-1.999975897,-1.999991434,0.061728103,-0.01886922,-0.003021367,-0.002767682,0.005404647,0.0146613
0.34,-1.996405597,-1.99667944,0.05942321,-0.040089782,-1.999965577,-1.999986486,0.066211629,-0.02468919,-0.00355998,-0.003307046,0.00678842,0.015400593
0.37,-1.995814392,-1.996084265,0.063975478,-0.046212282,-1.999952656,-1.99998072,0.071246152,-0.030904385,-0.004138264,-0.003896455,0.007270674,0.015307897
0.41,-1.994929314,-1.995208569,0.073775283,-0.049855678,-1.999929753,-1.999972581,0.078901046,-0.039786193,-0.005000439,-0.004764012,0.005125763,0.010069485
0.44,-1.994210401,-1.994500987,0.076662369,-0.055133871,-1.99990998,-1.999967143,0.085295222,-0.046803047,-0.005699579,-0.005466156,0.008632853,0.008330825
0.47,-1.993442648,-1.993751766,0.082866343,-0.062708871,-1.999889042,-1.999962594,0.09213293,-0.054031507,-0.006446394,-0.006210828,0.009266587,0.008677365
0.51,-2.265866714,-1.828242178,0.0978083,-0.070785447,-1.999857381,-1.999958727,0.102010243,-0.063987992,0.266009333,-0.171716549,0.004201943,0.006797456
0.54,-2.270377813,-1.824150748,0.105851497,-0.076298462,-1.999829773,-1.999958251,0.109946778,-0.071646105,0.27054804,-0.175807504,0.004095282,0.004652357
0.57,-2.274839892,-1.820014412,0.113805414,-0.084560962,-1.999800188,-1.999960129,0.11824651,-0.07941886,0.275039704,-0.179945717,0.004441096,0.005142102
0.61,-2.280708332,-1.81442217,0.12451277,-0.095414565,-1.999753005,-1.999974386,0.129941916,-0.089943303,0.280955328,-0.185552216,0.005429146,0.005471263
0.64,-2.285053477,-1.810175727,0.134682864,-0.10349858,-1.999692578,-2.000017518,0.139153433,-0.097929482,0.285360899,-0.189841791,0.004470568,0.005569098
0.67,-2.289348157,-1.805871394,0.14378767,-0.11169608,-1.999599276,-2.000109917,0.14867013,-0.10598123,0.28974888,-0.194238523,0.004882461,0.00571485
0.71,-2.294966684,-1.80002601,0.156352026,-0.120842395,-1.999413671,-2.000372549,0.161889772,-0.116826688,0.295553012,-0.200346539,0.005537745,0.004015707
0.74,-2.299128411,-1.795592093,0.165920151,-0.128845967,-1.999248034,-2.000699474,0.172177351,-0.125006689,0.299880377,-0.205107381,0.0062572,0.003839278
0.77,-2.303241492,-1.791099397,0.175945989,-0.137138467,-1.999068639,-2.001125354,0.182714306,-0.133195998,0.304172853,-0.210025957,0.006768317,0.003942469
0.81,-2.308648619,-1.785005332,0.186789446,-0.148034455,-1.998782068,-2.001869348,0.197199812,-0.144161682,0.309866551,-0.216864016,0.010410366,0.003872773
0.84,-2.312638238,-1.780386851,0.193561493,-0.15658512,-1.998516205,-2.002547669,0.208364546,-0.152440226,0.314122033,-0.222160818,0.014803053,0.004144894
0.87,-2.316559826,-1.77573473,0.20382149,-0.16485762,-1.998219293,-2.003302738,0.219736932,-0.16073806,0.318340533,-0.227568008,0.015915442,0.00411956
0.91,-2.321717413,-1.769458799,0.221744944,-0.174683907,-1.997782138,-2.004431246,0.235257969,-0.171805794,0.323935274,-0.234972448,0.013513025,0.002878113
0.94,-2.325538712,-1.764705192,0.241181586,-0.181039799,-1.997412667,-2.005358794,0.247147902,-0.180119007,0.328126045,-0.240653602,0.005966316,0.000920792
0.97,-2.329308068,-1.759902316,0.252863072,-0.189374799,-1.99699902,-2.006341861,0.259210648,-0.18845249,0.332309048,-0.246439545,0.006347576,0.000922309
1.01,-2.218322001,-1.821435451,0.273063297,-0.199336294,-1.996367409,-2.007745736,0.27558614,-0.199589008,0.221954591,-0.186310284,0.002522843,-0.000252713
