time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000036559,-2.000024920,0.070572400,-0.005331380,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000036559,0.000024920,-0.020542497,0.005331380
0.040000000,-2.000136384,-2.000101275,0.065259397,-0.007973455,-2.000000000,-2.000000000,0.050059808,-0.000000000,0.000136384,0.000101275,-0.015199589,0.007973455
0.070000000,-2.000291108,-2.000231226,0.065586392,-0.008100955,-2.000000000,-2.000000000,0.050089742,-0.000000000,0.000291108,0.000231226,-0.015496651,0.008100955
0.110000000,-2.000595171,-2.000500767,0.063788265,0.005229284,-2.000000000,-2.000000000,0.050129732,-0.000000000,0.000595171,0.000500767,-0.013658534,-0.005229284
0.140000000,-2.000892330,-2.000779939,0.051885637,-0.009953585,-2.000000000,-2.000000000,0.050159731,-0.000076884,0.000892330,0.000779939,-0.001725906,0.009876701
0.170000000,-2.001243773,-2.001109999,0.051740857,-0.011293585,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.001243774,0.001109999,-0.001346709,0.010366126
0.210000000,-2.001798932,-2.001623622,0.048004170,-0.017233681,-1.999998668,-1.999999608,0.051923652,-0.004080179,0.001800264,0.001624014,0.003919481,0.013153502
0.240000000,-2.002269120,-2.002058274,0.047126791,-0.019921704,-1.999994323,-1.999998169,0.054040268,-0.007670049,0.002274797,0.002060106,0.006913477,0.012251655
0.270000000,-2.002787002,-2.002527497,0.049123735,-0.024771704,-1.999987364,-1.999995429,0.056833566,-0.011994318,0.002799639,0.002532068,0.007709831,0.012777386
0.310000000,-2.003562488,-2.003207475,0.060536708,-0.029290217,-1.999975532,-1.999988797,0.061728108,-0.018869210,0.003586957,0.003218678,0.001191401,0.010421007
0.340000000,-2.004192294,-2.003768634,0.062010668,-0.033952530,-1.999964835,-1.999980992,0.066211634,-0.024689208,0.004227459,0.003787642,0.004200966,0.009263321
0.370000000,-2.004872385,-2.004359885,0.066331708,-0.040257530,-1.999951382,-1.999970878,0.071246157,-0.030904426,0.004921003,0.004389007,0.004914449,0.009353104
0.410000000,-2.005865852,-2.005232304,0.077440497,-0.047798150,-1.999927329,-1.999953338,0.078901050,-0.039786191,0.005938523,0.005278966,0.001460553,0.008011959
0.440000000,-2.006659227,-2.005945394,0.080843806,-0.059267448,-1.999906209,-1.999937381,0.085295223,-0.046803023,0.006753018,0.006008013,0.004451417,0.012464425
0.470000000,-2.007503960,-2.006694348,0.086915285,-0.066699948,-1.999883482,-1.999919273,0.092132928,-0.054031525,0.007620478,0.006775075,0.005217643,0.012668423
0.510000000,-2.141336433,-2.160133285,0.093698797,-0.073328848,-1.999848443,-1.999890739,0.102010235,-0.063988078,0.141487990,0.160242546,0.008311438,0.009340770
0.540000000,-2.144921828,-2.163946232,0.099217699,-0.079831917,-1.999817362,-1.999865934,0.109946761,-0.071645311,0.145104466,0.164080299,0.010729062,0.008186606
0.570000000,-2.148565538,-2.167802004,0.106376733,-0.087716917,-1.999783428,-1.999838654,0.118248087,-0.079412319,0.148782109,0.167963350,0.011871354,0.008304598
0.610000000,-2.153507724,-2.173024774,0.124275135,-0.094248095,-1.999732456,-1.999789500,0.129950938,-0.089937160,0.153775268,0.173235274,0.005675803,0.004310935
