time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.0,-2.000024546,-2.000013992,0.057761552,-0.020489799,-2.0,-2.0,0.050029904,-0.0,2.4546e-05,1.3992e-05,-0.007731649,0.020489799
0.04,-2.000101722,-2.000065069,0.072327805,-0.008357013,-2.0,-2.0,0.050059808,-0.0,0.000101722,6.5069e-05,-0.022267997,0.008357013
0.07,-2.000227518,-2.00015795,0.073078837,-0.008389513,-2.0,-2.0,0.050089742,-0.0,0.000227518,0.00015795,-0.022989096,0.008389513
0.11,-2.000460648,-2.000341572,0.059247473,-0.004138893,-2.0,-2.0,0.050129732,-0.0,0.000460648,0.000341572,-0.009117741,0.004138893
0.14,-2.00068541,-2.000519711,0.047725627,-0.003311549,-2.0,-2.0,0.050159731,-7.6884e-05,0.00068541,0.000519711,0.002434104,0.003234665
0.17,-2.000960314,-2.000739182,0.047989811,-0.004011549,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000960315,0.000739183,0.002404337,0.003084091
0.21,-2.001402055,-2.00113191,0.051590926,-0.003113963,-1.999998667,-1.999999615,0.051923651,-0.004080179,0.001403388,0.001132295,0.000332726,-0.000966216
0.24,-2.001789296,-2.001493105,0.064473476,-0.014698578,-1.999994321,-1.999998209,0.054040268,-0.007670049,0.001794974,0.001494897,-0.010433208,0.007028529
0.27,-2.00220825,-2.001893208,0.067922592,-0.019116078,-1.999987364,-1.999995554,0.056833565,-0.011994319,0.002220887,0.001897653,-0.011089027,0.007121759
0.31,-2.002816355,-2.00247624,0.070897962,-0.027568241,-1.999975546,-1.99998922,0.061728108,-0.018869211,0.002840809,0.00248702,-0.009169855,0.00869903
0.34,-2.003317533,-2.002950182,0.074398407,-0.032436665,-1.999964869,-1.999981863,0.066211634,-0.024689206,0.003352664,0.002968319,-0.008186774,0.007747459
0.37,-2.0038619,-2.003452998,0.080047161,-0.038741665,-1.999951447,-1.999972422,0.071246156,-0.03090442,0.003910453,0.003480577,-0.008801005,0.007837245
0.41,-2.004686672,-2.004165828,0.086786616,-0.044835707,-1.999927467,-1.999956298,0.078901049,-0.03978619,0.004759205,0.00420953,-0.007885566,0.005049517
0.43,-2.005375416,-2.004736946,0.094904721,-0.053456494,-1.999913698,-1.999946961,0.083088337,-0.044426603,0.005461718,0.004789985,-0.011816384,0.009029891
0.47,-2.006124254,-2.005346782,0.102525355,-0.060571494,-1.999883862,-1.99992566,0.092132929,-0.054031521,0.006240392,0.005421122,-0.010392426,0.006539974
0.51,-2.253489322,-1.950336679,0.111880958,-0.067656043,-1.999849123,-1.999900406,0.102010237,-0.063988066,0.253640198,-0.049563727,-0.009870721,0.003667978
0.54,-2.259218426,-1.949923169,0.119578501,-0.076362231,-1.999818366,-1.99987867,0.109946765,-0.071645593,0.259400061,-0.049955501,-0.009631736,0.004716638
0.57,-2.264990594,-1.949541801,0.128649079,-0.084029731,-1.999784856,-1.999854937,0.11824462,-0.079414677,0.265205737,-0.050313136,-0.01040446,0.004615054
0.61,-2.272749186,-1.949095657,0.141903454,-0.095780173,-1.999731825,-1.999820668,0.129931462,-0.089939503,0.273017361,-0.050725011,-0.011971993,0.00584067
0.64,-2.278618316,-1.948807505,0.149347954,-0.104939189,-1.999669623,-1.999797557,0.139133333,-0.097930858,0.278948693,-0.050990052,-0.010214621,0.00700833
0.67,-2.284546795,-1.948561412,0.159612633,-0.112799189,-1.999578204,-1.999781738,0.14863536,-0.105982995,0.284968591,-0.051220326,-0.010977273,0.006816194
