time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999991987,-1.999974262,0.041266467,-0.003288569,-2.000000000,-2.000000000,0.050029904,-0.000000000,-0.000008013,-0.000025738,0.008763437,0.003288569
0.040000000,-1.999944885,-1.999909903,0.034838703,-0.003079379,-2.000000000,-2.000000000,0.050059808,-0.000000000,-0.000055115,-0.000090097,0.015221104,0.003079379
0.070000000,-1.999851651,-1.999803188,0.034549522,-0.002911879,-2.000000000,-2.000000000,0.050089742,-0.000000000,-0.000148349,-0.000196812,0.015540220,0.002911879
0.110000000,-1.999656702,-1.999609013,0.040631165,-0.002314626,-2.000000000,-2.000000000,0.050129732,-0.000000000,-0.000343298,-0.000390987,0.009498567,0.002314626
0.140000000,-1.999458506,-1.999415058,0.045350491,-0.000427540,-2.000000000,-2.000000000,0.050159731,-0.000076884,-0.000541494,-0.000584942,0.004809240,0.000350656
0.170000000,-1.999205791,-1.999199647,0.045662044,-0.001572540,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.000794208,-0.000800352,0.004732104,0.000645082
0.210000000,-1.998796841,-1.998843225,0.054412143,-0.001361638,-1.999998666,-1.999999646,0.051923650,-0.004080179,-0.001201825,-0.001156422,-0.002488493,-0.002718540
0.240000000,-1.998453777,-1.998545143,0.060715972,-0.006902465,-1.999994327,-1.999998402,0.054040266,-0.007670048,-0.001540551,-0.001453260,-0.006675706,-0.000767583
0.270000000,-1.998070909,-1.998201029,0.064113199,-0.011179965,-1.999987408,-1.999996155,0.056833562,-0.011994324,-0.001916499,-0.001795126,-0.007279637,-0.000814359
0.310000000,-1.997497549,-1.997678450,0.066501497,-0.017858343,-1.999975758,-1.999991202,0.061728103,-0.018869218,-0.002478209,-0.002312752,-0.004773394,-0.001010875
0.340000000,-1.997016177,-1.997228217,0.068239268,-0.019736077,-1.999965340,-1.999985931,0.066211629,-0.024689191,-0.002949163,-0.002757714,-0.002027639,-0.004953114
