time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-2.000019169,-2.000023413,0.046727190,-0.017950557,-2.000000000,-2.000000000,0.050029904,-0.000000000,0.000019169,0.000023413,0.003302713,0.017950557
0.040000000,-2.000071960,-2.000095990,0.032259865,-0.014555573,-2.000000000,-2.000000000,0.050059808,-0.000000000,0.000071960,0.000095990,0.017799942,0.014555573
0.070000000,-2.000155541,-2.000219871,0.031871515,-0.015018073,-2.000000000,-2.000000000,0.050089742,-0.000000000,0.000155541,0.000219871,0.018218226,0.015018073
0.110000000,-2.000324374,-2.000468270,0.034774784,0.018133557,-2.000000000,-2.000000000,0.050129732,-0.000000000,0.000324374,0.000468270,0.015354947,-0.018133557
0.140000000,-2.000516566,-2.000718432,0.039322519,0.014772501,-2.000000000,-2.000000000,0.050159731,-0.000076884,0.000516566,0.000718432,0.010837212,-0.014849385
0.170000000,-2.000750452,-2.001022728,0.039492992,0.013760001,-1.999999999,-1.999999999,0.050394148,-0.000927458,0.000750453,0.001022729,0.010901156,-0.014687459
0.210000000,-2.001122211,-2.001503391,0.045865406,0.004523331,-1.999998672,-1.999999610,0.051923652,-0.004080179,0.001123539,0.001503781,0.006058246,-0.008603510
0.240000000,-2.001448486,-2.001918399,0.043978610,0.001796694,-1.999994344,-1.999998180,0.054040268,-0.007670049,0.001454142,0.001920219,0.010061658,-0.009466743
0.270000000,-2.001808407,-2.002377481,0.046832710,-0.002670806,-1.999987423,-1.999995464,0.056833566,-0.011994318,0.001820985,0.002382017,0.010000855,-0.009323512
0.310000000,-2.002353160,-2.003058914,0.052257415,-0.016850793,-1.999975695,-1.999988923,0.061728108,-0.018869210,0.002377465,0.003069991,0.009470693,-0.002018417
0.340000000,-2.002804549,-2.003624789,0.055252285,-0.021457997,-1.999965123,-1.999981257,0.066211634,-0.024689206,0.002839426,0.003643533,0.010959350,-0.003231210
0.370000000,-2.003298393,-2.004236547,0.060462427,-0.027750497,-1.999951840,-1.999971356,0.071246157,-0.030904422,0.003346553,0.004265191,0.010783730,-0.003153926
0.410000000,-2.004027331,-2.005112728,0.071814496,-0.040086969,-1.999928125,-1.999954274,0.078901050,-0.039786188,0.004099206,0.005158454,0.007086554,0.000300780
0.440000000,-2.004627504,-2.005813717,0.083182922,-0.048327687,-1.999907367,-1.999938816,0.085295223,-0.046803021,0.004720137,0.005874901,0.002112302,0.001524666
0.470000000,-2.005258863,-2.006565576,0.090872042,-0.055565187,-1.999885096,-1.999921329,0.092132929,-0.054031521,0.005373767,0.006644247,0.001260887,0.001533666
0.510000000,-2.144110495,-1.487934922,0.105015348,-0.063639611,-1.999850870,-1.999893859,0.102010237,-0.063988070,0.144259625,-0.511958937,-0.003005111,-0.000348459
0.540000000,-2.147632501,-1.478256838,0.115913700,-0.070525304,-1.999820586,-1.999870026,0.109946763,-0.071645801,0.147811915,-0.521613188,-0.005966937,-0.001120497
0.570000000,-2.151182645,-1.468608642,0.125560831,-0.078095304,-1.999787650,-1.999843815,0.118259910,-0.079414824,0.151394995,-0.531235173,-0.007300921,-0.001319521
0.610000000,-2.155973982,-1.455786444,0.134090843,-0.090502090,-1.999734649,-1.999829397,0.130021222,-0.089917104,0.156239333,-0.544042953,-0.004069621,0.000584987
0.640000000,-2.159621578,-1.446196977,0.155536459,-0.101788210,-1.999669811,-1.999920101,0.139296295,-0.097863546,0.159951767,-0.553723123,-0.016240164,0.003924664
0.670000000,-2.163314038,-1.436624169,0.167069110,-0.109493210,-1.999575367,-2.000179169,0.148899892,-0.105884211,0.163738671,-0.563555000,-0.018169218,0.003608999
0.710000000,-2.168300963,-1.423897231,0.183128453,-0.119518960,-1.999409044,-2.001017337,0.162288705,-0.116777247,0.168891919,-0.577120106,-0.020839748,0.002741714
0.740000000,-2.172090700,-1.414387356,0.193374708,-0.126824672,-1.999287954,-2.002112314,0.172700931,-0.124971528,0.172802747,-0.587724958,-0.020673778,0.001853145
0.770000000,-2.175922237,-1.404921362,0.205989813,-0.134882172,-1.999179763,-2.003562379,0.183352957,-0.133103577,0.176742473,-0.598641017,-0.022636856,0.001778596
0.810000000,-2.181086171,-1.392352885,0.215490020,-0.144044055,-1.999034293,-2.006114421,0.197969619,-0.143993229,0.182051878,-0.613761536,-0.017520401,0.000050826
0.840000000,-2.185011110,-1.382979427,0.217333190,-0.151679668,-1.998904157,-2.008437772,0.209216383,-0.152292706,0.186106953,-0.625458345,-0.008116807,-0.000613037
0.870000000,-2.188972399,-1.373640641,0.229614470,-0.160064668,-1.998763309,-2.011017994,0.220659799,-0.160615664,0.190209090,-0.637377353,-0.008954670,-0.000550995
0.910000000,-2.194338058,-1.361241103,0.249840348,-0.171787127,-1.998569274,-2.014862016,0.236255968,-0.171647831,0.195768784,-0.653620913,-0.013584380,0.000139296
