recv_time_sec,plan_stamp_sec,num_points,goal_x,goal_y,goal_z
1775398490.481288910,1775398490.479063272,50,-2.000000000,-2.000000000,5.000000000
1775398490.580536127,1775398490.579102039,50,-2.000000000,-2.000000000,5.000000000
1775398490.681064129,1775398490.680010557,50,-2.000000000,-2.000000000,5.000000000
1775398490.784804344,1775398490.783128023,50,-2.000000000,-2.000000000,5.000000000
1775398490.886129618,1775398490.884367704,50,-2.000000000,-2.000000000,5.000000000
1775398490.986903191,1775398490.986000299,49,-2.000000000,-2.000000000,5.000000000
1775398491.090330362,1775398491.088540077,49,-2.000000000,-2.000000000,5.000000000
1775398491.189842224,1775398491.188850403,49,-2.000000000,-2.000000000,5.000000000
1775398491.290285349,1775398491.289349556,48,-2.000000000,-2.000000000,5.000000000
1775398491.390620470,1775398491.389702797,48,-2.000000000,-2.000000000,5.000000000
1775398491.491254807,1775398491.490282059,48,-2.000000000,-2.000000000,5.000000000
1775398491.591605663,1775398491.590560675,47,-2.000000000,-2.000000000,5.000000000
1775398491.692540646,1775398491.691249371,47,-2.000000000,-2.000000000,5.000000000
1775398491.798157454,1775398491.796519518,46,-2.000000000,-2.000000000,5.000000000
1775398491.899855137,1775398491.898917437,46,-2.000000000,-2.000000000,5.000000000
1775398492.001942635,1775398492.001053333,45,-2.000000000,-2.000000000,5.000000000
1775398492.104097843,1775398492.103154182,45,-2.000000000,-2.000000000,5.000000000
1775398492.205883265,1775398492.204849958,45,-2.000000000,-2.000000000,5.000000000
1775398492.302320480,1775398492.301228523,44,-2.000000000,-2.000000000,5.000000000
1775398492.401903152,1775398492.400931120,44,-2.000000000,-2.000000000,5.000000000
1775398492.502882481,1775398492.501245499,43,-2.000000000,-2.000000000,5.000000000
1775398492.602087021,1775398492.600963831,42,-2.000000000,-2.000000000,5.000000000
1775398492.702258348,1775398492.701061726,42,-2.000000000,-2.000000000,5.000000000
1775398492.803704023,1775398492.802206516,41,-2.000000000,-2.000000000,5.000000000
1775398492.907521486,1775398492.903780460,41,-2.000000000,-2.000000000,5.000000000
1775398493.005726099,1775398493.004275322,40,-2.000000000,-2.000000000,5.000000000
1775398493.106043100,1775398493.104588747,40,-2.000000000,-2.000000000,5.000000000
1775398493.206309795,1775398493.204757452,39,-2.000000000,-2.000000000,5.000000000
1775398493.306822538,1775398493.305371523,39,-2.000000000,-2.000000000,5.000000000
1775398493.409140110,1775398493.408226967,38,-2.000000000,-2.000000000,5.000000000
1775398493.508549690,1775398493.507081032,38,-2.000000000,-2.000000000,5.000000000
1775398493.609294415,1775398493.608255863,37,-2.000000000,-2.000000000,5.000000000
1775398493.710722208,1775398493.709888935,37,-2.000000000,-2.000000000,5.000000000
1775398493.810946941,1775398493.809699774,37,-2.000000000,-2.000000000,5.000000000
1775398493.910672665,1775398493.909317255,36,-2.000000000,-2.000000000,5.000000000
1775398494.013928890,1775398494.012191057,36,-2.000000000,-2.000000000,5.000000000
1775398494.115342855,1775398494.113777399,35,-2.000000000,-2.000000000,5.000000000
1775398494.214568853,1775398494.212876081,35,-2.000000000,-2.000000000,5.000000000
1775398494.315101862,1775398494.313952684,34,-2.000000000,-2.000000000,5.000000000
1775398494.414568186,1775398494.413290977,33,-2.000000000,-2.000000000,5.000000000
1775398494.516926050,1775398494.515551090,33,-2.000000000,-2.000000000,5.000000000
1775398494.620296240,1775398494.618546486,32,-2.000000000,-2.000000000,5.000000000
1775398494.718806982,1775398494.717389345,32,-2.000000000,-2.000000000,5.000000000
1775398494.817673922,1775398494.816067457,31,-2.000000000,-2.000000000,5.000000000
1775398494.916722059,1775398494.915459156,31,-2.000000000,-2.000000000,5.000000000
1775398495.018383265,1775398495.017203093,30,-2.000000000,-2.000000000,5.000000000
1775398495.118723392,1775398495.117426872,30,-2.000000000,-2.000000000,5.000000000
1775398495.217859507,1775398495.216749430,29,-2.000000000,-2.000000000,5.000000000
1775398495.317502260,1775398495.316352367,29,-2.000000000,-2.000000000,5.000000000
1775398495.418365479,1775398495.417478800,28,-2.000000000,-2.000000000,5.000000000
1775398495.517871618,1775398495.516699553,28,-2.000000000,-2.000000000,5.000000000
1775398495.618842125,1775398495.618215561,27,-2.000000000,-2.000000000,5.000000000
1775398495.719478130,1775398495.718372107,27,-2.000000000,-2.000000000,5.000000000
1775398495.819715500,1775398495.818515062,26,-2.000000000,-2.000000000,5.000000000
1775398495.919765711,1775398495.918192625,26,-2.000000000,-2.000000000,5.000000000
1775398496.018905163,1775398496.017858028,25,-2.000000000,-2.000000000,5.000000000
1775398496.119237185,1775398496.118060827,25,-2.000000000,-2.000000000,5.000000000
1775398496.220341921,1775398496.219091177,24,-2.000000000,-2.000000000,5.000000000
1775398496.321312666,1775398496.320272207,24,-2.000000000,-2.000000000,5.000000000
1775398496.422801495,1775398496.421691179,23,-2.000000000,-2.000000000,5.000000000
1775398496.522176266,1775398496.521070957,23,-2.000000000,-2.000000000,5.000000000
1775398496.622827291,1775398496.621769190,22,-2.000000000,-2.000000000,5.000000000
1775398496.724888086,1775398496.723882675,22,-2.000000000,-2.000000000,5.000000000
1775398496.824718714,1775398496.823852539,21,-2.000000000,-2.000000000,5.000000000
1775398496.924161911,1775398496.923306704,21,-2.000000000,-2.000000000,5.000000000
1775398497.023960590,1775398497.023112059,20,-2.000000000,-2.000000000,5.000000000
1775398497.124722958,1775398497.123702765,20,-2.000000000,-2.000000000,5.000000000
1775398497.223482370,1775398497.222584724,19,-2.000000000,-2.000000000,5.000000000
1775398497.325935841,1775398497.324972391,19,-2.000000000,-2.000000000,5.000000000
1775398497.428598166,1775398497.427700281,18,-2.000000000,-2.000000000,5.000000000
1775398497.527264357,1775398497.526360750,18,-2.000000000,-2.000000000,5.000000000
1775398497.628404140,1775398497.627464533,17,-2.000000000,-2.000000000,5.000000000
1775398497.727710009,1775398497.726808786,17,-2.000000000,-2.000000000,5.000000000
1775398497.827389717,1775398497.826724052,16,-2.000000000,-2.000000000,5.000000000
1775398497.928375721,1775398497.927688122,16,-2.000000000,-2.000000000,5.000000000
1775398498.028253794,1775398498.027376413,15,-2.000000000,-2.000000000,5.000000000
1775398498.128391027,1775398498.127869368,15,-2.000000000,-2.000000000,5.000000000
1775398498.227797508,1775398498.227247477,14,-2.000000000,-2.000000000,5.000000000
