time_sec,est_x,est_y,est_z,est_yaw,true_x,true_y,true_z,true_yaw,err_x,err_y,err_z,err_yaw
0.000000000,-1.999979708,-1.999980756,0.049982750,0.023965686,-2.000000000,-2.000000000,0.050109733,-0.000000000,-0.000020292,-0.000019244,0.000126983,-0.023965686
0.030000000,-1.999926696,-1.999916028,0.051205328,-0.001441983,-2.000000000,-2.000000000,0.050109733,-0.000000000,-0.000073304,-0.000083972,-0.001095594,0.001441983
0.060000000,-1.999827415,-1.999798330,0.051138489,-0.001136983,-2.000000000,-2.000000000,0.050109733,-0.000000000,-0.000172585,-0.000201670,-0.001028756,0.001136983
0.100000000,-1.999621800,-1.999555813,0.043488938,-0.004518094,-2.000000000,-2.000000000,0.050109733,-0.000000000,-0.000378200,-0.000444187,0.006620796,0.004518094
0.130000000,-1.999420114,-1.999325520,0.042320408,-0.005962909,-2.000000000,-2.000000000,0.050109733,-0.000000000,-0.000579886,-0.000674480,0.007789326,0.005962909
0.160000000,-1.999169905,-1.999049001,0.042007446,-0.006815409,-1.999999999,-1.999999999,0.050394148,-0.000927459,-0.000830094,-0.000950998,0.008386702,0.005887950
0.200000000,-1.998770401,-1.998601522,0.045949104,-0.008064027,-1.999998665,-1.999999649,0.051923650,-0.004080179,-0.001228264,-0.001398127,0.005974546,0.003983848
0.230000000,-1.998434951,-1.998208527,0.048178277,-0.008272692,-1.999994323,-1.999998420,0.054040265,-0.007670048,-0.001559372,-0.001789893,0.005861989,0.000602644
0.260000000,-1.998049308,-1.997762191,0.050412051,-0.012785192,-1.999987397,-1.999996210,0.056833562,-0.011994325,-0.001938090,-0.002234019,0.006421511,0.000790868
0.300000000,-1.997465787,-1.997109602,0.059583960,-0.018279732,-1.999975734,-1.999991385,0.061728103,-0.018869218,-0.002509947,-0.002881784,0.002144143,-0.000589487
0.330000000,-1.996985762,-1.996568597,0.067838905,-0.025646130,-1.999965299,-1.999986314,0.066211629,-0.024689189,-0.002979537,-0.003417717,-0.001627276,0.000956940
0.360000000,-1.996444759,-1.995998849,0.072628680,-0.032196130,-1.999952243,-1.999980360,0.071246152,-0.030904386,-0.003507484,-0.003981510,-0.001382528,0.001291744
0.400000000,-1.995664877,-1.995163946,0.077596101,-0.036247587,-1.999929092,-1.999971858,0.078901046,-0.039786192,-0.004264215,-0.004807912,0.001304945,-0.003538606
0.430000000,-1.995023954,-1.994472855,0.086654877,-0.044560955,-1.999909050,-1.999966086,0.085295221,-0.046803046,-0.004885096,-0.005493231,-0.001359656,-0.002242091
0.460000000,-1.994343746,-1.993740940,0.093194010,-0.051698455,-1.999887787,-1.999961173,0.092132930,-0.054031506,-0.005544041,-0.006220234,-0.001061081,-0.002333051
0.500000000,-2.246821262,-1.798708164,0.097943175,-0.063129230,-1.999855604,-1.999956780,0.102010242,-0.063987991,0.246965657,-0.201248616,0.004067067,-0.000858761
0.530000000,-2.251186785,-1.793986778,0.102981738,-0.068118521,-1.999827523,-1.999955871,0.109946776,-0.071646070,0.251359261,-0.205969094,0.006965038,-0.003527550
