recv_time_sec,plan_stamp_sec,num_points,goal_x,goal_y,goal_z
1775567267.349086523,1775567267.346947908,50,-2.000000000,-2.000000000,5.000000000
1775567267.454699039,1775567267.451251745,50,-2.000000000,-2.000000000,5.000000000
1775567267.552569866,1775567267.550766230,50,-2.000000000,-2.000000000,5.000000000
1775567267.655653477,1775567267.653974295,50,-2.000000000,-2.000000000,5.000000000
1775567267.756659031,1775567267.755719662,50,-2.000000000,-2.000000000,5.000000000
1775567267.858068228,1775567267.856810093,50,-2.000000000,-2.000000000,5.000000000
1775567267.958475828,1775567267.956866503,49,-2.000000000,-2.000000000,5.000000000
1775567268.060929060,1775567268.057847261,49,-2.000000000,-2.000000000,5.000000000
1775567268.161892891,1775567268.159034014,48,-2.000000000,-2.000000000,5.000000000
1775567268.260882616,1775567268.259354115,48,-2.000000000,-2.000000000,5.000000000
1775567268.360218048,1775567268.358704329,48,-2.000000000,-2.000000000,5.000000000
1775567268.460549593,1775567268.458884716,47,-2.000000000,-2.000000000,5.000000000
1775567268.562146902,1775567268.560323715,47,-2.000000000,-2.000000000,5.000000000
1775567268.678239584,1775567268.674388170,46,-2.000000000,-2.000000000,5.000000000
1775567268.766106844,1775567268.764943600,46,-2.000000000,-2.000000000,5.000000000
1775567268.877254486,1775567268.875299931,45,-2.000000000,-2.000000000,5.000000000
1775567268.982207537,1775567268.977622032,45,-2.000000000,-2.000000000,5.000000000
1775567269.084425688,1775567269.082622766,45,-2.000000000,-2.000000000,5.000000000
1775567269.185190439,1775567269.183926821,44,-2.000000000,-2.000000000,5.000000000
1775567269.285511971,1775567269.283848047,43,-2.000000000,-2.000000000,5.000000000
1775567269.386641741,1775567269.385648489,43,-2.000000000,-2.000000000,5.000000000
1775567269.493857861,1775567269.491348743,42,-2.000000000,-2.000000000,5.000000000
1775567269.592792511,1775567269.591015577,42,-2.000000000,-2.000000000,5.000000000
1775567269.693788290,1775567269.692151785,41,-2.000000000,-2.000000000,5.000000000
1775567269.794574499,1775567269.790426016,41,-2.000000000,-2.000000000,5.000000000
1775567269.900918722,1775567269.896983862,40,-2.000000000,-2.000000000,5.000000000
1775567269.999395132,1775567269.997890949,40,-2.000000000,-2.000000000,5.000000000
1775567270.109972477,1775567270.107290745,39,-2.000000000,-2.000000000,5.000000000
1775567270.210389853,1775567270.208813906,39,-2.000000000,-2.000000000,5.000000000
1775567270.308786869,1775567270.306580067,38,-2.000000000,-2.000000000,5.000000000
1775567270.411192179,1775567270.409731388,38,-2.000000000,-2.000000000,5.000000000
1775567270.515918732,1775567270.514742136,37,-2.000000000,-2.000000000,5.000000000
